source identifier	system code
ENSG00000118785	En
ENSG00000205542	En
ENSG00000131374	En
ENSG00000034510	En
ENSG00000187094	En
ENSG00000152601	En
ENSG00000095585	En
ENSG00000189283	En
ENSG00000166710	En
ENSG00000134769	En
ENSG00000108654	En
ENSG00000148634	En
ENSG00000105810	En
ENSG00000088986	En
ENSG00000120071	En
ENSG00000170017	En
ENSG00000103769	En
ENSG00000115310	En
ENSG00000113916	En
ENSG00000117632	En
ENSG00000140836	En
ENSG00000170677	En
ENSG00000135940	En
ENSG00000154237	En
ENSG00000106829	En
ENSG00000136156	En
ENSG00000168209	En
ENSG00000180573	En
ENSG00000137942	En
ENSG00000123095	En
ENSG00000136141	En
ENSG00000143669	En
ENSG00000101745	En
ENSG00000140968	En
ENSG00000164919	En
ENSG00000146192	En
ENSG00000137845	En
ENSG00000150782	En
ENSG00000113163	En
ENSG00000140319	En
ENSG00000018189	En
ENSG00000163131	En
ENSG00000118762	En
ENSG00000108599	En
ENSG00000134294	En
ENSG00000049759	En
ENSG00000132466	En
ENSG00000156931	En
ENSG00000198961	En
ENSG00000198399	En
ENSG00000160310	En
ENSG00000157540	En
ENSG00000166922	En
ENSG00000178177	En
ENSG00000167552	En
ENSG00000108953	En
ENSG00000111846	En
ENSG00000130638	En
ENSG00000138119	En
ENSG00000064225	En
ENSG00000173166	En
ENSG00000111229	En
ENSG00000146373	En
ENSG00000160213	En
ENSG00000169764	En
ENSG00000145779	En
ENSG00000110422	En
ENSG00000113580	En
ENSG00000176390	En
ENSG00000109689	En
ENSG00000173542	En
ENSG00000141279	En
ENSG00000101974	En
ENSG00000143952	En
ENSG00000205302	En
ENSG00000153113	En
ENSG00000219545	En
ENSG00000137727	En
ENSG00000163291	En
ENSG00000138698	En
ENSG00000115866	En
ENSG00000159592	En
ENSG00000081923	En
ENSG00000001629	En
ENSG00000128524	En
ENSG00000134852	En
ENSG00000134313	En
ENSG00000164548	En
ENSG00000065883	En
ENSG00000165637	En
ENSG00000137710	En
ENSG00000110395	En
ENSG00000254999	En
ENSG00000166326	En
ENSG00000108239	En
ENSG00000150540	En
ENSG00000122507	En
ENSG00000147649	En
ENSG00000168137	En
ENSG00000119314	En
ENSG00000119421	En
ENSG00000131174	En
ENSG00000163320	En
ENSG00000111912	En
ENSG00000056097	En
ENSG00000145088	En
ENSG00000058063	En
ENSG00000151729	En
ENSG00000102189	En
ENSG00000157106	En
ENSG00000149269	En
ENSG00000177119	En
ENSG00000115020	En
ENSG00000143891	En
ENSG00000164219	En
ENSG00000149346	En
ENSG00000184787	En
ENSG00000175582	En
ENSG00000117450	En
ENSG00000138385	En
ENSG00000101182	En
ENSG00000078668	En
ENSG00000119705	En
ENSG00000187257	En
ENSG00000138035	En
ENSG00000080802	En
ENSG00000132341	En
ENSG00000182606	En
ENSG00000001631	En
ENSG00000109220	En
ENSG00000138399	En
ENSG00000113441	En
ENSG00000172115	En
ENSG00000213585	En
ENSG00000143158	En
ENSG00000104218	En
ENSG00000144746	En
ENSG00000183530	En
ENSG00000147123	En
ENSG00000140307	En
ENSG00000187118	En
ENSG00000186432	En
ENSG00000102753	En
ENSG00000160752	En
ENSG00000122435	En
ENSG00000142507	En
ENSG00000165525	En
ENSG00000162704	En
ENSG00000140740	En
ENSG00000136153	En
ENSG00000131778	En
ENSG00000083123	En
ENSG00000104325	En
ENSG00000227345	En
ENSG00000093010	En
ENSG00000048649	En
ENSG00000174197	En
ENSG00000145736	En
ENSG00000184678	En
ENSG00000100804	En
ENSG00000161542	En
ENSG00000135315	En
ENSG00000065615	En
ENSG00000130254	En
ENSG00000100099	En
ENSG00000180957	En
ENSG00000111837	En
ENSG00000132780	En
ENSG00000138443	En
ENSG00000108091	En
ENSG00000138376	En
ENSG00000109606	En
ENSG00000120686	En
ENSG00000125779	En
ENSG00000135677	En
ENSG00000175216	En
ENSG00000168917	En
ENSG00000107779	En
ENSG00000197381	En
ENSG00000103061	En
ENSG00000140990	En
ENSG00000138668	En
ENSG00000070367	En
ENSG00000168028	En
ENSG00000128654	En
ENSG00000171204	En
ENSG00000125454	En
ENSG00000185619	En
ENSG00000110092	En
ENSG00000180098	En
ENSG00000134825	En
ENSG00000198160	En
ENSG00000175550	En
ENSG00000183726	En
ENSG00000117139	En
ENSG00000005844	En
ENSG00000136381	En
ENSG00000175792	En
ENSG00000134014	En
ENSG00000182871	En
ENSG00000139613	En
ENSG00000152332	En
ENSG00000213918	En
ENSG00000074603	En
ENSG00000089639	En
ENSG00000165275	En
ENSG00000103066	En
ENSG00000128918	En
ENSG00000205659	En
ENSG00000091879	En
ENSG00000152457	En
ENSG00000152464	En
ENSG00000143457	En
ENSG00000183172	En
ENSG00000164010	En
ENSG00000197226	En
ENSG00000021574	En
ENSG00000153048	En
ENSG00000136045	En
ENSG00000134308	En
ENSG00000152767	En
ENSG00000137513	En
ENSG00000103064	En
ENSG00000143093	En
ENSG00000189091	En
ENSG00000198853	En
ENSG00000118939	En
ENSG00000065060	En
ENSG00000173905	En
ENSG00000196074	En
ENSG00000123609	En
ENSG00000156587	En
ENSG00000164933	En
ENSG00000170088	En
ENSG00000166889	En
ENSG00000186818	En
ENSG00000143624	En
ENSG00000135912	En
ENSG00000138375	En
ENSG00000172671	En
ENSG00000153786	En
ENSG00000136738	En
ENSG00000197056	En
ENSG00000114473	En
ENSG00000149131	En
ENSG00000113597	En
ENSG00000162222	En
ENSG00000138442	En
ENSG00000124209	En
ENSG00000160679	En
ENSG00000065613	En
ENSG00000100479	En
ENSG00000101457	En
ENSG00000163960	En
ENSG00000266412	En
ENSG00000099901	En
ENSG00000054148	En
ENSG00000100372	En
ENSG00000139354	En
ENSG00000182628	En
ENSG00000179526	En
ENSG00000177917	En
ENSG00000167770	En
ENSG00000011426	En
ENSG00000106701	En
ENSG00000117280	En
ENSG00000143507	En
ENSG00000159658	En
ENSG00000278259	En
ENSG00000119431	En
ENSG00000168411	En
ENSG00000081181	En
ENSG00000187735	En
ENSG00000103852	En
ENSG00000173992	En
ENSG00000151065	En
ENSG00000113300	En
ENSG00000100568	En
ENSG00000156787	En
ENSG00000115414	En
ENSG00000075239	En
ENSG00000198730	En
ENSG00000100811	En
ENSG00000160087	En
ENSG00000159884	En
ENSG00000169621	En
ENSG00000011021	En
ENSG00000197860	En
ENSG00000275700	En
ENSG00000155008	En
ENSG00000157379	En
ENSG00000088298	En
ENSG00000100209	En
ENSG00000100106	En
ENSG00000142186	En
ENSG00000197771	En
ENSG00000114125	En
ENSG00000156504	En
ENSG00000108651	En
ENSG00000132256	En
ENSG00000095380	En
ENSG00000137343	En
ENSG00000051596	En
ENSG00000119760	En
ENSG00000076242	En
ENSG00000186141	En
ENSG00000017797	En
ENSG00000144524	En
ENSG00000205060	En
ENSG00000168591	En
ENSG00000109189	En
ENSG00000172922	En
ENSG00000159063	En
ENSG00000167699	En
ENSG00000102543	En
ENSG00000100360	En
ENSG00000058804	En
ENSG00000114744	En
ENSG00000143155	En
ENSG00000130159	En
ENSG00000162302	En
ENSG00000103855	En
ENSG00000156232	En
ENSG00000198945	En
ENSG00000130703	En
ENSG00000154719	En
ENSG00000138942	En
ENSG00000164024	En
