gene_symbol,marker_for,source,pmid,notes
GFAP,astrocyte,tsai,31042697,
SLC14A1,astrocyte,hodge,31435019,
AQP4,astrocyte,tsai,31042697,
SLC1A2,astrocyte,oldham,30154505,
FLT1,endothelia,tsai,31042697,
CLDN5,endothelia,tsai,31042697,
VWF,endothelia,oldham,30154505,
SATB2,excitatory,brie,,
SLC17A7,excitatory,hodge,31435019,
NRGN,excitatory,tsai,31042697,VGLUT1
SNAP25,excitatory,tsai,31042697,
GAD1,inhibitory,tsai | brie | hodge,31435019,
GAD2,inhibitory,tsai,31042697,
CD74,microglia,tsai,31042697,
CSF1R,microglia,tsai,31042697,
C3,microglia,tsai,31042697,
DOCK8,microglia,oldham,30154505,
MOBP,oligodendrocyte,tsai,31042697,
MOG,oligodendrocyte,oldham | brie,30154505,
TF,oligodendrocyte,oldham,30154505,
VCAN,opc,tsai,31042697,
PDGFRA,opc,tsai,31042697,
CSPG4,opc,tsai,31042697,
ACTA2,pericyte,Pericyte Review Nat Neuro 2016,27227366,
RGS5,pericyte,Pericyte Review Nat Neuro 2016,27227366,
PDGFRB,pericyte,mukouyama,29998128,
ARMC3,ependymal,oldham,30154505,
SPAG6,ependymal,oldham,30154505,
DNAH11,ependymal,oldham,30154505,
CD69,t_cell,,,
CD247,t_cell,,,
