gene_symbol,marker_for
SLC1A2,Astrocyte
SLC1A3,Astrocyte
AQP4,Astrocyte
CA2,Astrocyte
IL33,Astrocyte
ALDOC,Astrocyte
CSPG5,Astrocyte
HEPACAM,Astrocyte
GFAP,Astrocyte
ALDH1L1,Astrocyte
GLUL,Astrocyte
SOX9,Astrocyte
GRM3,Astrocyte
GRM5,Astrocyte
SLC1A2*,Grey
KCNJ10*,Grey
SLC1A3,Grey
AQP4,Grey
GFAP,Grey
ALDH1L1,Grey
NXRN1,Grey
SLC1A2*,Grey-synaptic
KCNJ10*,Grey-synaptic
ALDH1L1*,Grey-synaptic
SLC1A3,Grey-synaptic
AQP4,Grey-synaptic
GFAP,Grey-synaptic
SNAP25,Grey-synaptic
NXRN1,Grey-synaptic
GRIK2,Grey-synaptic
GRIA2,Grey-synaptic
GFAP*,White
S100B*,White
KCNJ10,White
NXRN1,White
SLC1A2,White
SLC1A3,White
AQP4,White
GFAP*,PANReactive
S100B*,PANReactive
CD44,PANReactive
LCN2,PANReactive
STEAP4,PANReactive
S1PR3,PANReactive
TIMP1,PANReactive
HSBP1,PANReactive
CXCL10,PANReactive
OSMR,PANReactive
CP,PANReactive
SERPINA3,PANReactive
ASPG,PANReactive
VIM,PANReactive
GFAP*,A1
S100B*,A1
C3,A1
HLA-E,A1
SERPING1,A1
HLA-A,A1
HLA-DRB1,A1
CYB5A,A1
HLA-DRB1,A1
FKBP5,A1
PSMB8,A1
SRGN,A1
AMIGO2,A1
TGM1,A2
PRDX3,A2
S100A10,A2
SPHK1,A2
CD109,A2
PTGS2,A2
EMP1,A2
SLC10A6,A2
B4GAT1,A2
CD14,A2
STAT3,A2
