gene,group
E2F8,broadly_reactive_cysteine
UBA6,broadly_reactive_cysteine
ESYT2,broadly_reactive_cysteine
MED19,broadly_reactive_cysteine
UHRF1BP1L,broadly_reactive_cysteine
ARHGAP10,broadly_reactive_cysteine
FAM168B,broadly_reactive_cysteine
ILVBL,broadly_reactive_cysteine
PLEKHG3,broadly_reactive_cysteine
ZC3H12D,broadly_reactive_cysteine
CXorf23,broadly_reactive_cysteine
NBAS,broadly_reactive_cysteine
TARSL2,broadly_reactive_cysteine
TESPA1,broadly_reactive_cysteine
TYW5,broadly_reactive_cysteine
DENND3,broadly_reactive_cysteine
KIAA0922,broadly_reactive_cysteine
VWA8,broadly_reactive_cysteine
SBNO1,broadly_reactive_cysteine
LAMB4,broadly_reactive_cysteine
ZNF804B,broadly_reactive_cysteine
GTPBP10,broadly_reactive_cysteine
WDR91,broadly_reactive_cysteine
RAB19,broadly_reactive_cysteine
LOC392621,broadly_reactive_cysteine
ERCC6L2,broadly_reactive_cysteine
KRBA1,broadly_reactive_cysteine
C5orf44,broadly_reactive_cysteine
CNOT1,broadly_reactive_cysteine
BDP1,broadly_reactive_cysteine
CCDC88B,broadly_reactive_cysteine
PGP,broadly_reactive_cysteine
C5orf51,broadly_reactive_cysteine
RPSAP58,broadly_reactive_cysteine
RCCD1,broadly_reactive_cysteine
FAM115C,broadly_reactive_cysteine
C17orf96,broadly_reactive_cysteine
SMCHD1,broadly_reactive_cysteine
CCDC154,broadly_reactive_cysteine
CCDC69,broadly_reactive_cysteine
UNC119B,broadly_reactive_cysteine
SLC15A5,broadly_reactive_cysteine
METTL15,broadly_reactive_cysteine
SOWAHD,broadly_reactive_cysteine
C15orf61,broadly_reactive_cysteine
BTBD11,broadly_reactive_cysteine
KIAA0913,broadly_reactive_cysteine
SFI1,broadly_reactive_cysteine
YDJC,broadly_reactive_cysteine
PHF20L1,broadly_reactive_cysteine
MIF4GD,broadly_reactive_cysteine
AHRR,broadly_reactive_cysteine
MYO1G,broadly_reactive_cysteine
VARS,broadly_reactive_cysteine
RP4-695O20,broadly_reactive_cysteine
TRIM6-TRIM34,broadly_reactive_cysteine
MYO9A,broadly_reactive_cysteine
CRYBG3,broadly_reactive_cysteine
ZNF879,broadly_reactive_cysteine
PAPD5,broadly_reactive_cysteine
ZNF736,broadly_reactive_cysteine
EIF3CL,broadly_reactive_cysteine
C9orf172,broadly_reactive_cysteine
C17orf49,broadly_reactive_cysteine
Uncharacterized,broadly_reactive_cysteine
VARS2,broadly_reactive_cysteine
PGBD3,broadly_reactive_cysteine
MTG1,broadly_reactive_cysteine
FAM193B,broadly_reactive_cysteine
SAMD1,broadly_reactive_cysteine
EPPK1,broadly_reactive_cysteine
TM9SF1,broadly_reactive_cysteine
RTEL1,broadly_reactive_cysteine
COPG2,broadly_reactive_cysteine
ARHGAP27,broadly_reactive_cysteine
SAC3D1,broadly_reactive_cysteine
DCAF8,broadly_reactive_cysteine
PEAK1,broadly_reactive_cysteine
C17orf103,broadly_reactive_cysteine
GTPBP6,broadly_reactive_cysteine
ANKHD1-EIF4EBP3,broadly_reactive_cysteine
HDGFRP2,broadly_reactive_cysteine
MRPS17,broadly_reactive_cysteine
ZNF625,broadly_reactive_cysteine
RAD17,broadly_reactive_cysteine
CDK11B,broadly_reactive_cysteine
DNASE2,broadly_reactive_cysteine
AGPS,broadly_reactive_cysteine
UBXN8,broadly_reactive_cysteine
KIF2A,broadly_reactive_cysteine
TK2,broadly_reactive_cysteine
DDX39A,broadly_reactive_cysteine
PDLIM1,broadly_reactive_cysteine
ACOT7,broadly_reactive_cysteine
MYO1C,broadly_reactive_cysteine
MYO1F,broadly_reactive_cysteine
SNAP23,broadly_reactive_cysteine
AIP,broadly_reactive_cysteine
GTPBP1,broadly_reactive_cysteine
STXBP3,broadly_reactive_cysteine
AP4M1,broadly_reactive_cysteine
RAB27B,broadly_reactive_cysteine
AP3B1,broadly_reactive_cysteine
APBB1,broadly_reactive_cysteine
LGALS8,broadly_reactive_cysteine
NDUFS8,broadly_reactive_cysteine
NFKBIE,broadly_reactive_cysteine
PSMD11,broadly_reactive_cysteine
PSMD12,broadly_reactive_cysteine
PSMD9,broadly_reactive_cysteine
ATOX1,broadly_reactive_cysteine
MEN1,broadly_reactive_cysteine
CBX4,broadly_reactive_cysteine
SUPT5H,broadly_reactive_cysteine
TAF4,broadly_reactive_cysteine
DFFA,broadly_reactive_cysteine
RFXAP,broadly_reactive_cysteine
HIP1,broadly_reactive_cysteine
CLIC1,broadly_reactive_cysteine
EIF3F,broadly_reactive_cysteine
WWP2,broadly_reactive_cysteine
CDC7,broadly_reactive_cysteine
ARNTL,broadly_reactive_cysteine
PIK3CD,broadly_reactive_cysteine
PDHX,broadly_reactive_cysteine
P2RY10,broadly_reactive_cysteine
DCTN6,broadly_reactive_cysteine
WASL,broadly_reactive_cysteine
FOXN3,broadly_reactive_cysteine
IPO5,broadly_reactive_cysteine
POLRMT,broadly_reactive_cysteine
SAP18,broadly_reactive_cysteine
DNM1L,broadly_reactive_cysteine
RTCA,broadly_reactive_cysteine
PIK3C2A,broadly_reactive_cysteine
LST1,broadly_reactive_cysteine
IFRD1,broadly_reactive_cysteine
PIK3R2,broadly_reactive_cysteine
MANBA,broadly_reactive_cysteine
TRAF5,broadly_reactive_cysteine
EXOC5,broadly_reactive_cysteine
ELL2,broadly_reactive_cysteine
BTN3A3,broadly_reactive_cysteine
BTN3A1,broadly_reactive_cysteine
NDUFA4,broadly_reactive_cysteine
PSMD14,broadly_reactive_cysteine
BIN1,broadly_reactive_cysteine
KPNA3,broadly_reactive_cysteine
STK25,broadly_reactive_cysteine
USP9Y,broadly_reactive_cysteine
BCL9,broadly_reactive_cysteine
KRIT1,broadly_reactive_cysteine
VWA5A,broadly_reactive_cysteine
PES1,broadly_reactive_cysteine
SDCBP,broadly_reactive_cysteine
PITPNM1,broadly_reactive_cysteine
MPHOSPH10,broadly_reactive_cysteine
NOP56,broadly_reactive_cysteine
RNASET2,broadly_reactive_cysteine
GABRP,broadly_reactive_cysteine
KPNA4,broadly_reactive_cysteine
TRIM38,broadly_reactive_cysteine
PPP6C,broadly_reactive_cysteine
PIK3C2B,broadly_reactive_cysteine
MAN2B1,broadly_reactive_cysteine
UBE2C,broadly_reactive_cysteine
PDXK,broadly_reactive_cysteine
ARID1A,broadly_reactive_cysteine
BHLHE40,broadly_reactive_cysteine
SOCS2,broadly_reactive_cysteine
C2CD2L,broadly_reactive_cysteine
TMEM194A,broadly_reactive_cysteine
FCHO1,broadly_reactive_cysteine
TXNDC9,broadly_reactive_cysteine
DPYSL4,broadly_reactive_cysteine
TRAFD1,broadly_reactive_cysteine
GAPDHS,broadly_reactive_cysteine
NDUFAB1,broadly_reactive_cysteine
CIT,broadly_reactive_cysteine
COPE,broadly_reactive_cysteine
EIF1AY,broadly_reactive_cysteine
UTY,broadly_reactive_cysteine
AP3D1,broadly_reactive_cysteine
CCS,broadly_reactive_cysteine
GPR171,broadly_reactive_cysteine
DVL2,broadly_reactive_cysteine
CHD1,broadly_reactive_cysteine
CHD2,broadly_reactive_cysteine
TOR1A,broadly_reactive_cysteine
TOR1B,broadly_reactive_cysteine
ADAM10,broadly_reactive_cysteine
MLL2,broadly_reactive_cysteine
ITGB1BP1,broadly_reactive_cysteine
TRDMT1,broadly_reactive_cysteine
APAF1,broadly_reactive_cysteine
RIOK3,broadly_reactive_cysteine
MAP2K7,broadly_reactive_cysteine
ACOT8,broadly_reactive_cysteine
PRMT5,broadly_reactive_cysteine
SLC9A3R1,broadly_reactive_cysteine
CHEK1,broadly_reactive_cysteine
TPP1,broadly_reactive_cysteine
TCERG1,broadly_reactive_cysteine
NDC80,broadly_reactive_cysteine
KIF3C,broadly_reactive_cysteine
TNPO2,broadly_reactive_cysteine
POLR3A,broadly_reactive_cysteine
PSMA7,broadly_reactive_cysteine
RASGRF2,broadly_reactive_cysteine
AIM2,broadly_reactive_cysteine
BACH1,broadly_reactive_cysteine
BCKDK,broadly_reactive_cysteine
IFIT3,broadly_reactive_cysteine
MGST3,broadly_reactive_cysteine
GEMIN2,broadly_reactive_cysteine
IKBKB,broadly_reactive_cysteine
HAT1,broadly_reactive_cysteine
UBE2L6,broadly_reactive_cysteine
CASK,broadly_reactive_cysteine
MYL12B,broadly_reactive_cysteine
HGS,broadly_reactive_cysteine
AURKA,broadly_reactive_cysteine
RAB7L1,broadly_reactive_cysteine
DSCR3,broadly_reactive_cysteine
PPP1R12A,broadly_reactive_cysteine
SLC27A2,broadly_reactive_cysteine
GAK,broadly_reactive_cysteine
HNRPDL,broadly_reactive_cysteine
XPO1,broadly_reactive_cysteine
BTAF1,broadly_reactive_cysteine
ZNF609,broadly_reactive_cysteine
ZNF646,broadly_reactive_cysteine
MAST4,broadly_reactive_cysteine
SEC16A,broadly_reactive_cysteine
PLXNB2,broadly_reactive_cysteine
KIAA0317,broadly_reactive_cysteine
KHNYN,broadly_reactive_cysteine
TECPR2,broadly_reactive_cysteine
U2SURP,broadly_reactive_cysteine
SETD1A,broadly_reactive_cysteine
TRANK1,broadly_reactive_cysteine
KDM6B,broadly_reactive_cysteine
SYNJ2,broadly_reactive_cysteine
KIAA0355,broadly_reactive_cysteine
PFAS,broadly_reactive_cysteine
MCF2L,broadly_reactive_cysteine
ANKRD28,broadly_reactive_cysteine
KIAA0391,broadly_reactive_cysteine
CHUK,broadly_reactive_cysteine
FYB,broadly_reactive_cysteine
NPC1,broadly_reactive_cysteine
SCAMP2,broadly_reactive_cysteine
ARPC1B,broadly_reactive_cysteine
ARPC2,broadly_reactive_cysteine
ARPC3,broadly_reactive_cysteine
BET1,broadly_reactive_cysteine
ZBTB7B,broadly_reactive_cysteine
POLR1C,broadly_reactive_cysteine
PLSCR1,broadly_reactive_cysteine
TRIM24,broadly_reactive_cysteine
AXIN1,broadly_reactive_cysteine
PGRMC2,broadly_reactive_cysteine
RGL2,broadly_reactive_cysteine
WDR46,broadly_reactive_cysteine
NKRF,broadly_reactive_cysteine
GNPAT,broadly_reactive_cysteine
ZNF185,broadly_reactive_cysteine
MRPS12,broadly_reactive_cysteine
LEPROT,broadly_reactive_cysteine
CLIC2,broadly_reactive_cysteine
ACOX3,broadly_reactive_cysteine
SURF4,broadly_reactive_cysteine
ATXN7,broadly_reactive_cysteine
SPTLC1,broadly_reactive_cysteine
SPTLC2,broadly_reactive_cysteine
FANCG,broadly_reactive_cysteine
OGT,broadly_reactive_cysteine
PPM1D,broadly_reactive_cysteine
SIVA1,broadly_reactive_cysteine
PMM2,broadly_reactive_cysteine
RAD51B,broadly_reactive_cysteine
INPP4B,broadly_reactive_cysteine
HMGB3,broadly_reactive_cysteine
