gene,class,block
GABBRA,CLASS_1_REGION,NA
MOG,CLASS_1_REGION,NA
ZNP57,CLASS_1_REGION,NA
HLA-F,CLASS_1_REGION,ALPHA
MICE,CLASS_1_REGION,ALPHA
HLA-G,CLASS_1_REGION,ALPHA
HLA-A,CLASS_1_REGION,ALPHA
HCG9,CLASS_1_REGION,ALPHA
ZNRD1,CLASS_1_REGION,NA
PPP1R11,CLASS_1_REGION,NA
RNF39,CLASS_1_REGION,NA
TRIM31,CLASS_1_REGION,NA
TRIM40,CLASS_1_REGION,NA
TRIM10,CLASS_1_REGION,NA
TRIM15,CLASS_1_REGION,NA
TRIM26,CLASS_1_REGION,NA
FLJ45422,CLASS_1_REGION,KAPPA
LOC100133303,CLASS_1_REGION,KAPPA
TRIM39,CLASS_1_REGION,KAPPA
RPP21,CLASS_1_REGION,KAPPA
HLA-E,CLASS_1_REGION,KAPPA
GNL1,CLASS_1_REGION,NA
PRR3,CLASS_1_REGION,NA
ABCF1,CLASS_1_REGION,NA
PPP1R10,CLASS_1_REGION,NA
MRPS18B,CLASS_1_REGION,NA
C6ORF134,CLASS_1_REGION,NA
C6ORF136,CLASS_1_REGION,NA
DHX16,CLASS_1_REGION,NA
KIAA1949,CLASS_1_REGION,NA
NRM,CLASS_1_REGION,NA
MDC1,CLASS_1_REGION,NA
TUBB,CLASS_1_REGION,NA
FLOT1,CLASS_1_REGION,NA
IER3,CLASS_1_REGION,NA
DDR1,CLASS_1_REGION,NA
GTF2H4,CLASS_1_REGION,NA
VARS2,CLASS_1_REGION,NA
SFTA2,CLASS_1_REGION,NA
LOC100129065,CLASS_1_REGION,NA
DPCR1,CLASS_1_REGION,NA
MUC21,CLASS_1_REGION,NA
LOC729792,CLASS_1_REGION,NA
6ORF15,CLASS_1_REGION,NA
CDSN,CLASS_1_REGION,NA
PSORS1C1,CLASS_1_REGION,NA
PSORS1C2,CLASS_1_REGION,NA
CCHCR1,CLASS_1_REGION,NA
TCF19,CLASS_1_REGION,NA
POU5F1,CLASS_1_REGION,NA
PSORS1C3,CLASS_1_REGION,NA
HCG27,CLASS_1_REGION,NA
HLA-C,CLASS_1_REGION,BETA
HLA-B,CLASS_1_REGION,BETA
MICA,CLASS_1_REGION,BETA
HCP5,CLASS_1_REGION,BETA
MICB,CLASS_1_REGION,BETA
MCCD1,CLASS_3_REGION,NA
BAT1,CLASS_3_REGION,NA
SNORD117,CLASS_3_REGION,NA
SNORD84,CLASS_3_REGION,NA
ATP6VIG2,CLASS_3_REGION,NA
NFKBIL1,CLASS_3_REGION,NA
LTA,CLASS_3_REGION,NA
TNF,CLASS_3_REGION,NA
LTB,CLASS_3_REGION,NA
LST1,CLASS_3_REGION,NA
NCR3,CLASS_3_REGION,NA
LOC10013056,CLASS_3_REGION,NA
AIF2,CLASS_3_REGION,NA
BAT2,CLASS_3_REGION,NA
BAT3,CLASS_3_REGION,NA
APOM,CLASS_3_REGION,NA
C6ORF74,CLASS_3_REGION,NA
BAT4,CLASS_3_REGION,NA
CSNK2B,CLASS_3_REGION,NA
LY6G5C,CLASS_3_REGION,NA
LY6G5B,CLASS_3_REGION,NA
BAT5,CLASS_3_REGION,NA
LY6G6D,CLASS_3_REGION,NA
LY6G6C,CLASS_3_REGION,NA
DDAH2,CLASS_3_REGION,NA
CLIC1,CLASS_3_REGION,NA
MSH5,CLASS_3_REGION,NA
VARS,CLASS_3_REGION,NA
LSM2,CLASS_3_REGION,NA
HSPA1L,CLASS_3_REGION,NA
HSPA1A,CLASS_3_REGION,NA
HSP1B,CLASS_3_REGION,NA
C6ORF48,CLASS_3_REGION,NA
NEU1,CLASS_3_REGION,NA
SLC44A4,CLASS_3_REGION,NA
LOC100128067,CLASS_3_REGION,NA
EHMT2,CLASS_3_REGION,NA
ZBTB12,CLASS_3_REGION,NA
C2,CLASS_3_REGION,NA
CFB,CLASS_3_REGION,NA
RDBP,CLASS_3_REGION,NA
SKIV2L,CLASS_3_REGION,NA
DOM3Z,CLASS_3_REGION,NA
STK19,CLASS_3_REGION,NA
C4B,CLASS_3_REGION,NA
C4A,CLASS_3_REGION,NA
CYP21A2,CLASS_3_REGION,NA
TNXB,CLASS_3_REGION,NA
CREBL1,CLASS_3_REGION,NA
FKBPL,CLASS_3_REGION,NA
PRRT1,CLASS_3_REGION,NA
PPT2,CLASS_3_REGION,NA
EGFL8,CLASS_3_REGION,NA
AGPAT1,CLASS_3_REGION,NA
RNF5,CLASS_3_REGION,NA
AGER,CLASS_3_REGION,NA
PBX2,CLASS_3_REGION,NA
GPSM3,CLASS_3_REGION,NA
NOTCH4,CLASS_3_REGION,NA
C6ORF10,CLASS_3_REGION,NA
BTNL2,CLASS_3_REGION,NA
HLA-DRA,CLASS2_REGION,NA
HLA-DRB9,CLASS2_REGION,NA
HLA-DRB5,CLASS2_REGION,NA
HLA-DRB1,CLASS2_REGION,NA
HLA-DQA1,CLASS2_REGION,NA
HLA-DQB1,CLASS2_REGION,NA
HLA-DQBA,CLASS2_REGION,NA
HLA-DOB,CLASS2_REGION,NA
TAP2,CLASS2_REGION,NA
PSMB8,CLASS2_REGION,NA
TAP1,CLASS2_REGION,NA
PSMB9,CLASS2_REGION,NA
HLA-DMB,CLASS2_REGION,NA
HLA-DMA,CLASS2_REGION,NA
BRD2,CLASS2_REGION,NA
HLA-DOA,CLASS2_REGION,NA
HLA-DPA1,CLASS2_REGION,NA
HLA-DPB1,CLASS2_REGION,NA
COL11A2,EXT_CLASS2_REGION,NA
RXRB,EXT_CLASS2_REGION,NA
SLC39A7,EXT_CLASS2_REGION,NA
HSF17B8,EXT_CLASS2_REGION,NA
RING1,EXT_CLASS2_REGION,NA
VPS52,EXT_CLASS2_REGION,NA
RPS18,EXT_CLASS2_REGION,NA
B3GALT4,EXT_CLASS2_REGION,NA
WDR46,EXT_CLASS2_REGION,NA
PFDN6,EXT_CLASS2_REGION,NA
RGL2,EXT_CLASS2_REGION,NA
TAPBP,EXT_CLASS2_REGION,NA
ZBTB22,EXT_CLASS2_REGION,NA
DAXX,EXT_CLASS2_REGION,NA
LOC646720,EXT_CLASS2_REGION,NA
KIFC1,EXT_CLASS2_REGION,NA

