Black,Blue,Brown,Green,Greenyellow,Magenta,Pink,Purple,Red,Tan,Turquoise,Yellow
2310022B05Rik,0610009O20Rik,2010107E04Rik,1500009C09Rik,AA474408,1700019D03Rik,2210013O21Rik,Apoe,2810468N07Rik,2810433D01Rik,0610007P14Rik,Chchd2
AI464131,1110012L19Rik,2900011O08Rik,2310061I04Rik,Arhgap5,1810041L15Rik,6330403K07Rik,Arpc1b,5031439G07Rik,Ace,0610009B22Rik,Eef1a1
Abhd4,1110038F14Rik,6430548M08Rik,2410015M20Rik,BC001981,Adarb1,A730017C20Rik,Axl,Abca2,Akr7a5,0610010F05Rik,Fau
Aco2,1500015O10Rik,AI593442,Acss2,Cachd1,Adarb2,AW551984,B2m,Anln,Asxl2,0610012G03Rik,Ftl1
Acot11,1600012H06Rik,Aak1,Acyp2,Crlf1,Adcy8,Abat,C1qa,Apod,Atp1a3,0610037L13Rik,Ftl1-ps1
Acsbg1,1600014C10Rik,Aars,Agpat5,Emilin2,Adgra1,Ahi1,C1qb,Arhgap23,Bloc1s3,1110004E09Rik,Gas5
Acsl3,1700047I17Rik2,Abcg4,Aig1,Fbn1,Adgrf5,Amigo2,C1qc,Arhgef10,Clic6,1110004F10Rik,Gm10036
Adcyap1r1,1810026B05Rik,Acly,Aktip,Gcn1l1,Adra1b,Ankrd34b,C4a,Arrdc3,Cnot3,1110008F13Rik,Gm10059
Adgrg1,1810058I24Rik,Acot13,Aldh5a1,Gm11410,Amotl1,Ap1s2,C4b,Arsg,Col9a3,1110008P14Rik,Gm10073
Agt,2210016F16Rik,Acot7,Anapc2,Gm12155,Ankrd34c,Araf,Cd63,Aspa,Enpp2,1110032A03Rik,Gm10076
Aldh1a1,2210408F21Rik,Actb,Arl2,Gm15564,Arhgap44,Arhgdig,Cd63-ps,Atp1b3,Folr1,1110032F04Rik,Gm10086
Aldoc,2310009B15Rik,Actg1,Arl4c,Gm20594,Atp6ap2,Arxes2,Cd9,Bcas1,Foxn3,1110037F02Rik,Gm10126
Anxa5,2310011J03Rik,Adam23,Arl6ip4,Gm24245,Atpaf1,B630019K06Rik,Clu,Bin1,Gm10801,1110038B12Rik,Gm10154
Apln,2410006H16Rik,Adap1,Asb13,Gm24270,Avpi1,Baiap3,Csf1r,Bnip3l,Gm15728,1110051M20Rik,Gm10180
Aqp4,2410089E03Rik,Adar,Atp5f1,Gm25911,B4galt5,Bend6,Cst3,Car2,Gm43841,1110059E24Rik,Gm10263
Asrgl1,2510002D24Rik,Adgrb1,B230118H07Rik,Gm26917,Bok,Bex1,Ctsa,Carhsp1,Gm4750,1110059G10Rik,Gm10275
Atp1a2,2510009E07Rik,Adprh,BC029722,Gm28439,Cacna1g,Bex2,Ctsb,Cd81,Hmgcl,1110065P20Rik,Gm10288
Atp1b2,2610008E11Rik,Aes,Babam1,Gm42418,Ccdc136,Bex3,Ctsd,Cd82,Igf2,1190002N15Rik,Gm10343
Bcan,2610044O15Rik8,Agtpbp1,Bcap31,Gm43743,Cd47,Bex4,Ctsh,Cdc42ep1,Igfbp2,1500004A13Rik,Gm10443
Bsg,2610203C20Rik,Akr1a1,Bcat1,Ift46,Chrna4,Blcap,Ctsl,Cdc42ep2,Kif15,1500009L16Rik,Gm10689
Btbd17,2610507B11Rik,Aldoa,Bpgm,Kif5a,Cit,Cacna2d2,Ctss,Cers2,Kif3a,1500011B03Rik,Gm10736
Cacng4,2810001G20Rik,Amph,Cat,Kif5b,Clmn,Cacybp,Ctsz,Cldn11,Kl,1500011K16Rik,Gm11425
Cadm4,2810004N23Rik,Ankrd29,Ccdc92,Lars2,Cpne9,Calb2,Cx3cr1,Clic4,Lrrc17,1700001L19Rik,Gm11694
Cbln1,2810013P06Rik,Ap1b1,Cd99l2,Lbx1,Ctnnb1,Caly,Cyba,Cnp,Oaz1,1700003E16Rik,Gm11878
Cd59a,2810025M15Rik,Ap2a1,Cdc123,Malat1,Dbndd1,Camk2d,Fcer1g,Cntn2,Pip5k1a,1700020I14Rik,Gm11942
Chga,2810403A07Rik,Ap2a2,Cept1,Mios,Edil3,Camk2n2,Fcgr3,Cryab,Prlr,1700021F05Rik,Gm12013
Ckb,2900026A02Rik,Ap2m1,Cfl2,Mir6236,Elmo1,Canx,Fcrls,Csrp1,Sez6,1700025G04Rik,Gm12034
Ckb-ps1,2900052N01Rik,Apbb1,Chst10,Mt3,Eml1,Cartpt,Gfap,Dbi,Slc13a4,1700037H04Rik,Gm12191
Cntfr,3110043O21Rik,Aplp1,Clcn6,Nop9,Enho,Cbln2,Gns,Ddr1,Sostdc1,1700066M21Rik,Gm12350
Cox7a2l,3632451O06Rik,Aplp2,Cmas,Plpp3,Eps8l2,Cbln4,Gpx4,Degs1,Sulf1,1700123O20Rik,Gm12380
Ctnnbip1,3830406C13Rik,App,Col4a3bp,Ptprz1,Fam20c,Cd200,Grn,Desi1,Supt7l,1810013L24Rik,Gm12466
Ctxn3,4430402I18Rik,Arhgdia,Coprs,Purb,Fndc4,Cd83,Gusb,Dnajb2,Timm22,1810022K09Rik,Gm12918
Cyp2j9,4833439L19Rik,Arhgef4,Cops3,Rn18s-rs5,Gabbr2,Celf6,H2-D1,Dusp26,Ttr,1810030O07Rik,Gm12943
Ddah1,4921524J17Rik,Arl3,Creg1,Sept5,Gabra4,Chd3os,H2-K1,Dync1li2,Vps8,1810037I17Rik,Gm12967
Eef2,4930402H24Rik,Arl6ip1,Csdc2,Slc1a2,Gdpd5,Crebl2,Hexa,Efhd1,,1810043G02Rik,Gm13192
Epas1,4930430F08Rik,Asic2,Cuta,Slc46a3,Gnal,Cxx1a,Hexb,Efnb3,,1810055G02Rik,Gm13202
Etnppl,4930453N24Rik,Asns,Cxxc4,mt-Nd6,Gpr153,Cxx1b,Igfbp5,Elavl3,,2010107G23Rik,Gm13456
Fads1,4931406C07Rik,Aspscr1,Cyp51,mt-Rnr1,Grm1,Cygb,Itgb5,Elovl1,,2010204K13Rik,Gm13623
Fam107a,4931406P16Rik,Atf4,Ddt,mt-Rnr2,Grm4,Dcaf12l1,Itm2b,Elovl7,,2010300C02Rik,Gm13862
Fam213a,4933431E20Rik,Atp1b1,Ddx25,,Hdac9,Disp2,Laptm5,Endod1,,2210016L21Rik,Gm14044
Fgfr3,6820431F20Rik,Atp2a2,Ddx3y,,Hlf,Dner,Lgals3bp,Epb41l3,,2300009A05Rik,Gm14303
Foxp2,9030624J02Rik,Atp2b1,Dhrs1,,Ildr2,Dnm3,Lgmn,Ermn,,2310009A05Rik,Gm14407
Gja1,9330132A10Rik,Atp2b2,Dnajc15,,Inpp5a,Dpysl5,Ly86,Evi2a,,2310035C23Rik,Gm14439
Gjb6,9330182L06Rik,Atp5a1,Dpysl3,,Kcnc2,Dzank1,Lyz2,Fa2h,,2310036O22Rik,Gm14586
Glud1,9430020K01Rik,Atp5b,Echs1,,Kcnd2,Elavl2,Man2b1,Fgfr2,,2310057M21Rik,Gm14633
Glul,9930021J03Rik,Atp5c1,Eef1b2,,Kcnip4,Elavl4,Mpeg1,Fnbp1,,2410002F23Rik,Gm14859
Gm10925,A230103L15Rik,Atp5d,Eml2,,Kitl,Epm2aip1,Npc2,Frmd8,,2410004B18Rik,Gm15198
