gene_symbol,marker_for,source
NRGN,excitatory,tsai
 CMAK2A,excitatory,tsai
 SLC17A7,excitatory,tsai
 GRIN1,excitatory,tsai
 SNAP25,excitatory,tsai
 SYT1,excitatory,tsai
GAD1,inhibitory,tsai
 GAD2,inhibitory,tsai
AQP4,astrocyte,tsai
 GFAP,astrocyte,tsai
MBP,oligo,tsai
 MOBP,oligo,tsai
 PLP1,oligo,tsai
CD74,micro,tsai
 CSF1R,micro,tsai
 C3,micro,tsai
VCAN,OPC,tsai
 PDGFRA,OPC,tsai
 CSPG4,OPC,tsai
FLT1,endo,tsai
 CLDN5,endo,tsai
ITI,pericyte,tsai
,,
NSF,neuron,Oldham
NRXN1,neuron,Oldham
SNAP25S2B,neuron,Oldham
SYT1,neuron,Oldham
DLG4,neuron,Oldham
SNAP25,neuron,Oldham
SCN8A,neuron,Oldham
NRCAM,neuron,Oldham
CYN,neuron,Oldham
ENO2,neuron,Oldham
GJA1,astrocyte,Oldham
SLC1A3,astrocyte,Oldham
SLC1A2,astrocyte,Oldham
AQP4,astrocyte,Oldham
GLUD1,astrocyte,Oldham
GLUL,astrocyte,Oldham
SOX2,astrocyte,Oldham
SOX9,astrocyte,Oldham
ALDIHL1,astrocyte,Oldham
GFAP,astrocyte,Oldham
MOG,oligo,Oldham
MAG,oligo,Oldham
PLP1,oligo,Oldham
CNP,oligo,Oldham
TF,oligo,Oldham
MYRF,oligo,Oldham
SOX10,oligo,Oldham
MBP,oligo,Oldham
OLIG2,oligo,Oldham
AIF1,micro,Oldham
TYROBP,micro,Oldham
CSF1R,micro,Oldham
TREM2,micro,Oldham
ITGAM,micro,Oldham
PTPRC,micro,Oldham
CXC3R1,micro,Oldham
CD68,micro,Oldham
P2RY12,micro,Oldham
CD33,micro,Oldham
A2M,endothelial,Oldham
SLC2A1,endothelial,Oldham
VWF,endothelial,Oldham
EPAS1,endothelial,Oldham
PODXL,endothelial,Oldham
TGFBR2,endothelial,Oldham
HLA-E,endothelial,Oldham
TMEM204,endothelial,Oldham
APOL3,endothelial,Oldham
GPR116,endothelial,Oldham
C11ORF88,ependymal ,Oldham
FAM81B,ependymal ,Oldham
ARMC3,ependymal ,Oldham
SSLC47A2,ependymal ,Oldham
SPAG17,ependymal ,Oldham
DNAH11,ependymal ,Oldham
FAM183A,ependymal ,Oldham
CCDC19,ependymal ,Oldham
DNAH12,ependymal ,Oldham
SPAG6,ependymal ,Oldham
,,
NSF,neuron,OLDHAM EXTENDED
SNAP25,neuron,OLDHAM EXTENDED
TRIM37,neuron,OLDHAM EXTENDED
ATP2A2,neuron,OLDHAM EXTENDED
MAPK9,neuron,OLDHAM EXTENDED
PPP3CB,neuron,OLDHAM EXTENDED
CNR1,neuron,OLDHAM EXTENDED
CELF2,neuron,OLDHAM EXTENDED
CAP2,neuron,OLDHAM EXTENDED
CHM,neuron,OLDHAM EXTENDED
ACTR3B,neuron,OLDHAM EXTENDED
GUCY1B3,neuron,OLDHAM EXTENDED
OXCT1,neuron,OLDHAM EXTENDED
NRXN1,neuron,OLDHAM EXTENDED
GRIN2B,neuron,OLDHAM EXTENDED
