gene_symbol,marker_for,source,pmid,marker_group
CBLN2,"L2,L3",lake,29227469,G23
CUX2,"L2,L3,L4",lake,29227469,G23
RASGRF2,"L2,L3,L4",lake,29227469,G23
CUX2,"L2,L3,L4",lake,29227469,G4
RASGRF2,"L2,L3,L4",lake,29227469,G4
COL5A2,L4,lake,29227469,G4
EYA4,L4,lake,29227469,G4
GLIS3,L4,lake,29227469,G4
HSP8,L4,lake,29227469,G4
NEFM,L4,lake,29227469,G4
PHACTR2,L4,lake,29227469,G4
IL1RAPL2,"L4,L5,L6",lake,29227469,G4
RORB,"L4,L5,L6",lake,29227469,G4
TSHZ2,"L4,L5,L6",lake,29227469,G4
FOXP2,"L4,L5,L6",lake,29227469,G456
FOXP2,"L4,L5,L6",lake,29227469,G456
IL1RAPL2,"L4,L5,L6",lake,29227469,G456
IL1RAPL2,"L4,L5,L6",lake,29227469,G456
RORB,"L4,L5,L6",lake,29227469,G456
RORB,"L4,L5,L6",lake,29227469,G456
TSHZ2,"L4,L5,L6",lake,29227469,G456
TSHZ2,"L4,L5,L6",lake,29227469,G456
HS3ST2,"L5,L6",lake,29227469,G456
HS3ST5,"L5,L6",lake,29227469,G456
HTR2C,"L5,L6",lake,29227469,G456
PCP4,"L5,L6",lake,29227469,G456
PDE1C,"L5,L6",lake,29227469,G456
TLE4,"L5,L6",lake,29227469,G456
NR4A2,L6,lake,29227469,G456
