gene_symbol,marker_for,source,pmid
LAMP5,L2,hodge,31435019
LTK,"L2,L3,L4",hodge,31435019
LINC00507,"L2,L3,L4",hodge,31435019
GLP2R,"L2,L3,L4",hodge,31435019
FREM3,"L2,L3",hodge,31435019
RORB,"L3,L4,L5,L6",hodge,31435019
CARM1P1,"L3,L4",hodge,31435019
ESR1,"L3,L4,L5",hodge,31435019
COL22A1,"L3,L4,L5",hodge,31435019
FILIP1L,"L3,L4,L5",hodge,31435019
TWIST2,"L3,L4,L5",hodge,31435019
FOLH1B,"L4,L5",hodge,31435019
SEMA3E,"L4,L5,L6",hodge,31435019
DAPK2,"L4,L5",hodge,31435019
TTC12,"L5,L6",hodge,31435019
C1R,"L4,L5,L6",hodge,31435019
SCN4B,"L4,5",hodge,31435019
C1QL3,"L5,L6",hodge,31435019
DCSTAMP,"L5,L6",hodge,31435019
CRABP1,"L5,L6",hodge,31435019
FGF10,"L5,L6",hodge,31435019
IL26,"L4,L5,L6",hodge,31435019
ABO,"L5,L6",hodge,31435019
SCUBE1,L6,hodge,31435019
IL15,"L5,L6",hodge,31435019
OR2T8,L6,hodge,31435019
EFTUD1P1,"L5,L6",hodge,31435019
FEZF2,"L4,L5,L6",hodge,31435019
CBLN2,"L2,L3",lake,29227469
RASGRF2,"L2,L3,L4",lake,29227469
COL5A2,L4,lake,29227469
GLIS3,L4,lake,29227469
CUX2,"L2,L3,L4",lake,29227469
NEFM,L4,lake,29227469
RORB,"L4,L5,L6",lake,29227469
PHACTR2,L4,lake,29227469
EYA4,L4,lake,29227469
IL1RAPL2,"L4,L5,L6",lake,29227469
HSP8,L4,lake,29227469
TSHZ2,"L4,L5,L6",lake,29227469
FOXP2,"L4,L5,L6",lake,29227469
PCP4,"L5,L6",lake,29227469
PDE1C,"L5,L6",lake,29227469
HS3ST2,"L5,L6",lake,29227469
HS3ST5,"L5,L6",lake,29227469
HTR2C,"L5,L6",lake,29227469
TLE4,"L5,L6",lake,29227469
NR4A2,L6,lake,29227469
RELN,Gran,lake,29227469
