MODULE	GENE
ad_all_filtered1_up_t2	ABCA2
ad_all_filtered1_up_t2	AC074327.1
ad_all_filtered1_up_t2	ACTB
ad_all_filtered1_up_t2	ACTG1
ad_all_filtered1_up_t2	AL359091.1
ad_all_filtered1_up_t2	ALCAM
ad_all_filtered1_up_t2	ANKAR
ad_all_filtered1_up_t2	ANLN
ad_all_filtered1_up_t2	APLP1
ad_all_filtered1_up_t2	APOD
ad_all_filtered1_up_t2	APOE
ad_all_filtered1_up_t2	ARAP1
ad_all_filtered1_up_t2	ARHGEF2
ad_all_filtered1_up_t2	ARL17B
ad_all_filtered1_up_t2	ARMC9
ad_all_filtered1_up_t2	ARPP19
ad_all_filtered1_up_t2	ATG4B
ad_all_filtered1_up_t2	AUP1
ad_all_filtered1_up_t2	BIN1
ad_all_filtered1_up_t2	BSG
ad_all_filtered1_up_t2	C3
ad_all_filtered1_up_t2	CCP110
ad_all_filtered1_up_t2	CCT4
ad_all_filtered1_up_t2	CD81
ad_all_filtered1_up_t2	CDK18
ad_all_filtered1_up_t2	CERCAM
ad_all_filtered1_up_t2	CLSTN1
ad_all_filtered1_up_t2	CNOT6L
ad_all_filtered1_up_t2	CNPY3
ad_all_filtered1_up_t2	CNTN2
ad_all_filtered1_up_t2	COL4A5
ad_all_filtered1_up_t2	CORO1A
ad_all_filtered1_up_t2	COX4I1
ad_all_filtered1_up_t2	CRYAB
ad_all_filtered1_up_t2	CYBA
ad_all_filtered1_up_t2	DDIT4
ad_all_filtered1_up_t2	DDX5
ad_all_filtered1_up_t2	DNAJB2
ad_all_filtered1_up_t2	DPYSL2
ad_all_filtered1_up_t2	DUSP1
ad_all_filtered1_up_t2	EP400
ad_all_filtered1_up_t2	ESRRG
ad_all_filtered1_up_t2	ETS2
ad_all_filtered1_up_t2	EZH1
ad_all_filtered1_up_t2	FCGBP
ad_all_filtered1_up_t2	FCGR3A
ad_all_filtered1_up_t2	FTH1
ad_all_filtered1_up_t2	FTL
ad_all_filtered1_up_t2	GLUL
ad_all_filtered1_up_t2	GPM6B
ad_all_filtered1_up_t2	GRID2
ad_all_filtered1_up_t2	GRIN1
ad_all_filtered1_up_t2	GRN
ad_all_filtered1_up_t2	HIF1A
ad_all_filtered1_up_t2	HLA-A
ad_all_filtered1_up_t2	HLA-B
ad_all_filtered1_up_t2	HSD17B11
ad_all_filtered1_up_t2	HSPA8
ad_all_filtered1_up_t2	ITGB1
ad_all_filtered1_up_t2	ITM2B
ad_all_filtered1_up_t2	IVNS1ABP
ad_all_filtered1_up_t2	KTN1
ad_all_filtered1_up_t2	LAMP2
ad_all_filtered1_up_t2	LINC01684
ad_all_filtered1_up_t2	LRRTM3
ad_all_filtered1_up_t2	MAP1A
ad_all_filtered1_up_t2	MAT2A
ad_all_filtered1_up_t2	MDH1
ad_all_filtered1_up_t2	MORF4L2
ad_all_filtered1_up_t2	MT-ND3
ad_all_filtered1_up_t2	MT2A
ad_all_filtered1_up_t2	NDRG2
ad_all_filtered1_up_t2	NISCH
ad_all_filtered1_up_t2	NLGN4Y
ad_all_filtered1_up_t2	NPAS3
ad_all_filtered1_up_t2	NR3C1
ad_all_filtered1_up_t2	NUMA1
ad_all_filtered1_up_t2	PAFAH1B1
ad_all_filtered1_up_t2	PCSK1N
ad_all_filtered1_up_t2	PDXDC1
ad_all_filtered1_up_t2	PFN1
ad_all_filtered1_up_t2	PGK1
ad_all_filtered1_up_t2	PJA2
ad_all_filtered1_up_t2	PKP4
ad_all_filtered1_up_t2	PLA2G16
ad_all_filtered1_up_t2	PLP1
ad_all_filtered1_up_t2	PPDPF
ad_all_filtered1_up_t2	PPIA
ad_all_filtered1_up_t2	PRDX1
ad_all_filtered1_up_t2	PRKCB
ad_all_filtered1_up_t2	PRUNE2
ad_all_filtered1_up_t2	PTAR1
ad_all_filtered1_up_t2	PTGES3
ad_all_filtered1_up_t2	PTMA
ad_all_filtered1_up_t2	PXK
ad_all_filtered1_up_t2	RFX3
ad_all_filtered1_up_t2	RPL15
ad_all_filtered1_up_t2	RPLP0
ad_all_filtered1_up_t2	RPS2
ad_all_filtered1_up_t2	RPS28
ad_all_filtered1_up_t2	RPS5
ad_all_filtered1_up_t2	RPSA
ad_all_filtered1_up_t2	RSRC2
ad_all_filtered1_up_t2	SAFB
ad_all_filtered1_up_t2	SARAF
ad_all_filtered1_up_t2	SELENOP
ad_all_filtered1_up_t2	SEPTIN7
ad_all_filtered1_up_t2	SERF2
ad_all_filtered1_up_t2	SLC38A2
ad_all_filtered1_up_t2	SNX30
ad_all_filtered1_up_t2	SPG7
ad_all_filtered1_up_t2	SPI1
ad_all_filtered1_up_t2	SPP1
ad_all_filtered1_up_t2	SQSTM1
ad_all_filtered1_up_t2	SRSF5
ad_all_filtered1_up_t2	SSB
ad_all_filtered1_up_t2	ST18
ad_all_filtered1_up_t2	ST6GALNAC3
ad_all_filtered1_up_t2	STMN1
ad_all_filtered1_up_t2	SUN2
ad_all_filtered1_up_t2	TCAIM
ad_all_filtered1_up_t2	TCF4
ad_all_filtered1_up_t2	TF
ad_all_filtered1_up_t2	TRIM2
ad_all_filtered1_up_t2	TSC22D4
ad_all_filtered1_up_t2	TTTY14
ad_all_filtered1_up_t2	TTYH2
ad_all_filtered1_up_t2	TYROBP
ad_all_filtered1_up_t2	UBA1
ad_all_filtered1_up_t2	UBAP1
ad_all_filtered1_up_t2	UBB
ad_all_filtered1_up_t2	UTY
ad_all_filtered1_up_t2	WTAP
ad_all_filtered1_up_t2	YPEL3
ad_down_filtered1_down_t2	AC008691.1
ad_down_filtered1_down_t2	AC016831.7
ad_down_filtered1_down_t2	AC093152.1
ad_down_filtered1_down_t2	AC124312.1
ad_down_filtered1_down_t2	ADAP2
ad_down_filtered1_down_t2	ADNP
ad_down_filtered1_down_t2	AGAP1
ad_down_filtered1_down_t2	AGFG1
ad_down_filtered1_down_t2	AIDA
ad_down_filtered1_down_t2	AL034397.3
ad_down_filtered1_down_t2	AL592183.1
ad_down_filtered1_down_t2	ANAPC16
ad_down_filtered1_down_t2	ANKIB1
ad_down_filtered1_down_t2	ANKRD44
ad_down_filtered1_down_t2	ANKS1A
ad_down_filtered1_down_t2	ANP32A
ad_down_filtered1_down_t2	AP1G1
ad_down_filtered1_down_t2	ARHGAP24
ad_down_filtered1_down_t2	ARHGAP26
ad_down_filtered1_down_t2	ARIH1
ad_down_filtered1_down_t2	ARL15
ad_down_filtered1_down_t2	ATF2
ad_down_filtered1_down_t2	ATF7IP2
ad_down_filtered1_down_t2	ATXN7L1
ad_down_filtered1_down_t2	BACH1
ad_down_filtered1_down_t2	BCKDHB
ad_down_filtered1_down_t2	BICRAL
ad_down_filtered1_down_t2	BMPR1A
ad_down_filtered1_down_t2	BMPR2
