"","Ex0","Ex1","Ex11","Ex12","Ex14","Ex2","Ex3","Ex4","Ex5","Ex6","Ex7","Ex8","Ex9"
"preCG-excitatory-0",2.04761019509007e-100,0.115407749477019,0.000119574870977683,1.19256605372599e-07,0.000933382946824991,6.92491051310923e-58,1.61862396185718e-05,2.57952415920595e-07,0.220214361738508,0.275505181491282,0.317998608640773,0.510628317687592,5.76233795659112e-08
"preCG-excitatory-1",3.48784084678443e-11,1.99224469634485e-07,9.14564259584655e-42,8.97762993594358e-21,9.35768825596546e-08,2.20014611007117e-06,1.18577512602884e-71,1,1.90479682006522e-06,0.159593976703895,0.00489299923472965,0.15512556698992,2.8875619302347e-15
"preCG-excitatory-14",1.5907854272193e-13,0.000145166663409182,0.000109852176401031,1.08407704178067e-07,1.00648410822464e-13,1.06911335127895e-47,0.00127352822219384,1.87409006716521e-08,2.27817104786736e-12,1,2.24404157759128e-27,0.510628317687592,0.0121813018317415
"preCG-excitatory-18",5.04307494660722e-10,1.67064026661251e-15,4.53417031819701e-06,1.9949960345838e-35,3.48251642467321e-101,1.50527219451691e-16,1.44789232589386e-06,0.602936353756651,4.69199518317773e-11,0.439294375593834,7.01875227338195e-11,0.510628317687592,3.91074890355147e-25
"preCG-excitatory-3",5.72703658574905e-27,0.00608394950779296,4.53417031819701e-06,9.07863511757921e-06,1.21140597161485e-13,7.11291575035371e-08,7.91689036175383e-09,3.05312689206929e-05,0.220214361738508,0.160969631706965,0.000846046923972205,0.00482756296158385,4.44087957848225e-07
"preCG-excitatory-4",1,8.00622965783428e-45,0.0021182821108438,2.7342101895148e-26,3.17592731692415e-18,1.49352426650906e-35,1.61862396185718e-05,0.602936353756651,1.28719884305284e-13,0.104851903427625,4.76949212411483e-12,0.510628317687592,3.52012255508779e-15
"preCG-excitatory-5",1.5907854272193e-13,2.02931126667225e-06,2.1885247380551e-05,7.36531197762142e-11,1.15531630210441e-12,1.06911335127895e-47,0.000150157578880658,0.000257774856755407,1.1298683573501e-08,1,2.37754001132407e-24,1,4.00859332205525e-07
"preCG-excitatory-6",3.48784084678443e-11,6.75685815428605e-27,0.00198710740364662,3.48518004346601e-90,1.05056646980563e-28,3.48784084678443e-11,2.51658672387979e-11,0.602936353756651,2.04198071887933e-05,0.439294375593834,0.000111141625126408,1,1.65651325348502e-84
"preCG-excitatory-7",0.681335549158932,5.07365457001517e-33,0.0021182821108438,1.11299753189637e-20,1.93166230081693e-19,1.49352426650906e-35,1.44789232589386e-06,1,8.75230721286435e-18,0.104851903427625,1.54349056550304e-14,0.510628317687592,5.84411799535483e-13
"preCG-excitatory-9",3.48696323468473e-98,1,0.00747219680192886,1.10691714186864e-06,3.26253164350006e-05,4.517418883365e-50,7.91689036175383e-09,1.42401677411615e-09,0.591799219213603,0.275505181491282,0.105579211873202,0.032124969482438,5.76233795659112e-08
