"","Oli0","Oli1","Oli3","Oli4","Oli5"
"preCG-oligodendrocyte-0",0.000166578992402623,1,0.0187515359268621,1,0.000582376284898875
"preCG-oligodendrocyte-1",0.000141529338601667,1,1,1,1.37470547005692e-05
"preCG-oligodendrocyte-11",0.0388968136461145,1,7.44490427396945e-13,1,1
"preCG-oligodendrocyte-13",0.00180017020569167,1,1,0.0474214817063194,9.13582705947168e-05
"preCG-oligodendrocyte-14",1,1,1,1.87737814327538e-08,0.0836167505611859
"preCG-oligodendrocyte-15",0.079264961240783,1,1,0.342009611339857,4.8014797352286e-18
"preCG-oligodendrocyte-2",0.188613341235023,1,1,1.06640867903488e-26,0.264868752224481
"preCG-oligodendrocyte-3",1,1,0.000266503703767058,1,0.00758980517911109
"preCG-oligodendrocyte-4",1,1,1,9.73933831291443e-10,1
"preCG-oligodendrocyte-5",9.05881603946042e-06,1,1,1,0.0914496877325818
"preCG-oligodendrocyte-6",0.109494898323521,1,1.40979848334444e-09,0.485189655253624,1
"preCG-oligodendrocyte-7",9.05881603946042e-06,1,1,1,0.00221182288598503
"preCG-oligodendrocyte-8",4.26532108909964e-05,1,1,0.432841281441238,0.00630126287954704
"preCG-oligodendrocyte-9",1,1,0.000109972729966498,1,1
"insula-oligodendrocyte-0",4.38405723248778e-23,1,1.89683352257309e-11,1,4.88150176847043e-10
"insula-oligodendrocyte-1",0.000328004462759536,1,1,1,4.76803551974404e-05
"insula-oligodendrocyte-10",0.0110118727292885,1,0.285555169871623,0.794472558335484,0.264868752224481
"insula-oligodendrocyte-11",1,1,1,4.71566125488653e-25,1
"insula-oligodendrocyte-12",8.88490544091158e-16,1,0.285555169871623,0.214137225554486,9.11086840095608e-16
"insula-oligodendrocyte-13",1,1,1,0.0303750453470645,1
"insula-oligodendrocyte-14",1,1,0.0298889427671298,5.7727763194737e-11,0.0247038556415652
"insula-oligodendrocyte-15",1.40979848334444e-09,1,0.00158835575507085,0.789887511658618,3.40857046539117e-29
"insula-oligodendrocyte-16",1,1,0.0997310674541187,0.277733893793194,1
"insula-oligodendrocyte-17",1,1,1,0.0242198909400355,0.0858996969772721
"insula-oligodendrocyte-18",0.188613341235023,1,1,4.67954344089234e-72,1
"insula-oligodendrocyte-2",0.188613341235023,0.0353121008435577,1,1.23997278077909e-93,0.264868752224481
"insula-oligodendrocyte-3",8.28974437905252e-06,1,1,0.211679121628606,2.59525156900054e-08
"insula-oligodendrocyte-4",1,1,0.079264961240783,1,1
"insula-oligodendrocyte-5",0.0110118727292885,0.0353121008435577,1,2.58644266146404e-86,0.264868752224481
"insula-oligodendrocyte-6",1.6911380176165e-06,1,0.211679121628606,1,2.28268845980641e-09
"insula-oligodendrocyte-7",1.10530600173722e-13,1,5.83334019547783e-26,1,1
"insula-oligodendrocyte-8",0.000328004462759536,1,1,1,2.6539556616991e-08
"insula-oligodendrocyte-9",1,1,1,0.000749405946797498,0.16677812874626
"calcarine-oligodendrocyte-0",0.0110118727292885,0.000217384997195379,1,1.23997278077909e-93,0.0012584163997377
"calcarine-oligodendrocyte-1",0.0649200402279542,0.0114286784211379,1,0.0292632590808891,1
"calcarine-oligodendrocyte-10",2.4746006424255e-06,1,1,0.00017695354633507,2.80028276011449e-07
"calcarine-oligodendrocyte-2",1,0.0152457135498927,1,0.0474214817063194,0.121493593115832
"calcarine-oligodendrocyte-3",4.10329211217799e-05,1,0.158080520634447,1,0.000141529338601667
"calcarine-oligodendrocyte-4",1.28872838670877e-07,1,1.81322233585615e-21,0.212912974503465,1
"calcarine-oligodendrocyte-6",3.9968584079364e-10,1,1,1,0.0997310674541187
