"","Opc0","Opc1","Opc2"
"preCG-opc-0",1,1,0.171613602504774
"preCG-opc-1",1,1,1.1474434542111e-49
"preCG-opc-2",0.066033923591696,1,0.697830871150134
"preCG-opc-3",1,0.00153511398120961,1
"preCG-opc-4",1,2.04203094981975e-49,0.465783108776102
"preCG-opc-6",1,0.0761443623092871,0.000449594874900859
"preCG-opc-8",1,0.0761443623092871,0.000449594874900859
"insula-opc-0",1.17795185429885e-05,1,1
"insula-opc-1",1,0.000761903328327229,0.0374867207398816
"insula-opc-2",1,1.22878222394391e-05,1
"insula-opc-3",0.066033923591696,0.491204029906246,9.05729371087117e-72
"insula-opc-4",1,0.0761443623092871,4.14291271011512e-05
"calcarine-opc-0",0.066033923591696,1,1
"calcarine-opc-2",1,2.69527841349359e-13,0.000325121239504451
"calcarine-opc-3",1,4.12159977114689e-06,1
