"","Mic0","Mic1","Mic2"
"preCG-microglia-0",3.00609889118802e-78,3.12986765206566e-05,1
"preCG-microglia-1",1.91070643939336e-49,0.17272098770475,0.00236079889647148
"preCG-microglia-3",0.000567129531771371,0.0301574928826089,1
"preCG-microglia-4",1,7.93680144216881e-10,0.0149355144732921
"preCG-microglia-7",0.00129406538126899,1,1
"insula-microglia-0",5.49649310642138e-28,6.84909342139219e-11,0.513850265845022
"insula-microglia-1",3.68744166139792e-96,0.0562150482551674,0.0226415239566799
"insula-microglia-11",0.462893626329833,2.01837925011473e-09,2.02554257337581e-06
"insula-microglia-2",6.11626272363558e-136,1,0.127499255986408
"insula-microglia-3",0.000141988132700779,0.0562150482551674,0.00271926047827295
"insula-microglia-4",2.04799648736086e-112,1,0.00271926047827295
"insula-microglia-5",0.0990286480134689,6.84909342139219e-11,0.000307307802534576
"insula-microglia-6",1.46639802289248e-09,2.03371065447876e-05,0.268148577760104
"insula-microglia-7",4.41434180095127e-06,1.58085496535519e-18,0.000157139458120337
"insula-microglia-9",1,1,0.373184953244915
"calcarine-microglia-0",3.12117740089343e-29,1,1
"calcarine-microglia-2",1,0.00271926047827295,1
"calcarine-microglia-3",1,8.12512368052396e-24,3.11684709030116e-06
