"ct_subcluster","ext_module","fdr"
"preCG-excitatory-0","Ex0",2.04761019509007e-100
"preCG-excitatory-0","Ex1",0.115407749477019
"preCG-excitatory-0","Ex11",0.000119574870977683
"preCG-excitatory-0","Ex12",1.19256605372599e-07
"preCG-excitatory-0","Ex14",0.000933382946824991
"preCG-excitatory-0","Ex2",6.92491051310923e-58
"preCG-excitatory-0","Ex3",1.61862396185718e-05
"preCG-excitatory-0","Ex4",2.57952415920595e-07
"preCG-excitatory-0","Ex5",0.220214361738508
"preCG-excitatory-0","Ex6",0.275505181491282
"preCG-excitatory-0","Ex7",0.317998608640773
"preCG-excitatory-0","Ex8",0.510628317687592
"preCG-excitatory-0","Ex9",5.76233795659112e-08
"preCG-excitatory-1","Ex0",3.48784084678443e-11
"preCG-excitatory-1","Ex1",1.99224469634485e-07
"preCG-excitatory-1","Ex11",9.14564259584655e-42
"preCG-excitatory-1","Ex12",8.97762993594358e-21
"preCG-excitatory-1","Ex14",9.35768825596546e-08
"preCG-excitatory-1","Ex2",2.20014611007117e-06
"preCG-excitatory-1","Ex3",1.18577512602884e-71
"preCG-excitatory-1","Ex4",1
"preCG-excitatory-1","Ex5",1.90479682006522e-06
"preCG-excitatory-1","Ex6",0.159593976703895
"preCG-excitatory-1","Ex7",0.00489299923472965
"preCG-excitatory-1","Ex8",0.15512556698992
"preCG-excitatory-1","Ex9",2.8875619302347e-15
"preCG-excitatory-14","Ex0",1.5907854272193e-13
"preCG-excitatory-14","Ex1",0.000145166663409182
"preCG-excitatory-14","Ex11",0.000109852176401031
"preCG-excitatory-14","Ex12",1.08407704178067e-07
"preCG-excitatory-14","Ex14",1.00648410822464e-13
"preCG-excitatory-14","Ex2",1.06911335127895e-47
"preCG-excitatory-14","Ex3",0.00127352822219384
"preCG-excitatory-14","Ex4",1.87409006716521e-08
"preCG-excitatory-14","Ex5",2.27817104786736e-12
"preCG-excitatory-14","Ex6",1
"preCG-excitatory-14","Ex7",2.24404157759128e-27
"preCG-excitatory-14","Ex8",0.510628317687592
"preCG-excitatory-14","Ex9",0.0121813018317415
"preCG-excitatory-18","Ex0",5.04307494660722e-10
"preCG-excitatory-18","Ex1",1.67064026661251e-15
