GENE,CELLTYPE,BRACKET
CRIM1,ENDOTHELIAL,A
LYST,ENDOTHELIAL,A
CEMIP2,ENDOTHELIAL,A
HIPK3,ENDOTHELIAL,A
NMUR2,ENDOTHELIAL,C
BEX1,ENDOTHELIAL,C
GPR55,ENDOTHELIAL,C
TJP1,ENDOTHELIAL,D
ST6GALNC3,ENDOTHELIAL,D
FLT1,ENDOTHELIAL,D
ERG,ENDOTHELIAL,D
SLC16A1,ENDOTHELIAL,E
CLDN5,ENDOTHELIAL,F
SLC04A1,ENDOTHELIAL,F
IFITM3,ENDOTHELIAL,G
B2M,ENDOTHELIAL,G
HLA-C,ENDOTHELIAL,G
ICAM2,ENDOTHELIAL,G
CRIM1,ENDOTHELIAL,capillarygrowth
CEMIP2,ENDOTHELIAL,capillarygrowth
ERG,ENDOTHELIAL,capillarygrowth
CSMD1,ENDOTHELIAL,da
EGFL7,ENDOTHELIAL,ip
VWF,ENDOTHELIAL,ip
