gene,celltype,bracket
AQP4,ASTROCYTE,A
SERPINI2,ASTROCYTE,A
GFAP,ASTROCYTE,A
MT3,ASTROCYTE,B
FTH1,ASTROCYTE,B
FLT,ASTROCYTE,B
CLU,ASTROCYTE,B
CST3,ASTROCYTE,B
APOE,ASTROCYTE,C
S100B,ASTROCYTE,C
PLCG1,ASTROCYTE,D
SLC7A10,ASTROCYTE,D
GLUL,ASTROCYTE,E
SLC1A2,ASTROCYTE,E
HSPE2,ASTROCYTE,E
NRNX1,ASTROCYTE,E
CACNB2,ASTROCYTE,E
SLC1A3,ASTROCYTE,E
SGCD,ASTROCYTE,F
CADM2,ASTROCYTE,F
CADM1,ASTROCYTE,F
TRPM3,ASTROCYTE,F
PON2,ASTROCYTE,F
FUT9,ASTROCYTE,G
MAGI2,ASTROCYTE,G
TNRC6A,ASTROCYTE,H
CC2D1A,ASTROCYTE,H
MACF1,ASTROCYTE,I
PRKCA,ASTROCYTE,I
AHCYL1,ASTROCYTE,I
FAM107A,ASTROCYTE,J
BEX3,ASTROCYTE,J
MAP1B,ASTROCYTE,J
PEBP1,ASTROCYTE,J
RACK1,ASTROCYTE,J
NEMO,ASTROCYTE,K
GLI3,ASTROCYTE,K
DCLK2,ASTROCYTE,K
ITPKB,ASTROCYTE,K
NAT8L,ASTROCYTE,modulatory
CKB,ASTROCYTE,modulatory
KCNA2,ASTROCYTE,modulatory
TNRC6A,ASTROCYTE,modulatory
CC2D1A,ASTROCYTE,modulatory
