GENE,CELLTYPE,BRACKET
GAD1,INHIBITORY,INH
GAD2,INHIBITORY,INH
LHX6,INHIBITORY,MGE
SOX6,INHIBITORY,MGE
COL15A1,INHIBITORY,CHANDLIER
ADARB2,INHIBITORY,CGE
LAMP5,INHIBITORY,LAMP
CACNA2D1,INHIBITORY,LAMP
VIP,INHIBITORY,VIP
EXPH5,INHIBITORY,VIP
MEIS2,INHIBITORY,MEIS2
ADAMTS19,INHIBITORY,MEIS2
DACH1,INHIBITORY,MEIS2
CCDC88C,INHIBITORY,MEIS2
SST,INHIBITORY,SST
NEGR1,INHIBITORY,LOWINDA
GRIK3,INHIBITORY,LOWINDA
OXR1,INHIBITORY,LOWINDA
XKR4,INHIBITORY,LOWINDA
HSP90AA1,INHIBITORY,HIGHinDA
SOD1,INHIBITORY,HIGHinDA
UQCR10,INHIBITORY,HIGHinDA
PGAM1,INHIBITORY,HIGHinDA
PEBP1,INHIBITORY,HIGHinDA
EIF4G2,INHIBITORY,HIGHinDA
BEX3,INHIBITORY,DA
ISCU,INHIBITORY,DA
COX5B,INHIBITORY,DA
BEX1,INHIBITORY,DA
PARK7,INHIBITORY,DA
ACTB,INHIBITORY,TA
CLU,INHIBITORY,TA
ATP5F1B,INHIBITORY,TA
UCHL1,INHIBITORY,TA
CTSF,INHIBITORY,TA
FKBP8,INHIBITORY,TA
