gene,celltype,bracket
FTL,microglia,A
ARPC2,microglia,A
ITGB2,microglia,A
CD74,microglia,A1
UBC,microglia,A1
APOE,microglia,A1
B2M,microglia,A1
UBB,microglia,A1
CELF2,microglia,B
RANBP2,microglia,B
ARHGAP2,microglia,B
MEF2C,microglia,C
NAV2,microglia,C
SYNDIG1,microglia,C
SLCO2B1,microglia,C1
TGFBR1,microglia,C1
EIF4G3,microglia,C1
ELMO1,microglia,C2
DOCK4,microglia,C2
DOCK8,microglia,C2
LRCH1,microglia,C2
ATP2C1,microglia,C3
FKBP5,microglia,C3
LYST,microglia,C3
CRYAB,microglia,C4
GPM6B,microglia,C4
MALAT1,microglia,D
PRNP,microglia,D
SLC26A3,microglia,D
RNF149,microglia,D1
FMN1,microglia,D1
SPF2,microglia,D1
HP1B3,microglia,D1
RNF4,microglia,D2
ZNF638,microglia,D2
AUTS2,microglia,D2
ANKIB1,microglia,D2
FAM49B,microglia,amyloid
PLXDC2,microglia,amyloid
NEAT1,microglia,amyloid
RBM47,microglia,protective
RNF149,microglia,protective
FMN1,microglia,protective
FKBP5,microglia,protective
SPP1,microglia,deadcell
ELMO1,microglia,deadcell
LRCH1,microglia,deadcell
ATP2C1,microglia,secretory
A2M,microglia,secretory
HDAC9,microglia,secretory
MALAT1,microglia,immune_reactive
CELF2,microglia,immune_reactive
MEF2A,microglia,immune_reactive
PLXDC2,microglia,immune_reactive
