region,cluster_cell_type,genes
calcarine,astrocyte,MALAT1
calcarine,astrocyte,LSAMP
calcarine,astrocyte,PCDH9
calcarine,astrocyte,NPAS3
calcarine,astrocyte,GPM6A
calcarine,astrocyte,CTNNA2
calcarine,astrocyte,NRG3
calcarine,astrocyte,LRP1B
calcarine,astrocyte,NEAT1
calcarine,astrocyte,SLC1A2
calcarine,astrocyte,GPC5
calcarine,astrocyte,DTNA
calcarine,astrocyte,CADM2
calcarine,astrocyte,ZBTB20
calcarine,astrocyte,MT-CO2
calcarine,astrocyte,RORA
calcarine,astrocyte,NTM
calcarine,astrocyte,MT-ND4
calcarine,astrocyte,MT-CO3
calcarine,astrocyte,SLC1A3
calcarine,astrocyte,CTNND2
calcarine,astrocyte,NRXN1
calcarine,astrocyte,CLU
calcarine,astrocyte,ERBB4
calcarine,astrocyte,MAGI2
calcarine,astrocyte,MT-ND3
calcarine,astrocyte,DST
calcarine,astrocyte,SOX5
calcarine,astrocyte,ADGRB3
calcarine,astrocyte,MIR99AHG
calcarine,astrocyte,RASGEF1B
calcarine,astrocyte,PPP2R2B
calcarine,astrocyte,MACF1
calcarine,astrocyte,MT-ATP6
calcarine,astrocyte,QKI
calcarine,astrocyte,ADGRV1
calcarine,astrocyte,MT-ND2
calcarine,astrocyte,CADM1
calcarine,astrocyte,MT-CYB
calcarine,astrocyte,SPARCL1
calcarine,astrocyte,PITPNC1
calcarine,astrocyte,GLUL
calcarine,astrocyte,AC092691.1
calcarine,astrocyte,CDH20
calcarine,astrocyte,NFIA
calcarine,astrocyte,ANK2
calcarine,astrocyte,MT-CO1
calcarine,astrocyte,ADGRL3
calcarine,astrocyte,NCAM2
calcarine,astrocyte,NAV3
calcarine,astrocyte,MT-ND1
calcarine,astrocyte,FAM155A
calcarine,astrocyte,LINGO1
calcarine,astrocyte,TNIK
calcarine,astrocyte,TRPM3
calcarine,astrocyte,DLG2
calcarine,astrocyte,MAPK10
calcarine,astrocyte,DOCK4
calcarine,astrocyte,WWOX
calcarine,astrocyte,NTRK2
calcarine,astrocyte,NEBL
calcarine,astrocyte,CST3
calcarine,astrocyte,ADCY2
calcarine,astrocyte,RYR3
calcarine,astrocyte,CPE
calcarine,astrocyte,FMN2
calcarine,astrocyte,SORBS1
calcarine,astrocyte,DPP10
calcarine,astrocyte,CACNB2
calcarine,astrocyte,MT3
calcarine,astrocyte,GPM6B
calcarine,astrocyte,CKB
calcarine,astrocyte,MT2A
calcarine,astrocyte,PRKG1
calcarine,astrocyte,PARD3
calcarine,astrocyte,PRKCA
calcarine,astrocyte,CELF2
calcarine,astrocyte,MKLN1
calcarine,astrocyte,MSI2
calcarine,astrocyte,CNTN1
calcarine,astrocyte,GPHN
calcarine,astrocyte,AHCYL1
calcarine,astrocyte,GFAP
calcarine,astrocyte,ATP1A2
calcarine,astrocyte,LINC00486
calcarine,astrocyte,NRCAM
calcarine,astrocyte,PSD3
calcarine,astrocyte,GABRB1
calcarine,astrocyte,TCF4
calcarine,astrocyte,FTH1
calcarine,astrocyte,FYN
calcarine,astrocyte,PLCB1
calcarine,astrocyte,TRPS1
calcarine,astrocyte,AQP4
calcarine,astrocyte,PTPRZ1
calcarine,astrocyte,MAML2
calcarine,astrocyte,DDX17
calcarine,astrocyte,LPP
calcarine,astrocyte,FTX
calcarine,astrocyte,FBXL7
calcarine,astrocyte,FMNL2
calcarine,astrocyte,FHIT
calcarine,astrocyte,GLIS3
calcarine,astrocyte,N4BP2L2
calcarine,astrocyte,TNRC6A
calcarine,astrocyte,ITPR2
calcarine,astrocyte,APOE
calcarine,astrocyte,GJA1
calcarine,astrocyte,TPD52L1
calcarine,astrocyte,NCAM1
calcarine,astrocyte,GAPDH
calcarine,astrocyte,SIK3
calcarine,astrocyte,NCOA1
calcarine,astrocyte,PDE4DIP
calcarine,astrocyte,AKT3
calcarine,astrocyte,PNISR
calcarine,astrocyte,AUTS2
calcarine,astrocyte,FTL
calcarine,astrocyte,LRP4
calcarine,astrocyte,SLC26A3
calcarine,astrocyte,HSP90AA1
calcarine,astrocyte,PDE4B
calcarine,astrocyte,AHCYL2
calcarine,astrocyte,FUT9
calcarine,astrocyte,AC016831.7
calcarine,astrocyte,DPYSL2
calcarine,astrocyte,MEIS2
calcarine,astrocyte,TMEM161B-AS1
calcarine,astrocyte,GNAQ
calcarine,astrocyte,SLC4A4
calcarine,astrocyte,CHD9
calcarine,astrocyte,ERBIN
calcarine,astrocyte,PSAP
