"","AD_oligodendrocyte","bvFTD_oligodendrocyte","Control_oligodendrocyte","PSP-S_oligodendrocyte","AD_oligodendrocyte_rank","bvFTD_oligodendrocyte_rank","Control_oligodendrocyte_rank","PSP-S_oligodendrocyte_rank"
"KDM2B (22g)",0.37282435135929,0.351147712891851,0.367137774476139,0.354140440153566,49,49,55,46
"ELF2 (10g)",0.354669403006772,0.345366959853629,0.354010698477549,0.329879635640125,63,52,63,70
"PROX1 (13g)",0.360332667205975,0.338185936629398,0.38616630051384,0.348965407117984,57,63,14,51
"IRF2 (13g)",0.363952153740625,0.341028280730724,0.366286240884121,0.340200345026756,56,59,57,57
"MEIS1 (27g)",0.336175255603146,0.310519875104127,0.394029892361785,0.325109673785235,76,84,4,73
"TFEB_extended (26g)",0.353880206699721,0.323982980348237,0.341392843801713,0.307923131078623,65,78,69,85
"ZNF189_extended (27g)",0.350941659295166,0.331617581375017,0.355503432814173,0.372283491864989,66,71,61,14
"FOXO1 (16g)",0.340518848888854,0.314284550240104,0.374945370565555,0.303353719237751,73,83,42,87
"MGA_extended (17g)",0.337837276026118,0.291933724662183,0.384662194036494,0.297382603801339,74,92,21,89
"ATF6B (38g)",0.384597178667945,0.332221144878896,0.395186928399002,0.338364276383604,37,70,3,63
"NR2C2 (24g)",0.370384644673468,0.344346173667308,0.382054012136374,0.351328171602358,52,56,29,50
"BACH2_extended (30g)",0.374590468914971,0.355247197966815,0.386810989745395,0.35725499171606,47,43,13,40
"NRF1_extended (106g)",0.397290975620173,0.364513572550215,0.385629895991746,0.364345407088237,20,34,16,32
"POLR3G_extended (43g)",0.380610613970057,0.362637204980867,0.389844570296308,0.358705581067728,42,37,11,39
"ZHX3 (11g)",0.350399358013499,0.327220732943646,0.365963454173988,0.346909696749639,67,74,58,53
"ELF1 (11g)",0.295684175917695,0.295753903843191,0.281807506848642,0.270260695160949,93,91,90,94
"TBL1XR1_extended (21g)",0.356377045616256,0.337431715424915,0.38850763725892,0.327094182838095,59,65,12,71
"DDIT3 (12g)",0.28405748862608,0.269783941870694,0.246767885483269,0.240447565308139,96,96,95,96
"ZIC1_extended (26g)",0.354830589523062,0.324054288846548,0.372495366117895,0.325785510814737,61,77,46,72
"GABPA (15g)",0.317347344280621,0.298009983357675,0.305885534821397,0.294168512493144,88,90,82,90
"SUPT20H_extended (15g)",0.32518841990257,0.302572228174257,0.298279466020415,0.314398895716031,82,87,87,80
"PBX3 (58g)",0.372184269825111,0.345125156556873,0.348591659539916,0.335381455587093,50,54,67,67
"BACH1 (15g)",0.335920964904692,0.330962581471802,0.287999033751898,0.30887016874076,77,72,88,84
"BBX_extended (14g)",0.324105839158219,0.319887708619877,0.302536681616723,0.299571011760305,85,80,86,88
"MXD1_extended (11g)",0.301549407026714,0.298429878254266,0.302607307683618,0.287632095822283,92,89,85,91
"SP3_extended (44g)",0.354747015848259,0.337717273492574,0.374543355913815,0.338390649131196,62,64,43,62
"ZBTB37 (20g)",0.349383212151617,0.325021004335975,0.346269658489636,0.323845473945858,68,76,68,74
"KDM5B_extended (33g)",0.355725795306027,0.344618327750564,0.319371304956487,0.3220943447477,60,55,74,76
"MITF_extended (25g)",0.322773178431638,0.322893371307092,0.338532675380409,0.312399346951564,86,79,71,82
"THRA (12g)",0.306829979057035,0.284254618336709,0.279946328517366,0.28626987412561,91,94,92,93
"GABPB1_extended (30g)",0.324301900172265,0.302237157992327,0.280193760933491,0.314035501677394,84,88,91,81
"CREB3L2_extended (24g)",0.336649659620305,0.325026393419054,0.307473334556673,0.333213814238932,75,75,81,69
"TAF1 (145g)",0.386021901624336,0.379545276166114,0.362952841030783,0.368749904522411,34,4,60,24
"CEBPZ (26g)",0.333048061731003,0.366460057896139,0.256836871594058,0.315956317624683,80,32,94,78
"ATF4 (24g)",0.357165225065786,0.381937305518411,0.313102798833414,0.361823733854824,58,2,79,35
"ZFX_extended (121g)",0.408642218724927,0.377785342523981,0.366793052191198,0.354219378332853,1,6,56,45
"KAT2A_extended (48g)",0.381970890294839,0.379280414586559,0.314217816946618,0.360483089733212,41,5,77,36
"MECOM_extended (16g)",0.309632487603987,0.346830192950187,0.239857161067339,0.341959189422547,90,51,96,56
"BPTF (43g)",0.395176987385394,0.369033806899513,0.353352851832857,0.36579731141858,24,29,65,31
"ZNF281 (26g)",0.375216045126903,0.387145815604619,0.304649114066039,0.37800117104261,45,1,84,1
"HMGN3_extended (81g)",0.38504421536379,0.367598837623892,0.367353102272649,0.352906419314178,36,30,54,49
"MAX (12g)",0.353903315174052,0.334617356710633,0.351831375610298,0.354128101215272,64,67,66,47
"CHD2_extended (310g)",0.397781172956738,0.380772274754014,0.368000169220558,0.376250284122601,16,3,52,2
"JUND_extended (121g)",0.391590187253086,0.373435704741019,0.376460811640681,0.373743952753723,31,13,41,6
"FOXJ3_extended (103g)",0.394598796311057,0.372594648280728,0.374007997705428,0.373957656892083,25,18,45,3
"FOXP1 (71g)",0.391299198802015,0.36264832910753,0.37785452661183,0.359497900515216,32,36,38,37
"CHD1 (74g)",0.399766036615158,0.372900519027268,0.370255525758058,0.368171183059965,7,16,49,28
"POU2F1 (21g)",0.38269718076225,0.352362275655747,0.390958472987911,0.356831006283491,39,46,9,41
"ZNF718 (20g)",0.397610545423697,0.372609411353959,0.368216647603616,0.368617623538653,17,17,51,25
"CREB5 (20g)",0.390848417205325,0.356450738936456,0.393744159675429,0.361851080885428,33,42,5,34
"TCF12 (26g)",0.39352634811988,0.366116899441508,0.385361926851197,0.370828332148663,29,33,18,22
"ARNT_extended (268g)",0.397408469527056,0.370649258747028,0.383123119991341,0.372521222208183,18,24,28,9
"ARNT2 (233g)",0.393601166741743,0.366880940625669,0.390062862965189,0.368862440748381,28,31,10,23
"USF2_extended (280g)",0.3986131365543,0.375311154914377,0.37850687792218,0.37389402413123,12,11,34,4
"NR3C1 (1004g)",0.399559401003922,0.376335332222197,0.380380492052046,0.373258000785444,9,9,32,7
"TEF (52g)",0.330000682712479,0.35163558488938,0.314963886640966,0.347106031586045,81,48,76,52
"ZNF708 (13g)",0.396316887563842,0.360653600041985,0.38320293074025,0.368236095516494,22,39,27,27
"YY1 (689g)",0.399377185330548,0.377481492711377,0.376628071028282,0.373851069522689,10,7,40,5
"HDAC2 (14g)",0.374150003993957,0.336093856344362,0.369607970115295,0.340136144342015,48,66,50,58
"TCF4_extended (73g)",0.394436451573298,0.369888071712502,0.376678932980184,0.371162471243338,26,27,39,20
"CTCF (15g)",0.342311583534552,0.314878153854658,0.392431874126657,0.343985050787383,71,82,7,55
"TAF7_extended (854g)",0.400986210847466,0.375686582787633,0.380570432498942,0.370922482993508,4,10,30,21
"SREBF2_extended (1477g)",0.399740770848152,0.373342439155054,0.383404276677918,0.372400049082672,8,14,25,12
"RAD21_extended (1360g)",0.4015549398691,0.375230336655417,0.38050572435873,0.372145673388577,3,12,31,15
"MXI1_extended (1392g)",0.400865682120785,0.373205823718997,0.383340043379614,0.371531504435544,5,15,26,18
"BRF1_extended (609g)",0.397343629563497,0.372587106417596,0.384340246747778,0.372506082997089,19,19,22,10
"SMAD5 (582g)",0.398085245886297,0.370072406303424,0.385083456583539,0.372559839973093,14,25,20,8
"KDM5A_extended (965g)",0.397990241170034,0.372134808476392,0.385371970520412,0.37209990933321,15,20,17,16
"XRCC4_extended (930g)",0.399820598112767,0.371375826553194,0.384302865758841,0.371383872918524,6,22,23,19
"ZMIZ1_extended (1266g)",0.398301328113759,0.371149630655483,0.386105413007814,0.372353547642484,13,23,15,13
"SMARCA4_extended (813g)",0.398676677848635,0.37152005367991,0.385288818337077,0.371823758731346,11,21,19,17
"FOXN2 (46g)",0.405564376318171,0.358091812744674,0.353517680891033,0.356474342228377,2,41,64,42
"SOX2 (35g)",0.375115810479645,0.340444774597433,0.380369454239746,0.339194516048447,46,61,33,60
"NKX6-2 (52g)",0.385921182032374,0.361440222248381,0.371353488238723,0.368518794883102,35,38,48,26
"SOX8 (74g)",0.392453433030206,0.360104194783227,0.392801012380657,0.367681528868642,30,40,6,29
"ZNF91_extended (107g)",0.384314299299123,0.364150709357468,0.392348396678848,0.363308951875307,38,35,8,33
"CREB1 (32g)",0.382008888758397,0.339801833593546,0.384092519273123,0.346484550255385,40,62,24,54
"RB1_extended (32g)",0.369827997511913,0.341495329967973,0.340050276333902,0.338183183708508,53,58,70,64
"FOXK1 (21g)",0.394381348763084,0.352635702997844,0.37792973868583,0.339035245948696,27,45,37,61
"ATF6_extended (16g)",0.345032091950949,0.309505298224033,0.364194007887161,0.307707106069294,69,85,59,86
"BCLAF1 (12g)",0.287094195930189,0.280771888357695,0.275683160285506,0.26538497231043,95,95,93,95
"FOXO3_extended (35g)",0.32477843110631,0.329917747868882,0.317039975640886,0.315757120995588,83,73,75,79
"NFIB (14g)",0.334044009241536,0.343200032306083,0.305592382290122,0.317869233081966,79,57,83,77
"NFIC_extended (36g)",0.335678715611638,0.332685161076041,0.331003173818957,0.309391643792254,78,68,73,83
"ZNF131 (11g)",0.315356745041865,0.332308356360158,0.311363948253733,0.334143828878222,89,69,80,68
"ZBTB7A_extended (223g)",0.395440248122111,0.37727300145234,0.367838387217647,0.372501525166854,23,8,53,11
"TRIM28_extended (42g)",0.344008434068038,0.37003159813952,0.332870296261737,0.3594025033133,70,26,72,38
"EP300_extended (16g)",0.320736178575953,0.3037921563389,0.313748890008608,0.32322406665349,87,86,78,75
"RORB_extended (16g)",0.287818129353916,0.291804251746332,0.285128251473379,0.286500696223802,94,93,89,92
"ZNF721 (24g)",0.376462164964534,0.353234116475537,0.399594347510329,0.353650889897005,44,44,1,48
"TCF7L2 (26g)",0.37961729942413,0.3521606340621,0.396434537934285,0.35635641903489,43,47,2,43
"SNRNP70 (89g)",0.39675035667811,0.369689808279624,0.37439493437523,0.36615919853141,21,28,44,30
"CUX1 (13g)",0.371698806335782,0.346837877450362,0.37829408067592,0.355922243356141,51,50,35,44
"RFX3 (23g)",0.341257351055888,0.316715514891362,0.355102570842745,0.337017194250551,72,81,62,66
"SP4_extended (32g)",0.366023794875294,0.34517545519562,0.377960119092117,0.337382414536929,55,53,36,65
"MYEF2 (27g)",0.368861283148083,0.340483576002895,0.371992412854708,0.339282097327489,54,60,47,59
