"","AD_oligodendrocyte","bvFTD_oligodendrocyte","Control_oligodendrocyte","PSP-S_oligodendrocyte","AD_oligodendrocyte_rank","bvFTD_oligodendrocyte_rank","Control_oligodendrocyte_rank","PSP-S_oligodendrocyte_rank"
"NRF1_extended (2304g)",0.401425918515753,0.375171528530335,0.352098785479837,0.402361057622507,17,11,27,3
"SUPT20H_extended (1553g)",0.401632111038548,0.375693226658355,0.351169380800711,0.402257055547341,15,8,32,4
"E2F4_extended (765g)",0.402469303949305,0.378974759087208,0.345477415790399,0.402381563588569,5,2,34,2
"NELFE_extended (616g)",0.39972388969236,0.377593048965253,0.35192752621662,0.399574414876613,29,3,28,26
"RFX1_extended (307g)",0.402543368583025,0.375790795532971,0.349510745723884,0.400037670311084,4,6,33,23
"ELF2_extended (1570g)",0.402897764494397,0.375197292344271,0.351673627108716,0.400771522952262,1,10,30,15
"NR3C1 (733g)",0.400828677314897,0.373325079835983,0.354583332663434,0.400886891517665,23,17,22,11
"RBBP5_extended (2216g)",0.400793281815831,0.375748082809334,0.351544524819401,0.402903644015964,25,7,31,1
"CHD2 (3059g)",0.401726056020961,0.37359982365941,0.354004794187715,0.402042054050571,13,16,23,6
"BHLHE41_extended (2278g)",0.401206461342939,0.375275298867249,0.352489510350051,0.401952662267729,19,9,25,7
"ATF1 (17g)",0.272734288414382,0.272716674028496,0.25275181088791,0.281368907753812,55,55,51,55
"CEBPZ_extended (1176g)",0.399520997320192,0.372326132125129,0.356609355597855,0.402144846400512,30,21,13,5
"JUND_extended (1274g)",0.401191103235406,0.373703043240257,0.355873054754117,0.399838781152012,20,15,17,24
"USF2_extended (1261g)",0.400516826701883,0.373099276365655,0.356184900745616,0.400870112533858,27,18,14,12
"STAT1_extended (19g)",0.361622928684583,0.336455780340978,0.375111863219085,0.341916738275703,37,40,1,41
"STAT3 (24g)",0.366827560089373,0.354974492208891,0.322297043891524,0.318850161367057,36,36,40,45
"POLR3G (11g)",0.351521102892119,0.310960429621161,0.343774404686336,0.339433360911195,40,47,35,42
