"","AD_oligodendrocyte","bvFTD_oligodendrocyte","Control_oligodendrocyte","PSP-S_oligodendrocyte","AD_oligodendrocyte_rank","bvFTD_oligodendrocyte_rank","Control_oligodendrocyte_rank","PSP-S_oligodendrocyte_rank"
"OLIG2_extended (31g)",0.39228015030786,0.338883986995686,0.378772894709603,0.38701232083616,33,50,45,7
"SOX8 (35g)",0.391206044661897,0.331394579271066,0.379298760459053,0.379516841490094,39,55,44,27
"TSC22D4 (14g)",0.383474355430136,0.327588255455353,0.365432876079712,0.37601225572149,49,59,56,35
"SOX10 (30g)",0.38641094490715,0.329857616390507,0.354462233949546,0.384056988219203,46,56,60,9
"ZBTB7A_extended (334g)",0.405046787217471,0.3495440557249,0.375563672616101,0.391493763545145,6,34,47,3
"JUND (20g)",0.337188917615662,0.287283202218836,0.302201755784215,0.339350024284696,70,77,81,61
"KAT2A_extended (431g)",0.405192759539222,0.351943277267739,0.379983105573379,0.389994621629436,5,22,43,4
"TAF7_extended (1428g)",0.405593495652471,0.352000339852109,0.384407262559941,0.387530319204362,3,19,40,6
"BHLHE41_extended (628g)",0.405597552758795,0.347651407432034,0.385394403792956,0.387927939759661,2,37,39,5
"TEF (14g)",0.363885230315429,0.297249718944298,0.353627074183309,0.343654277355992,63,69,61,59
"POU3F3_extended (14g)",0.349731841028895,0.276415177454553,0.318752421873648,0.320657299922779,67,82,74,77
"DDIT3 (16g)",0.314467947362304,0.270350437235816,0.253947555444036,0.335374284619722,84,86,95,66
"NFE2L1_extended (311g)",0.405219755728578,0.348677190858182,0.369417855851137,0.394599990335126,4,35,54,2
"ATF4 (43g)",0.379972428938973,0.335200744604382,0.285717459220518,0.396270144422142,51,52,91,1
"HIF1A (16g)",0.331910293028678,0.280008906253636,0.309580400095588,0.336153396096543,74,80,80,64
"USF2 (14g)",0.304940493721937,0.271740597483143,0.273312814877882,0.32561092982418,87,85,93,74
"NFIB (15g)",0.373520609228545,0.352334776131641,0.372357055395876,0.357457405422021,58,14,50,53
"KLF13 (20g)",0.364650324740474,0.310218023114112,0.33491530670521,0.330942165521415,62,65,68,69
"FOXO1 (12g)",0.385726614190748,0.35105793706276,0.370206057443459,0.365530510312558,47,31,52,48
"CREB3L2 (10g)",0.316585845025385,0.275792532611277,0.321337946422159,0.2963919932972,82,84,71,83
"FOXO3_extended (47g)",0.391784650970795,0.342675221960962,0.386670439779115,0.367959611502787,35,43,37,44
"FOXN3 (59g)",0.36936767429383,0.321601599898552,0.401990483864294,0.359143515422183,60,62,3,52
"SP3_extended (64g)",0.379164832324187,0.328193916324465,0.392873765334146,0.357020114964581,52,58,19,54
"SREBF1 (14g)",0.334094812844172,0.26927243101239,0.369260114354702,0.317223949603775,72,88,55,78
"BACH2_extended (14g)",0.377310306743133,0.339086428010221,0.409291581820865,0.362762032495171,54,48,1,50
"CREB5 (61g)",0.388253198639728,0.338993768658837,0.404445409464941,0.370229461765141,43,49,2,41
"SMARCC2_extended (63g)",0.391626671902248,0.34266480722323,0.387148790949073,0.380019215818259,36,44,36,22
"ARNT (89g)",0.392178943554675,0.353407435974921,0.389775842145781,0.376109791062928,34,9,28,33
"MITF_extended (620g)",0.40403557013695,0.35114851128018,0.389013465939428,0.384158659574539,9,30,32,8
"TFEB_extended (33g)",0.375767042192271,0.32604465032309,0.369637175093408,0.345418043915728,56,60,53,58
"ATF6B_extended (173g)",0.404145321235603,0.346230265926835,0.386028897067491,0.380885199716786,8,41,38,20
"MEF2A (14g)",0.333847550527963,0.33499025169055,0.375445543523459,0.336436636390803,73,53,48,63
"ARNT2 (137g)",0.388630779688255,0.355238620643252,0.397353191708981,0.367579644999413,42,6,7,46
"THRB (37g)",0.355143778563232,0.347165260503485,0.346546264130368,0.347806202360152,64,39,65,57
"SREBF2 (131g)",0.403784144394587,0.343392577049412,0.389068197410829,0.370759495170331,12,42,30,40
"NFE2L2_extended (31g)",0.382914429296357,0.351210557934535,0.39391677009563,0.354176176174422,50,28,15,55
"MSRA (329g)",0.401347774947875,0.347274164669635,0.397481169226448,0.372631981211962,25,38,6,38
"MEIS1 (24g)",0.385026316614308,0.341353496784394,0.387651518041843,0.349205910854618,48,45,35,56
"KDM5B_extended (1104g)",0.403825003252231,0.352222817607072,0.391368738690036,0.382189369427964,11,16,23,13
"ZNF91_extended (712g)",0.401606329901774,0.352111656408314,0.394763506123958,0.379555534994609,23,17,10,24
"ELF1 (46g)",0.409314784655366,0.35196083113678,0.37172136326804,0.37917417367662,1,20,51,28
"GABPA_extended (242g)",0.399220391839655,0.355682202978772,0.389028699477386,0.379524997278723,28,4,31,26
"RAD21_extended (1146g)",0.403549700176097,0.354289258222116,0.388684738890737,0.383131855528663,16,7,34,10
"YY1 (619g)",0.402386425519693,0.353131922280498,0.391012366279148,0.382054914474282,20,10,26,15
"NR3C1 (1581g)",0.403623541933905,0.352021617575875,0.391246073883971,0.383046692976344,15,18,24,11
"CHD2 (1325g)",0.403667875479994,0.351957486335793,0.392203738152772,0.381989247257587,14,21,21,17
"SMARCA4_extended (1427g)",0.403850630304225,0.350321522161895,0.393727492591737,0.381808891336091,10,33,17,18
"PHF8_extended (684g)",0.40144459268266,0.350605625270576,0.394514724487084,0.380696565870782,24,32,13,21
"TCFL5 (381g)",0.398419471309708,0.35247343322487,0.398937568507255,0.376020482977351,29,13,5,34
"TAF1 (1285g)",0.401720868424948,0.351451952026554,0.396355232250969,0.379135941954493,21,26,9,29
"BCLAF1_extended (2093g)",0.402536742698466,0.35117673806794,0.39403775301593,0.382436344589706,19,29,14,12
"HDAC2_extended (1249g)",0.401658048632689,0.353064521159061,0.392743536736607,0.381246593624112,22,11,20,19
