"","AD_astrocyte","bvFTD_astrocyte","Control_astrocyte","PSP-S_astrocyte","AD_astrocyte_rank","bvFTD_astrocyte_rank","Control_astrocyte_rank","PSP-S_astrocyte_rank"
"SUPT20H (19g)",0.364317392011587,0.317936054780575,0.303608515093868,0.302669087835998,62,76,96,61
"SOX2_extended (35g)",0.413271293035262,0.360197355720266,0.373621550327387,0.315863456830817,1,26,63,42
"NR2F1 (16g)",0.348346940474923,0.345390130693691,0.291705033206903,0.299120292738234,75,44,104,66
"ZEB1_extended (35g)",0.384725907725286,0.355072496497072,0.417067429161054,0.312318887655213,45,31,21,47
"RFX3 (51g)",0.401902892681028,0.351422829963822,0.40234738962864,0.316207566064434,27,41,44,41
"ARNT2_extended (110g)",0.408759780338157,0.352126153777934,0.414038363074682,0.324655555582174,5,38,30,33
"FOXO1 (22g)",0.396810263903907,0.349649804715429,0.418600229393783,0.32550185986007,33,42,16,32
"SOX6 (11g)",0.377453238308587,0.3453192687048,0.369370893363124,0.306330473750602,52,45,65,56
"FOXO3_extended (42g)",0.387967960262082,0.357978679311535,0.39490130970507,0.319040907996867,43,28,52,37
"BACH2_extended (17g)",0.347327948710472,0.344489718635269,0.381178733937727,0.295176920164646,76,49,59,75
"GABPA_extended (2127g)",0.409669288855931,0.36821861049983,0.41401726816739,0.335010460291616,3,7,31,26
"NFAT5_extended (11g)",0.392774620351758,0.370142777027619,0.393328343953473,0.326443173575993,39,2,54,31
"ZNF148_extended (218g)",0.404469389575075,0.367528975808877,0.407718482714538,0.327033375432809,24,13,42,30
"NFE2L2 (12g)",0.39010955898133,0.358672859859942,0.390081534426031,0.305541779809839,42,27,56,58
"KLF12_extended (21g)",0.38461046570636,0.352481034471582,0.394924748479497,0.301953369524085,46,37,51,62
"PPARA_extended (13g)",0.320804222588769,0.26882124915891,0.32272562817809,0.264987356357651,91,109,84,98
"FOXG1_extended (11g)",0.354066250472705,0.292759528329598,0.325036488919692,0.277688653886957,73,91,81,90
"ZIC2_extended (25g)",0.396776562188107,0.351538008535817,0.376183321891908,0.316559266379414,34,40,62,39
"EMX2_extended (31g)",0.395306637306527,0.357905733561284,0.392623621170168,0.320890131468078,37,29,55,35
"TCF7L2 (12g)",0.372746531819032,0.354911669396252,0.421174316816385,0.311531623058242,56,32,13,48
"STAT3_extended (54g)",0.396605736951727,0.353185038064272,0.408621492098673,0.322223020599731,35,35,41,34
"E2F3 (30g)",0.357712211122608,0.306284361579956,0.420676064748416,0.296503947086794,69,85,14,72
"BHLHE40 (41g)",0.379028839446637,0.326765976650486,0.430114999344704,0.296704310237133,49,68,10,71
"CEBPD_extended (228g)",0.405158449717511,0.354708440662796,0.415506429952985,0.307433171252342,20,33,23,51
"JUNB (99g)",0.399528830233364,0.352078103909714,0.409711758317024,0.305980012934184,30,39,40,57
"FOS (55g)",0.390640650808798,0.341962854313882,0.395523982202875,0.290349596963677,41,52,50,80
"FOXJ3 (14g)",0.361006365377413,0.332608635112028,0.403945203292018,0.27909817849338,65,64,43,89
"PRRX1 (23g)",0.381569043072462,0.337590165466636,0.437989180203694,0.294693291000624,47,58,9,76
"JUN (89g)",0.39611646513971,0.33623916163553,0.440684616985153,0.30344530599262,36,60,6,60
"ZMIZ1 (50g)",0.370591337148875,0.323449626846502,0.419441920554717,0.295389729433896,58,72,15,74
"SMAD1 (16g)",0.376776337300431,0.336073553568265,0.423423346516824,0.296428389804386,54,61,12,73
