"","AD_astrocyte","bvFTD_astrocyte","Control_astrocyte","PSP-S_astrocyte","AD_astrocyte_rank","bvFTD_astrocyte_rank","Control_astrocyte_rank","PSP-S_astrocyte_rank"
"TFCP2_extended (49g)",0.396557478874895,0.359951631266847,0.366280295462524,0.379838252783366,69,68,8,73
"HIVEP2 (33g)",0.399526458980786,0.364823842166023,0.356561285619634,0.366613520654891,63,61,42,83
"BHLHE41_extended (1108g)",0.406203449773103,0.372065837609011,0.358891562290607,0.390695505353857,36,14,30,51
"JUN (27g)",0.3180205142629,0.313115484725409,0.212707775844279,0.344613506198369,103,103,131,100
"STAT3 (13g)",0.314360713650462,0.287077133405177,0.281730816668114,0.251955643660398,105,112,105,127
"FOS (111g)",0.398770905789758,0.381453895224127,0.335695647249829,0.371506437701877,65,1,71,77
"PRRX1_extended (13g)",0.372679484906057,0.355204784213185,0.328875326465241,0.318427238958147,89,76,79,105
"CEBPG (200g)",0.408017711417856,0.369309595068048,0.364007231344679,0.379707619011568,14,36,11,74
"ETV6_extended (161g)",0.394132305982171,0.361425075972394,0.387747424551198,0.35061887417956,74,66,2,94
"STAT1 (173g)",0.394823481768479,0.357764132962837,0.396067390982957,0.354833960176663,73,71,1,90
"NFIL3_extended (50g)",0.395878836868094,0.369732140519169,0.362669851968093,0.350483065524542,70,33,15,95
"CEBPD (15g)",0.23975252055815,0.238276437768255,0.220201335557492,0.233273602485957,129,132,128,135
"JUNB (95g)",0.399395391725368,0.364183087036805,0.358028476771054,0.35419434261376,64,62,36,92
"FOXJ3_extended (13g)",0.387152341976431,0.341719060630506,0.373951466949672,0.313349797438178,80,91,4,107
"KLF6_extended (69g)",0.404380981729524,0.364176142907598,0.345586183968743,0.348680947777308,51,63,66,97
"XBP1_extended (18g)",0.308600386622881,0.279648372539081,0.314296690862505,0.243759054534012,106,115,92,128
"HCFC1_extended (1844g)",0.407194825319275,0.37251876017762,0.352089085761415,0.397545081863625,24,11,59,10
"SOX2_extended (76g)",0.374507799150794,0.340821953583436,0.346485030612778,0.395556782113282,87,92,65,26
"SREBF1 (25g)",0.328128759613175,0.312883119612724,0.322889107904161,0.366114062445841,101,104,86,84
"NR1D1_extended (34g)",0.373327423797764,0.357291722039327,0.302889805892704,0.380188195668228,88,73,98,72
"ZIC2 (86g)",0.365006926994062,0.351767566030403,0.317087441325234,0.398182147454047,94,81,90,8
"PRDM16 (12g)",0.376777965458029,0.318385944004127,0.314485504174843,0.368590557534014,86,101,91,79
"NR2F1 (60g)",0.38548910337993,0.354294494636212,0.320288114289138,0.393561338454749,83,77,89,38
"TCF7L1_extended (33g)",0.403384106805685,0.349289060993052,0.347499848978313,0.380906529871251,53,83,64,70
"RFX3 (125g)",0.413082730258455,0.368010989388769,0.354797991158095,0.381614790180575,2,47,48,69
"FOXO1 (17g)",0.410478761610403,0.355255419929523,0.324651012089852,0.373784406186537,5,75,85,75
"ZIC5_extended (17g)",0.395725190089149,0.347830444212773,0.266557282798083,0.350078210178169,71,85,111,96
"ZBTB16 (11g)",0.409332135334348,0.350448610725965,0.286681781133768,0.363779810068451,6,82,103,85
"RXRG_extended (13g)",0.297144596969523,0.286935949113579,0.240470255407719,0.36254814148691,109,113,122,86
"FOXG1 (89g)",0.406074149402998,0.35350280303203,0.361982573612476,0.388909363746404,38,78,17,55
"ATOH8_extended (38g)",0.390059446750456,0.34374992050014,0.312327220103948,0.392718613785079,78,90,93,45
"RFX2 (74g)",0.414139617533945,0.367905795760603,0.322460624931324,0.395405163085585,1,48,87,27
"NFATC2_extended (18g)",0.353025543816825,0.330055537488654,0.260439045772068,0.34735167584983,95,97,115,98
"FOXP1 (122g)",0.402305568026778,0.365595005556151,0.337797529600131,0.390480559610913,58,59,70,52
"TCF4 (11g)",0.407081725601482,0.369921007846972,0.331617346653021,0.398376030171061,26,31,76,6
"DBP (618g)",0.408649012117354,0.368725825320573,0.35621935521303,0.394829459038724,10,42,45,30
"TFDP1 (769g)",0.408394848449689,0.371643229655849,0.353018253311539,0.395876757156642,12,17,55,22
"HEY1_extended (488g)",0.40583095321916,0.366041540078341,0.36299955594112,0.392644922612349,42,58,13,47
"ELK1_extended (935g)",0.407834131248764,0.368149261169285,0.357345932441299,0.395986968130014,17,45,38,21
"MEIS2 (13g)",0.370402482645766,0.335225606178287,0.328792542064835,0.36691883545505,91,95,80,82
"CUX1 (27g)",0.283305222576283,0.29381709955183,0.258343789576445,0.313575192407916,113,108,116,106
"NKX6-2_extended (172g)",0.340889407209089,0.34046536658033,0.268112588325419,0.336627469441155,97,93,110,102
"HLF (53g)",0.338017139613719,0.339899916485452,0.307454980673186,0.339505641728939,99,94,95,101
"ELF2_extended (1296g)",0.401711136914589,0.37661384943657,0.352901308332733,0.385749300839664,59,2,56,63
"RELA (16g)",0.227570887449479,0.233693258860967,0.188782460120169,0.224224460548298,137,134,144,138
"ZNF135 (14g)",0.265006746051134,0.264276328135693,0.223868842943831,0.272851298842168,118,119,125,117
"SOX10 (368g)",0.377070707294555,0.357438363468267,0.297830068919477,0.372914949585437,85,72,99,76
"OLIG1_extended (14g)",0.253792607799199,0.260212575197233,0.219461735180176,0.286261459251894,126,121,129,115
"SOX8 (36g)",0.280564595549323,0.287235547826615,0.222704540672042,0.293982486990162,114,111,127,112
"ARID3A (12g)",0.237752160554642,0.248936900977994,0.20154152755589,0.267735885516456,130,126,138,120
"JDP2_extended (125g)",0.398067043944849,0.372110727589521,0.330131848167641,0.393365360243394,66,13,78,42
"ZNF589 (21g)",0.339807389429917,0.328764010792376,0.271981726320448,0.321931428897363,98,98,107,104
"ZMIZ1 (27g)",0.402617635955596,0.375570328825722,0.33408784482363,0.388766917743338,56,3,73,56
"MAFG_extended (185g)",0.408976766570084,0.367665798443914,0.343474667839435,0.395782696999562,8,50,69,23
"CPEB1 (19g)",0.412800968570372,0.374048823836151,0.333236979471183,0.388000698887661,3,5,74,60
"FOXN3_extended (107g)",0.386158185856655,0.348564896642737,0.326770495547249,0.39970946716986,82,84,83,3
"BPTF (1157g)",0.40536525765968,0.370442035991431,0.344952222816369,0.403868966836368,45,25,67,2
"NFIX_extended (408g)",0.387451216434423,0.359292777566206,0.335368663133614,0.405198424807244,79,70,72,1
"MITF_extended (207g)",0.397742674765438,0.36663288439956,0.343657287065506,0.397423497287519,68,56,68,11
"ZNF91_extended (767g)",0.408147145956016,0.369289342666044,0.354745911686169,0.396601708783322,13,37,49,17
"CREB5_extended (58g)",0.382083174729957,0.344709243617459,0.331757258927407,0.383184264183302,84,88,75,67
"NFKB1 (61g)",0.395084168567168,0.36672417355748,0.328208173737926,0.367543407150491,72,55,81,81
"MEF2C (12g)",0.255824492299484,0.240598970944333,0.215709959826415,0.253543809283738,125,130,130,126
"RUNX1 (10g)",0.233876643100737,0.228468515957696,0.20047239480562,0.241471458155837,133,136,140,130
"BHLHE40 (92g)",0.324050966431193,0.323364919297384,0.303132380746821,0.361851800480404,102,99,97,87
"NR2F6_extended (20g)",0.259014628786774,0.275411849664852,0.210607076527678,0.287288647017502,120,116,134,114
"CEBPB (28g)",0.366442685947264,0.355550220645852,0.296590496069349,0.356317231605866,93,74,100,89
"ATF6_extended (39g)",0.26828437527192,0.289126517962232,0.271083156695875,0.289316593352318,116,109,108,113
"HES1 (21g)",0.256872507650381,0.272699864740085,0.312202316366888,0.259224932917266,122,117,94,122
"JUND (51g)",0.291730228946918,0.308607134199959,0.211635408975715,0.307218565145021,110,106,133,109
"SP1 (23g)",0.202590601629515,0.2160054127503,0.244174698658754,0.212796257104272,142,142,119,142
"SREBF2 (44g)",0.274220533380027,0.268903581435089,0.292588953950835,0.279792529726005,115,118,102,116
"SUZ12_extended (296g)",0.343596131040277,0.34462358084137,0.371497430529971,0.354832797995502,96,89,5,91
"BCLAF1 (410g)",0.391788887335907,0.362060691704561,0.38702632191258,0.370085348686393,76,64,3,78
"ZNF587 (11g)",0.302983305167085,0.28833099800729,0.272553247485621,0.272673553727384,108,110,106,119
"CREM (18g)",0.228369951517381,0.239907130058113,0.248241136689128,0.234414977169565,134,131,117,133
"STAT2_extended (18g)",0.266429309290396,0.263502151201661,0.303307973838313,0.256716153476135,117,120,96,124
"TCF7 (10g)",0.214483780643625,0.223325653489045,0.207205234060275,0.206015940833474,140,140,137,144
"GABPB1 (14g)",0.22769535946156,0.216737586597951,0.212199751605518,0.219223841744175,136,141,132,140
"HKR1 (15g)",0.283603746611461,0.281595974671671,0.262424139701219,0.306446130304878,112,114,113,110
"IRF2_extended (10g)",0.243259950114021,0.251367539638395,0.238653291575184,0.230070933968548,127,124,124,137
"E2F3 (21g)",0.235204525860448,0.224962790934463,0.239472324038702,0.264230994248429,132,138,123,121
"SOX9_extended (33g)",0.317577977137892,0.319505223871284,0.283523938434943,0.358202746340028,104,100,104,88
