"","AD_astrocyte","bvFTD_astrocyte","Control_astrocyte","PSP-S_astrocyte","AD_astrocyte_rank","bvFTD_astrocyte_rank","Control_astrocyte_rank","PSP-S_astrocyte_rank"
"RB1 (18g)",0.240648511949937,0.223948531224323,0.225781594750191,0.23759702906317,145,146,147,145
"PPARD_extended (53g)",0.353366224599282,0.317670184668772,0.381836061739987,0.353691847640863,75,83,58,76
"BACH1_extended (55g)",0.325341545415405,0.297557673091801,0.302437558820372,0.334418145317305,102,96,105,89
"RUNX1 (11g)",0.295068399309915,0.266572380717355,0.265803240802267,0.280814768751405,113,116,131,125
"NFATC3 (19g)",0.39180906762773,0.352195220543207,0.370770157490853,0.381291806647428,6,26,67,39
"CLOCK (44g)",0.324932806702973,0.285795737952857,0.301064219303038,0.30734381966803,103,103,109,109
"ELF2 (56g)",0.366152732408782,0.335947336567236,0.36607140469827,0.362160322735692,62,65,70,67
"ELF1 (143g)",0.378133431201651,0.337691874198444,0.383172539117562,0.36604954942413,42,56,57,61
"FOXP1 (115g)",0.377460661458577,0.323554791363694,0.389544043639339,0.363483068934922,44,78,46,63
"BACH2 (10g)",0.355789022686818,0.331227320099916,0.399034154476638,0.352635818777063,73,73,29,79
"IKZF2 (35g)",0.369175265374171,0.348986131943152,0.378486163059165,0.376426692969026,53,39,61,48
"FOXN2_extended (45g)",0.35034447736618,0.337357858779788,0.348429721351464,0.369838822466231,79,58,83,57
"ZBTB16 (363g)",0.392614505873017,0.332827185296775,0.381262547412296,0.385949171119153,5,69,59,28
"ASCL1 (16g)",0.241930104411651,0.245960520548366,0.239073620094025,0.27298289365306,144,127,143,129
"ZNF471_extended (35g)",0.308226019526876,0.285998108377848,0.303254208686156,0.320935095565084,107,102,104,98
"ZEB1_extended (31g)",0.323748958714104,0.336490526933186,0.36222585746555,0.324988989726187,104,63,74,95
"CREM_extended (19g)",0.243497518915999,0.243623794104822,0.276646957854888,0.251357625749367,141,133,126,142
"GABPB1 (17g)",0.246670561941943,0.239980297131018,0.229983318034171,0.257186554012785,140,135,145,140
"MEF2C_extended (83g)",0.362247794325888,0.336784512556513,0.362083493701292,0.372064657559802,69,60,75,54
"HLF (205g)",0.359475418880017,0.333681329643962,0.352729961367766,0.363172006930425,70,68,80,64
"SP4_extended (35g)",0.307191113132274,0.314734614222802,0.32494894569316,0.319128848396617,108,85,92,100
"ZNF189_extended (65g)",0.31580868557529,0.303782884333534,0.321747242704715,0.318884402226502,105,91,95,101
"SPATS2 (17g)",0.289813628038051,0.29694883864737,0.298847618309917,0.293036475738017,115,97,111,116
"ZNF684 (15g)",0.269961139926337,0.234261181662928,0.241079368905434,0.254389683090697,130,141,142,141
"FOXK2_extended (17g)",0.286262022260455,0.271653426750235,0.302241992292424,0.279706945604018,118,114,106,127
"STAT6 (11g)",0.232641532127508,0.227275381448236,0.22301201326285,0.237154311806888,148,144,148,146
"NR2C2_extended (23g)",0.266935495135817,0.24579981738492,0.257505879122761,0.268937813353991,134,128,135,130
"SP1_extended (18g)",0.260349216220987,0.24540446608995,0.254799438986133,0.267593349114171,136,129,137,131
"PUM3_extended (11g)",0.249577455848819,0.251873080976486,0.257038106305798,0.261544306984944,139,125,136,135
"CUX1 (27g)",0.281889186149896,0.274824852409166,0.286540426822871,0.314415642646375,121,110,119,105
"POLR2A (2330g)",0.387822987526198,0.352050712447836,0.404599541196773,0.385887628824815,21,28,9,29
"TAF7_extended (855g)",0.387961209442034,0.353836446077378,0.399646695723911,0.385969525873033,19,20,25,27
"SIN3A (1076g)",0.385476943801159,0.35567450701526,0.401834233455705,0.385397211113756,31,7,16,32
"RCOR1_extended (1219g)",0.385549880403318,0.35445565308243,0.402090120731039,0.387016528481451,29,18,15,20
"CHD2 (2611g)",0.38781720037391,0.355535305671014,0.401102516659799,0.386183570274155,22,11,17,25
"ZMIZ1_extended (1732g)",0.387726267337101,0.354857487459336,0.39939725744978,0.387938478870596,23,14,28,16
"PHF8_extended (2019g)",0.3874344152146,0.355171722001488,0.40098434318016,0.386420553994502,24,13,18,24
"SREBF2 (484g)",0.395758056565547,0.331373211879138,0.386096355509253,0.394862856167767,3,72,53,1
"MXI1_extended (3263g)",0.387012891173345,0.354820916314922,0.402641292872422,0.386143163404372,26,15,13,26
"XRCC4_extended (1392g)",0.38619776949142,0.354494440569925,0.402668816892115,0.38508860262623,28,17,11,35
"SMARCA4 (1411g)",0.387881775401713,0.352143732000778,0.402222317174927,0.386654021520695,20,27,14,22
"MBD1 (946g)",0.384608326290854,0.355696859422251,0.400380494413123,0.387154680276822,34,6,20,18
"NR3C1 (1980g)",0.388582834952842,0.354000214901593,0.399484293555026,0.38811831878691,15,19,26,15
"CTCF_extended (1870g)",0.386777944531884,0.355573886329639,0.400282002483085,0.386745483072572,27,8,21,21
"RAD21_extended (2740g)",0.388394422317057,0.355571850341466,0.398202737971748,0.388629272011566,16,10,31,12
"GABPA (10g)",0.238369202111419,0.222572576712553,0.227190311681768,0.257717067823589,146,148,146,139
"TAF1 (63g)",0.327596346353577,0.282133030800078,0.336967082204062,0.325133097329639,99,106,86,94
"KDM5A_extended (1872g)",0.387381396893793,0.35557330125283,0.400176718913963,0.386642344028192,25,9,23,23
"RBBP5_extended (1520g)",0.390501407870155,0.351950059344914,0.39941634080836,0.387459898054686,10,29,27,17
"YY1 (1347g)",0.389237223440214,0.355380425359063,0.395629740094839,0.38823947402636,12,12,37,14
"TEF (156g)",0.381273819068076,0.357010368540778,0.395157682140484,0.379209558565932,37,4,40,45
"BBX_extended (22g)",0.3808349604016,0.35450133477126,0.388111167895799,0.377661158696799,38,16,49,46
"MBNL2 (15g)",0.35300487665148,0.347953599654564,0.360042529245743,0.351268054395462,77,41,77,81
"PPARA_extended (36g)",0.344766595641329,0.308433596543646,0.358683493294643,0.350813297298302,83,88,78,82
"NR1D1 (27g)",0.327105169743135,0.318090120886573,0.314478736330194,0.375287327412721,100,82,97,50
