"","AD_excitatory","bvFTD_excitatory","Control_excitatory","PSP-S_excitatory","AD_excitatory_rank","bvFTD_excitatory_rank","Control_excitatory_rank","PSP-S_excitatory_rank"
"EP300 (13g)",0.293222026733965,0.262231086166215,0.284724684999771,0.259455645040992,72,79,74,78
"ATF6_extended (14g)",0.280101147498384,0.257769525265907,0.318241149649871,0.260941461534842,76,81,64,76
"ZFHX3_extended (12g)",0.290393736911105,0.286432458341958,0.321988731459208,0.28708866733107,74,73,63,73
"NFKB1_extended (11g)",0.315302658618954,0.309726572934683,0.347741439693193,0.326403329703622,65,67,55,64
"BCL11A_extended (26g)",0.333280363380271,0.33312270220408,0.377039819384875,0.34789056918934,54,64,47,59
"NFIA (28g)",0.348832722723813,0.356425178148439,0.397696198263209,0.360294365497984,44,50,22,52
"TRPS1_extended (51g)",0.360933948799841,0.361118558447965,0.400708625201467,0.37712352216994,29,46,14,40
"HIVEP1 (35g)",0.346268869181497,0.347432274028363,0.411094629908146,0.35982618127587,47,55,2,54
"FOXP2_extended (462g)",0.360971220361806,0.370673982890668,0.406568700207904,0.379807278648734,28,34,6,37
"NFIB (99g)",0.355151538447169,0.356628222782233,0.405343686010127,0.369171598077011,33,49,8,49
"FOXJ3 (192g)",0.370781208481645,0.371670780625287,0.383873835035397,0.36969857695378,3,33,41,47
"NR3C1 (113g)",0.363811811236667,0.372655979690966,0.392693854223202,0.370708456361343,21,31,35,45
"KDM5A (286g)",0.365417877620993,0.378765933761421,0.394496213028675,0.383183228801874,18,26,31,32
"ZNF91 (19g)",0.330366835518897,0.335945268180155,0.389856679212476,0.321135084562467,56,60,37,67
"MEIS2 (20g)",0.321128930785981,0.30723074014407,0.341230936651343,0.336273205577024,63,69,59,63
"CUX2 (28g)",0.3415666915325,0.342993865355259,0.359773844322675,0.358129779338522,49,57,52,56
"CHD1 (27g)",0.291687489264288,0.270122440588717,0.308070454121694,0.257875229250068,73,76,66,79
"TCF12_extended (54g)",0.35237966475708,0.333149564606949,0.36840985905236,0.339076022806567,37,63,49,61
"MGA_extended (52g)",0.354304945662166,0.344478684368597,0.378076422257487,0.338785924507036,34,56,46,62
"MYEF2_extended (13g)",0.270543635035171,0.239065459494211,0.274401075585327,0.228037463104755,77,82,78,84
"RFX3_extended (18g)",0.303168358992811,0.308484969958481,0.363324166582611,0.306687237278775,70,68,51,69
"ZNF770 (11g)",0.304755147290822,0.301909757083286,0.283107303377373,0.297385674764118,69,70,75,71
"ZNF148_extended (22g)",0.33894605423704,0.334343496302069,0.36707094631569,0.345435846213799,51,61,50,60
"SMARCC1_extended (11g)",0.244760912419898,0.238392177265493,0.316111892643547,0.260622358820889,86,83,65,77
"NRF1 (120g)",0.357564680170697,0.363703907447565,0.414197025833223,0.350989601997804,31,42,1,58
"TCF7L2 (18g)",0.269884685977444,0.25900378832686,0.281971415503169,0.253535644257347,78,80,76,80
"NR2C2 (16g)",0.250235193008794,0.232227787982007,0.219991064002432,0.21994458788184,84,86,85,86
"BHLHE41 (17g)",0.248715172435643,0.237742941281875,0.218131212123783,0.229910885649632,85,84,86,83
"TRIM28_extended (15g)",0.30202466162226,0.313224082749882,0.307514258237469,0.297752728612551,71,66,68,70
"HSF4 (11g)",0.28289242218971,0.289735734487096,0.291761571311187,0.269728668465296,75,72,73,75
"MAX (16g)",0.254033815103079,0.237464146194677,0.232607483331476,0.220059658428665,83,85,83,85
"FOXK1_extended (41g)",0.314722013548212,0.301527031567762,0.295047369715101,0.288981537963298,67,71,72,72
"BCLAF1_extended (327g)",0.373122399695005,0.379388258542435,0.368941921750153,0.376066392914324,1,23,48,41
"KDM5B_extended (119g)",0.352690354429638,0.33421278881191,0.303173539080856,0.325247945235165,35,62,71,65
"SMC3_extended (14g)",0.265563874299435,0.262582891487232,0.230740447438786,0.245301869098493,79,78,84,82
"KLF13_extended (23g)",0.263302493813333,0.279440887207508,0.25719485213545,0.27257822511275,80,74,81,74
"WRNIP1_extended (24g)",0.258735862686553,0.266434625570633,0.247577921322874,0.252973469407564,82,77,82,81
