"","AD_excitatory","bvFTD_excitatory","Control_excitatory","PSP-S_excitatory","AD_excitatory_rank","bvFTD_excitatory_rank","Control_excitatory_rank","PSP-S_excitatory_rank"
"ZNF91_extended (285g)",0.393524615619356,0.371090819622099,0.362110251553892,0.393706273344833,26,24,3,29
"MKX (15g)",0.390607278676606,0.354118455593264,0.33473510999829,0.378152604291954,27,33,36,35
"SREBF2 (522g)",0.357899971612622,0.359922216429397,0.362467135110898,0.369225548317418,40,31,2,39
"CHD2 (25g)",0.342320806717689,0.307829097492581,0.32892487566051,0.325241318061916,45,54,38,50
"ATF2_extended (2072g)",0.400729537045784,0.374204711829601,0.349739180777093,0.402541199859892,6,18,22,13
"HLF (877g)",0.401525869022205,0.37320225516139,0.347793721643947,0.402313169161185,1,22,26,16
"CEBPB (15g)",0.280073438200381,0.286170081267585,0.228223484283669,0.283276342805851,61,60,75,62
"TEF (913g)",0.40102807011547,0.373595191459275,0.349115667939615,0.402601916046225,4,21,23,12
"RBBP5_extended (1682g)",0.399579778516629,0.374756325921756,0.352574216831723,0.402648109965621,14,13,14,11
"ELK1_extended (2113g)",0.399867282226272,0.374807421187703,0.352587975791657,0.402362150940205,11,12,13,15
"KLF3_extended (780g)",0.400040531485906,0.374474339851877,0.35028291845328,0.401301369368339,10,17,19,19
"TAF1 (324g)",0.285648183673432,0.3102680871394,0.347042924775889,0.305718096476168,59,53,27,57
"KDM5A (74g)",0.360754374984037,0.342621261987223,0.360112861382049,0.361866863097276,39,37,5,41
"XRCC4_extended (2192g)",0.398346822499004,0.374734471564802,0.35352783517552,0.402389345304921,19,14,9,14
"ZMIZ1_extended (3158g)",0.399265962313699,0.375034800363049,0.353116338930156,0.402716408083098,15,9,10,10
"MXI1_extended (2988g)",0.399166493635938,0.375787668627111,0.352620059329839,0.402858195363679,16,4,12,8
"NR3C1_extended (894g)",0.398893448452683,0.375513739767752,0.350201595194583,0.403695682722962,18,5,20,3
"YY1 (1486g)",0.399589271165013,0.376193527644963,0.350549868037679,0.403194315331551,13,3,18,6
"ATF4 (22g)",0.229590174376142,0.240160196293585,0.222515203943222,0.240161826465709,74,77,78,74
"JDP2_extended (1231g)",0.401220169151351,0.374672714042058,0.348070156507969,0.404215952674499,3,15,25,1
"EGR1 (146g)",0.370577970167022,0.352935490031962,0.355499427882393,0.384053175526503,35,34,7,34
"HDAC2_extended (2133g)",0.399152136598229,0.375036162723419,0.352804824158444,0.403140207852641,17,8,11,7
"GTF2F1_extended (1504g)",0.398234016893334,0.374647572742847,0.352270252791786,0.403401575035601,20,16,15,5
