"","AD_excitatory","bvFTD_excitatory","Control_excitatory","PSP-S_excitatory","AD_excitatory_rank","bvFTD_excitatory_rank","Control_excitatory_rank","PSP-S_excitatory_rank"
"TCF4_extended (100g)",0.353759019500287,0.319524995170159,0.37201411906126,0.333028233114252,20,23,17,23
"FOXP1 (37g)",0.345191263776569,0.31031164133175,0.358879154662269,0.333864179709987,23,27,19,22
"HIF1A_extended (12g)",0.223981127669645,0.225658065330742,0.242596346591555,0.213294270291943,45,42,43,44
"TCF7L2 (12g)",0.225984148164335,0.22321929644774,0.24964028763867,0.208297725223662,43,43,42,45
"MXI1_extended (25g)",0.251897576069646,0.243941570022068,0.260730882927756,0.224750754435939,38,36,39,41
"FOXN2_extended (15g)",0.268250640908219,0.249744644357281,0.281992309967423,0.249029874501187,35,35,34,34
"POU2F2_extended (12g)",0.224998967890545,0.209780462156301,0.253330178240646,0.206846490930199,44,47,40,46
"ATF2_extended (29g)",0.347372777509127,0.332467702651708,0.344197209512965,0.344489716210598,22,18,24,19
"RCOR1_extended (17g)",0.269205593337709,0.242189101951659,0.301701741954284,0.247701306001049,34,37,29,36
"TAF1_extended (38g)",0.247488791372214,0.233733882446811,0.269242518359038,0.22413946774854,40,40,37,42
"MAX (15g)",0.214472034921957,0.212264463832767,0.217724688742196,0.199613897362497,47,46,47,47
"FOXO3_extended (16g)",0.255002549805006,0.237686874546179,0.270174208463533,0.248351331662425,37,39,36,35
"EP300_extended (17g)",0.235323796053113,0.22930322116973,0.237582268474801,0.225095182046732,41,41,44,40
"CREB1_extended (12g)",0.197730315219745,0.197300704732565,0.198027244214498,0.190289301741445,48,48,48,48
"SP4_extended (14g)",0.218263517366567,0.218016251964961,0.22910327082819,0.225853316486328,46,45,45,39
"RB1_extended (77g)",0.352423806261646,0.330009583393463,0.345970263330048,0.324588807776957,21,20,23,27
"KDM5A_extended (28g)",0.26354676968657,0.252887748429225,0.283041798855511,0.245523007456191,36,34,32,37
"JUND_extended (10g)",0.232529473161731,0.21875713822431,0.227043891096353,0.21594219804337,42,44,46,43
"MEF2D (13g)",0.250976285909271,0.240545269444763,0.251499851910156,0.23278622416529,39,38,41,38
"ZBTB7A_extended (16g)",0.356698591925314,0.304195925422955,0.350336060007312,0.321113891029192,18,31,21,28
"KLF9_extended (26g)",0.33077087662038,0.306955159348531,0.309161126253132,0.318273691731211,27,30,28,29
"ELK1 (48g)",0.320803056588881,0.308693089790273,0.278277660443995,0.312974595012644,32,28,35,30
"ESRRA (209g)",0.358570892505311,0.339837152941338,0.341685747392114,0.339053971817861,17,15,26,21
"ZMIZ1_extended (24g)",0.335095511923332,0.310799813997045,0.295159670153462,0.3106752865365,25,26,30,31
"RAD21_extended (78g)",0.328598168208012,0.332926236263976,0.28226069244966,0.329835487679775,29,17,33,24
"GTF2F1 (22g)",0.329549458848888,0.324411779645931,0.285618945870848,0.343787332632474,28,21,31,20
"RBBP5_extended (362g)",0.385092787433775,0.362576582238214,0.386191107243601,0.385761952353334,10,2,15,4
"TEF (964g)",0.385329314873753,0.357165851916798,0.398804820152778,0.386381092925909,9,6,10,3
"CEBPB_extended (785g)",0.386483420048079,0.362699166066967,0.390545992277343,0.38687494870278,6,1,14,1
"NR3C1 (40g)",0.363185682725948,0.341709932773223,0.347807523019838,0.365353304974512,16,14,22,18
"HDAC2 (1382g)",0.386930972941037,0.359253801834177,0.399991928541461,0.3842357111468,3,3,8,8
"POLR2A (1745g)",0.387558047186089,0.358511564177595,0.398997419817692,0.38538933501003,1,4,9,5
"ATF6B_extended (581g)",0.382876578698939,0.358395705099963,0.400512170301908,0.381527803081524,12,5,7,12
"NR2F1_extended (19g)",0.292473919312523,0.281279478541713,0.264653732852141,0.298721893029105,33,33,38,33
"TCF12_extended (22g)",0.333439406893895,0.311345844588343,0.352201222222826,0.328615493779936,26,25,20,26
"BBX (11g)",0.32264310396124,0.307422081875089,0.343416058946589,0.328825093642307,30,29,25,25
"PKNOX2_extended (34g)",0.344300881499214,0.314602124866298,0.377539969551523,0.375571435712296,24,24,16,14
"ZMAT4 (29g)",0.356046326698917,0.319583968717788,0.361811845752462,0.374358297799516,19,22,18,15
"KAT2A_extended (1458g)",0.386828395998813,0.356366054519144,0.401639674294346,0.384773988601736,5,8,6,7
"BRF1_extended (1400g)",0.386476087780507,0.355456943724853,0.404182219258064,0.382888274762897,7,10,2,11
"SREBF2_extended (3420g)",0.387067077227068,0.357141414615843,0.402284145546479,0.384797297488397,2,7,5,6
"SMARCA4_extended (2192g)",0.386861801816468,0.355786030164989,0.403383478605837,0.384176850437256,4,9,3,10
"PBX3_extended (16g)",0.322515272476375,0.303223067565963,0.32709487039762,0.303244896096732,31,32,27,32
"SOX5_extended (23g)",0.372004664156041,0.336291448960884,0.394102111515357,0.372720863475779,14,16,13,16
"POU2F1 (26g)",0.368431285303987,0.33084407218639,0.398505599197668,0.369431617491371,15,19,11,17
"HLF (863g)",0.384246372855275,0.353733471991631,0.398486999190169,0.386718025065744,11,12,12,2
"PHF8_extended (1967g)",0.385952639499119,0.35440115881936,0.403139048613165,0.384184605805105,8,11,4,9
"ZEB1_extended (1444g)",0.380937170970453,0.348539427326214,0.405428171095569,0.380735369645339,13,13,1,13
