"","AD_excitatory","bvFTD_excitatory","Control_excitatory","PSP-S_excitatory","AD_excitatory_rank","bvFTD_excitatory_rank","Control_excitatory_rank","PSP-S_excitatory_rank"
"CHD1 (21g)",0.310560403240796,0.290241040605117,0.307707234582077,0.307075954904592,17,17,19,17
"PKNOX2 (11g)",0.294409176184345,0.25100311099482,0.344650615547998,0.310363926946503,19,21,14,16
"FOXP1 (18g)",0.331635278814921,0.3025851629712,0.365495690895451,0.343375807740435,15,16,12,13
"SMAD1_extended (13g)",0.296689703379059,0.281053165254013,0.309165261963268,0.277281512084742,18,18,18,19
"SP4_extended (1500g)",0.385518586968411,0.354683187621031,0.403101975215581,0.384513376015225,4,8,3,5
"KDM5A_extended (1754g)",0.38323828410807,0.351782078027479,0.404266911565252,0.382995473464898,7,9,2,6
"ZEB1_extended (13g)",0.3664659018512,0.33753971213587,0.386111110588574,0.377326409857218,11,10,9,8
"CUX1_extended (60g)",0.341382994080004,0.314134181002767,0.372947733769443,0.35307433395774,12,13,10,12
"NFIB (26g)",0.340268253401703,0.305928274837297,0.355741478006744,0.337522606880719,13,15,13,14
"POU2F1 (26g)",0.29216312078566,0.260651465462077,0.302990270357939,0.272532358123133,20,20,20,20
"NR3C1 (40g)",0.3383050403931,0.316570660377891,0.317233274285703,0.321858905855176,14,12,16,15
"BRF1_extended (1357g)",0.386832689822962,0.358107950661465,0.40268368453244,0.381958589560127,1,4,4,7
"SMARCA4_extended (21g)",0.28327235658581,0.246806529990662,0.31120880632393,0.268013621847486,21,23,17,21
"MAX_extended (204g)",0.37317270137981,0.33514818610521,0.405188226432338,0.362124098942956,9,11,1,11
"ZNF84_extended (28g)",0.256345671806929,0.247657519122783,0.270485467928566,0.245129091333142,23,22,22,23
"ESRRA_extended (1476g)",0.38523130341126,0.357898800122147,0.398602603612942,0.387217634071252,5,5,6,3
"RBBP5 (1295g)",0.384756052273305,0.3576331092109,0.39883284211897,0.387790220290119,6,6,5,1
"RAD21_extended (2095g)",0.386073120000461,0.359544229362147,0.397647609441262,0.387067638341521,3,3,7,4
"ELK1_extended (1691g)",0.386157847922287,0.359895107905434,0.395237180863084,0.38752583121365,2,2,8,2
"YY1_extended (19g)",0.259474854817325,0.264125913281156,0.25451141849777,0.257050779161482,22,19,23,22
"JUN (23g)",0.318131112209734,0.30957728674022,0.283589669240589,0.304413384381737,16,14,21,18
"CEBPB_extended (681g)",0.378518579134703,0.361304541682515,0.367190418355667,0.376303864408414,8,1,11,10
"HLF (226g)",0.369139911124891,0.355042197199817,0.336810902900522,0.377037656220959,10,7,15,9
