"","AD_microglia","bvFTD_microglia","Control_microglia","PSP-S_microglia","AD_microglia_rank","bvFTD_microglia_rank","Control_microglia_rank","PSP-S_microglia_rank"
"NFKB1 (31g)",0.344169533849758,0.318873259357519,0.333607303716368,0.288422350050576,79,72,76,94
"PBX3_extended (35g)",0.367058080554579,0.331119910233049,0.314239065556912,0.300627204058584,55,55,91,84
"STAT3 (12g)",0.277045208348829,0.263655467187858,0.308759370303425,0.235646861925126,121,115,96,125
"CEBPG_extended (18g)",0.380803099161743,0.253763701611277,0.282293115497333,0.308661369988277,40,121,113,72
"CREB1 (12g)",0.281155717449143,0.254251229624964,0.224265614798578,0.206152099020101,118,120,128,128
"JUN_extended (31g)",0.368051000982185,0.319009352690191,0.344942738865662,0.268088344976526,53,71,67,114
"TFEC_extended (61g)",0.3546781121615,0.332858904874786,0.386140073789719,0.331067539115577,65,54,24,37
"EP300_extended (18g)",0.316743617105224,0.287472220874024,0.295961316289759,0.264225045540002,97,95,107,116
"HMGN3_extended (27g)",0.315029953734297,0.297749310413753,0.333821233338373,0.28457778381677,98,85,75,98
"NRF1 (97g)",0.389147797481113,0.338982045491771,0.375946083764031,0.317140757575726,28,46,36,59
"ID2 (19g)",0.306533191381784,0.287841192219462,0.288067349828928,0.273235622018969,106,94,109,109
"RCOR1 (11g)",0.231023872666571,0.246022825803554,0.254497473658575,0.251004419447033,128,125,124,122
"FOS (41g)",0.35390207859578,0.282500483544636,0.35253078123221,0.296889626003969,66,98,60,86
"UBTF_extended (27g)",0.337726912383663,0.336918657724323,0.376589694679444,0.317811119819921,87,50,35,58
"POU2F2_extended (18g)",0.29739316984862,0.296688062235034,0.395962690721771,0.301876778651743,113,86,7,80
"MAFB (13g)",0.353006156547529,0.30291279384797,0.347179649469087,0.254662958743884,67,82,65,121
"SREBF2 (52g)",0.34252648419594,0.279585661242645,0.374831426220583,0.307703213838305,83,101,38,74
"FOXN2_extended (17g)",0.321335647457239,0.277396994094165,0.327180983548886,0.286782391579882,93,103,82,96
"CREM_extended (17g)",0.301448741970662,0.255946511277699,0.321397683097404,0.262994031639592,109,118,88,117
"CREBL2_extended (17g)",0.274303692231113,0.262538211312564,0.256246774496763,0.255973354277909,122,116,123,120
"NFE2L2_extended (83g)",0.375570060861501,0.359364853092278,0.398425094141758,0.321782493969671,43,25,4,53
"ELF1 (195g)",0.400149415429038,0.356222342914729,0.386009271589206,0.342405614458779,14,30,25,29
"KDM5A (20g)",0.321630780244531,0.280925582156118,0.343418373794842,0.312208792104644,91,99,68,67
