"","AD_microglia","bvFTD_microglia","Control_microglia","PSP-S_microglia","AD_microglia_rank","bvFTD_microglia_rank","Control_microglia_rank","PSP-S_microglia_rank"
"TRIM28_extended (653g)",0.411293834821256,0.372847147574915,0.350090160924226,0.392465890959679,55,45,48,7
"MXI1 (12g)",0.231779787611809,0.23877300768735,0.214604077768026,0.235879600824446,173,168,175,171
"ELF2_extended (858g)",0.413082724862536,0.375593892117102,0.343047743945169,0.391695521307737,41,15,77,15
"BRF1_extended (2119g)",0.412814139734999,0.375444593413716,0.349901459472001,0.391018720490023,43,16,49,23
"YY1 (1217g)",0.416560120203996,0.37770010880447,0.342772539370177,0.389795341140922,8,4,78,33
"NFIA (10g)",0.397808483424983,0.369871715346748,0.293723844633444,0.378925008052868,92,70,133,84
"FOXO1 (150g)",0.403245578906246,0.368725530193507,0.319366934458334,0.375320780610288,88,77,108,95
"NKX6-2 (16g)",0.269246552466572,0.256804657391666,0.217158018930662,0.258158164117629,161,162,174,165
"NFIX (112g)",0.351282688045405,0.337292838095973,0.291502673790961,0.33430878267224,122,110,134,124
"ARNT2 (605g)",0.402196023742516,0.366544658128643,0.341828172006695,0.380972547503957,89,85,80,77
"MEIS2_extended (24g)",0.314073471578632,0.300324159635077,0.266809678175811,0.290385122246582,135,136,152,150
"PBX1 (12g)",0.298642491255184,0.281122349289167,0.278980936274041,0.301585936422602,147,151,143,141
"NR2C1_extended (18g)",0.304195691090516,0.291549603345793,0.299648698031238,0.297599235268853,143,143,124,144
"HIVEP2 (51g)",0.368273939103488,0.357982634187018,0.335382174756433,0.346244219230172,113,98,97,115
"BACH2_extended (11g)",0.230463150230398,0.226766501716841,0.224176073659119,0.221266546329836,174,172,170,176
"SREBF2 (27g)",0.308139020838625,0.288135364008006,0.294072907091304,0.34428040171925,138,146,131,118
"ZNF721 (100g)",0.386914747547999,0.349317546722345,0.363323981745937,0.375677560599794,102,105,9,93
"KLF13_extended (68g)",0.376214201662028,0.328573330572194,0.335549129854924,0.356877861533364,109,118,96,106
"SMARCA4_extended (2073g)",0.413851577842928,0.37321721912216,0.352332925706852,0.390684750424674,28,40,37,27
"PHF8_extended (2011g)",0.413301484235717,0.372681804778815,0.351584319427878,0.392196706335272,38,47,41,9
"SP3_extended (1681g)",0.414564339974379,0.373589668983582,0.3489136962964,0.392350323958491,22,37,53,8
"CREB1_extended (1568g)",0.412788784778817,0.373163840781197,0.351269953856911,0.392188170155228,44,41,43,10
"ESRRA_extended (818g)",0.41457615718498,0.371323528176396,0.35078905483254,0.391290663934744,21,52,45,20
"HDAC2_extended (1448g)",0.416550619927114,0.3743905851448,0.345909664867948,0.391859547911897,9,27,68,14
"ELK4 (20g)",0.319645292319702,0.312221562614254,0.273645200997797,0.296822524297064,134,129,146,145
"MAZ_extended (520g)",0.419562272200122,0.377133680189376,0.337751483097775,0.390728950068451,1,6,91,26
