no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
GFAP,2.15E-17,0.846482699,1.381253087,0.706425202,4.909199842,9.14E-07,TRUE,TRUE,,,RASGEF1B,2.83E-18,1.237894791,1.494742179,0.272007958,3.561947939,0.000368113,TRUE,FALSE,,,HSPA1A,1.27E-25,0.745033967,0.207768164,1.842331592,12.13747811,6.69E-34,TRUE,TRUE
FTH1,1.37E-15,2.363032269,1.544597902,-0.613408014,-1.572427215,0.115851507,TRUE,FALSE,,,FTH1,1.29E-16,2.349004981,1.451264114,-0.694739675,-1.58202559,0.113643729,TRUE,FALSE,,,MT2A,1.55E-24,2.899744674,1.437454936,1.012409147,6.168041385,6.91E-10,TRUE,TRUE
RASGEF1B,3.99E-15,1.245214953,1.413248279,0.182620134,3.054415605,0.002254995,FALSE,FALSE,,,APOE,8.17E-15,2.272193389,1.501872861,-0.597322941,-2.828152856,0.004681745,TRUE,FALSE,,,HSPB1,2.26E-17,0.76130318,0.274287379,1.472782866,12.88873672,5.21E-38,TRUE,TRUE
NRXN1,8.25E-14,6.018302694,5.194917765,-0.212255758,-4.451587578,8.52E-06,FALSE,FALSE,,,LINGO1,1.80E-14,1.087014906,1.373988338,0.337998035,3.10724299,0.001888411,TRUE,FALSE,,,MT1E,7.30E-17,1.291282644,0.647255927,0.996396645,7.712247538,1.24E-14,TRUE,TRUE
PRKG1,5.02E-13,1.590791903,2.154442369,0.437569384,1.710882567,0.087102793,TRUE,FALSE,,,SLC26A3,3.56E-13,0.574887645,0.720941657,0.326602486,5.091774267,3.55E-07,TRUE,TRUE,,,UBC,2.60E-15,0.642848569,0.291681909,1.140083026,9.190838076,3.90E-20,TRUE,TRUE
LINGO1,6.12E-13,1.093340429,1.290498467,0.239185751,3.02991061,0.002446261,FALSE,FALSE,,,KCNIP4,7.27E-13,0.30139194,0.167241761,-0.849705695,-5.639629365,1.70E-08,TRUE,TRUE,,,CADM2,1.74E-14,3.339622188,4.557341339,-0.448507531,-6.993247235,2.69E-12,TRUE,TRUE
KCNIP4,2.36E-12,0.303163288,0.175489753,-0.788708271,-4.813104039,1.49E-06,TRUE,TRUE,,,CST3,5.34E-12,2.371944827,1.731675069,-0.453902204,-1.688457916,0.091323361,TRUE,FALSE,,,GAPDH,1.11E-13,0.859315476,0.499551203,0.782555319,10.37148727,3.34E-25,TRUE,TRUE
TENM2,2.36E-12,1.457994272,1.134163446,-0.362356488,-2.836524056,0.004560754,TRUE,FALSE,,,STMN1,3.46E-11,0.141088732,0.049578652,-1.508811818,-5.789357374,7.07E-09,TRUE,TRUE,,,SLC1A2,1.62E-12,5.645310712,7.444962019,-0.399211501,-5.51591852,3.47E-08,TRUE,TRUE
TMEM241,4.09E-12,0.498643649,0.265781008,-0.907771159,-3.800581202,0.000144357,TRUE,TRUE,,,GFAP,8.73E-11,0.841515556,1.275484593,0.599983625,4.977089027,6.45E-07,TRUE,TRUE,,,HSP90AA1,1.20E-11,1.339041526,0.64603878,1.051508029,11.99785514,3.65E-33,TRUE,TRUE
SLC26A3,1.92E-11,0.578294898,0.676354139,0.225973466,4.543797388,5.52E-06,FALSE,FALSE,,,TMEM241,1.21E-10,0.49573176,0.261123906,-0.924825148,-3.07824271,0.002082252,TRUE,FALSE,,,SEPW1,5.80E-11,0.342358359,0.169213076,1.016666183,7.760781872,8.44E-15,TRUE,TRUE
CABLES1,1.45E-09,1.230430138,0.950613467,-0.372232002,-3.770268443,0.000163072,TRUE,TRUE,,,SYTL4,8.81E-10,0.073802126,0.179869608,1.285217156,5.433449525,5.53E-08,TRUE,TRUE,,,DLGAP1,5.19E-10,0.911051913,0.500796124,0.863309868,4.229369968,2.34E-05,TRUE,TRUE
SLC1A2,1.94E-09,8.12093269,7.07415316,-0.199087976,-2.315143573,0.020605076,FALSE,FALSE,,,TENM2,5.64E-09,1.449375099,1.149741374,-0.33412164,-2.138525743,0.032474097,TRUE,FALSE,,,MT1G,4.49E-09,0.631205204,0.2996247,1.074952541,5.179780368,2.22E-07,TRUE,TRUE
PREX2,5.53E-09,1.349577441,1.070106372,-0.334753551,-3.992755795,6.53E-05,TRUE,TRUE,,,CCK,1.08E-08,0.166798994,0.082057239,-1.023408081,-3.98309753,6.80E-05,TRUE,TRUE,,,MT1M,5.20E-09,0.472020289,0.26136235,0.852797541,4.741957055,2.12E-06,TRUE,TRUE
APOE,5.53E-09,2.285763129,1.748773316,-0.386332614,-1.956695178,0.050383317,TRUE,FALSE,,,GJA1,1.01E-07,1.308176269,1.799867037,0.460333385,4.194373433,2.74E-05,TRUE,TRUE,,,PRKG1,2.33E-08,2.571825268,1.899488165,0.437181906,4.985253371,6.19E-07,TRUE,TRUE
GRM3,1.31E-08,0.736276672,0.536787936,-0.455895745,-3.530881628,0.000414177,TRUE,TRUE,,,HMGN3,1.34E-07,0.488223135,0.342208499,-0.512665071,-2.893478603,0.003810002,TRUE,FALSE,,,NTM,2.38E-08,4.836588523,5.981311308,-0.306472003,-4.333120207,1.47E-05,TRUE,TRUE
SYTL4,1.65E-07,0.074219266,0.160457411,1.11232479,4.007020875,6.15E-05,TRUE,TRUE,,,PLXNB1,1.08E-06,0.401776812,0.603633491,0.587278549,6.535645272,6.33E-11,TRUE,TRUE,,,PRDX1,2.91E-08,0.285774338,0.150827976,0.921972317,6.274818056,3.50E-10,TRUE,TRUE
RLBP1,1.65E-07,0.143880538,0.067764647,-1.08626675,-5.386042041,7.20E-08,TRUE,TRUE,,,TUBB2B,1.18E-06,0.490977804,0.324947687,-0.595450328,-3.521689171,0.000428807,TRUE,FALSE,,,FBXO2,3.67E-08,0.230682866,0.111695513,1.046339626,5.057290579,4.25E-07,TRUE,TRUE
