no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
RASGEF1B,2.31E-57,1.668138071,2.851586736,0.773526211,3.370764065,0.0007496,TRUE,FALSE,,,STMN1,3.74E-81,0.65597237,0.321474826,-1.028929282,-7.487572067,7.02E-14,TRUE,TRUE,,,STMN1,1.12E-54,0.519169858,0.250214899,1.053038925,8.485043726,2.16E-17,TRUE,TRUE
SLC26A3,1.33E-44,0.882685769,1.709320787,0.953451329,3.545237294,0.00039226,TRUE,FALSE,,,RASGEF1B,1.22E-78,1.624805575,3.023718126,0.896056561,4.302365288,1.69E-05,TRUE,TRUE,,,DYNLL1,5.11E-50,0.386598641,0.200916388,0.944241326,8.913370797,4.95E-19,TRUE,TRUE
COX4I1,5.54E-41,0.469055735,0.290088618,-0.693265669,-5.721807403,1.05E-08,TRUE,TRUE,,,TMSB4X,4.95E-73,1.140467695,0.646618786,-0.818638254,-7.668030366,1.75E-14,TRUE,TRUE,,,HSP90AA1,6.16E-50,1.200951025,0.680519759,0.819468362,18.42434996,8.38E-76,TRUE,TRUE
NGFRAP1,1.61E-39,0.735388543,0.495571004,-0.569414921,-6.374196444,1.84E-10,TRUE,TRUE,,,HSP90AA1,8.27E-72,1.423501043,0.874270982,-0.70329113,-7.587772472,3.25E-14,TRUE,TRUE,,,PCSK1N,3.30E-49,0.877759538,0.489485182,0.84256058,9.676341286,3.80E-22,TRUE,TRUE
STMN1,3.11E-39,0.673457695,0.457890708,-0.556584031,-3.510143089,0.000447866,TRUE,FALSE,,,NGFRAP1,2.88E-67,0.716296883,0.387287565,-0.887152482,-9.897144126,4.28E-23,TRUE,TRUE,,,UBB,3.85E-47,0.378535517,0.199416094,0.924646826,10.83562186,2.33E-27,TRUE,TRUE
TMSB4X,4.07E-36,1.170860943,0.845460075,-0.469761211,-4.533423204,5.80E-06,TRUE,TRUE,,,COX4I1,2.63E-66,0.456874972,0.224592791,-1.024487792,-8.461307857,2.64E-17,TRUE,TRUE,,,TMSB4X,9.37E-46,0.885340324,0.503302807,0.814805488,11.74190202,7.77E-32,TRUE,TRUE
ATPIF1,4.15E-35,0.374837209,0.237202177,-0.660146919,-5.372275436,7.77E-08,TRUE,TRUE,,,NDUFA4,9.02E-66,0.520769822,0.259944882,-1.002440099,-10.43277336,1.76E-25,TRUE,TRUE,,,ATP6V1F,2.03E-45,0.258936857,0.110227369,1.232117852,9.193942925,3.79E-20,TRUE,TRUE
PEBP1,1.01E-34,1.057749426,0.786217145,-0.427998173,-3.423453504,0.000618308,TRUE,FALSE,,,FTH1,2.50E-64,0.876070809,0.540345557,-0.697165159,-6.054034532,1.41E-09,TRUE,TRUE,,,SRP14,2.03E-45,0.423730105,0.235145702,0.849590674,12.46410908,1.17E-35,TRUE,TRUE
NDUFA4,1.81E-32,0.534655573,0.37055542,-0.528920475,-4.571972106,4.83E-06,TRUE,TRUE,,,ATPIF1,9.23E-64,0.365103675,0.17671825,-1.046855151,-7.720686957,1.16E-14,TRUE,TRUE,,,NDUFA4,2.96E-42,0.420466918,0.202341964,1.055196737,14.6861036,7.91E-49,TRUE,TRUE
LINGO1,1.93E-32,1.304325381,1.986900452,0.607215778,3.614878172,0.000300489,TRUE,FALSE,,,SRP14,1.48E-62,0.52011734,0.302103312,-0.783795139,-7.25714041,3.95E-13,TRUE,TRUE,,,UBC,3.66E-42,0.440054398,0.254858389,0.787986031,10.76617905,4.97E-27,TRUE,TRUE
FTH1,9.83E-32,0.899434492,0.684916041,-0.393091063,-2.869190546,0.004115238,TRUE,FALSE,,,PEBP1,1.67E-60,1.030277687,0.641529916,-0.683444786,-6.200630779,5.62E-10,TRUE,TRUE,,,HSPH1,3.66E-42,0.286032449,0.162809928,0.812990146,9.427909126,4.18E-21,TRUE,TRUE
