no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
SPP1,8.89E-11,0.69505432,1.492692427,1.102719289,3.099492955,0.001938522,TRUE,TRUE,,,SPP1,7.09E-08,0.685793842,1.317930327,0.942427248,2.240596866,0.0250522,TRUE,FALSE,,,HSP90AA1,2.24E-05,0.884658285,0.444136959,0.994115665,3.149155104,0.001637433,TRUE,TRUE
CD81,1.10E-07,0.09038331,0.247376965,1.452582865,4.495829394,6.93E-06,TRUE,TRUE,,,CD81,0.000270336,0.089231568,0.225038519,1.33454586,4.2112115,2.54E-05,TRUE,TRUE,,,HSPA1A,0.001253156,0.573202728,0.303992188,0.915011227,0.908971405,0.36336522,TRUE,FALSE
IFI44L,3.03E-07,0.231276753,0.07793891,-1.569204604,-2.651558262,0.008012129,TRUE,FALSE,,,C1QC,0.000548313,0.144277348,0.29941895,1.053320717,3.634639596,0.00027837,TRUE,TRUE,,,HLA-DRA,0.001253156,0.388647645,0.199275716,0.96369686,4.829071342,1.37E-06,TRUE,TRUE
APOE,1.15E-06,0.606647549,0.879862436,0.536419398,3.288005706,0.001008998,TRUE,TRUE,,,LINGO1,0.000833045,0.304967276,0.47426382,0.63703537,1.426968418,0.153588998,TRUE,FALSE,,,CST3,0.015148402,0.322678823,0.176265907,0.872345441,2.683825127,0.007278517,FALSE,FALSE
TMEM2,1.27E-06,0.161872379,0.047618644,-1.76525838,-4.977879564,6.43E-07,TRUE,TRUE,,,APOC1,0.00088538,0.039765266,0.131411591,1.724511806,5.006266707,5.55E-07,TRUE,TRUE,,,CHST11,0.015833506,0.879172075,1.268356288,-0.528742596,-3.48799388,0.000486659,FALSE,FALSE
RASGEF1B,1.87E-06,0.363978607,0.556355214,0.612152629,1.562586846,0.118149804,TRUE,FALSE,,,ADGRG1,0.001246725,0.184381086,0.335347749,0.862967251,4.802674347,1.57E-06,TRUE,TRUE,,,HLA-DRB1,0.015927023,0.297883241,0.153014722,0.961076492,5.238843718,1.62E-07,FALSE,FALSE
LINGO1,2.10E-06,0.308810948,0.487401926,0.658388051,1.54308792,0.122809445,TRUE,FALSE,,,SLC26A3,0.001280267,0.143247148,0.265181401,0.888473177,2.318780399,0.020406947,TRUE,FALSE,,,HSPA8,0.015927023,0.097322698,0.035824801,1.441817643,3.228616658,0.001243905,FALSE,FALSE
PTPRG,1.07E-05,0.032343402,0.150669036,2.219839596,4.244309263,2.19E-05,TRUE,TRUE,,,ZC3HAV1,0.001280267,0.233467145,0.106363659,-1.134214218,-4.628826823,3.68E-06,TRUE,TRUE,,,UBC,0.024128215,0.275936379,0.159577608,0.790077448,1.197028101,0.231295602,FALSE,FALSE
APOC1,1.73E-05,0.040295507,0.138584825,1.782078385,4.631774152,3.63E-06,TRUE,TRUE,,,SLC1A3,0.001556031,1.436249227,1.883797968,0.391338132,2.262713287,0.023653369,TRUE,FALSE,,,UBB,0.027415002,0.11452105,0.03668266,1.642442636,2.964608439,0.003030684,FALSE,FALSE
RORA,1.91E-05,0.187615941,0.062425589,-1.587572975,-5.012073464,5.38E-07,TRUE,TRUE,,,RASGEF1B,0.002329177,0.359585787,0.52257226,0.539294546,1.355809551,0.175159771,TRUE,FALSE,,,KRBOX4,0.054737245,0.069973327,0.027262688,1.359877306,3.481009415,0.000499528,FALSE,FALSE
SAT1,2.78E-05,0.915725744,0.600587147,-0.608541983,-3.114327978,0.001843644,TRUE,TRUE,,,ARL17B,0.002479253,0.132400872,0.048661262,-1.444066989,-1.216377833,0.223841024,TRUE,FALSE,,,CYBA,0.056427531,0.334037172,0.21631849,0.626851673,2.950490823,0.003172695,FALSE,FALSE
C1QC,3.04E-05,0.146081754,0.295852149,1.018100386,3.743710319,0.000181323,TRUE,TRUE,,,CD83,0.003973667,0.115215265,0.017295384,-2.735872919,-4.995911591,5.86E-07,TRUE,TRUE,,,SYNDIG1,0.069942202,0.843877939,0.583321013,0.532744294,3.186013221,0.00144248,FALSE,FALSE
RPS19,5.52E-05,0.430223678,0.689257933,0.67995704,3.9173104,8.95E-05,TRUE,TRUE,,,VSIG4,0.003973667,0.147064391,0.294344146,1.001055969,4.138626087,3.49E-05,TRUE,TRUE,,,STMN1,0.085493362,0.073567947,0.026844714,1.454439302,2.728889075,0.006354808,FALSE,FALSE
SYTL3,7.66E-05,0.375154022,0.131323598,-1.514356847,-4.991040322,6.01E-07,TRUE,TRUE,,,TMEM2,0.003973667,0.159955267,0.061559772,-1.37760871,-3.268858392,0.001079823,TRUE,TRUE,,,CTTNBP2NL,0.085493362,0.258312039,0.138287774,0.901441266,3.467922015,0.000524499,FALSE,FALSE
SNCA,0.000168453,0.132453347,0.262671896,0.98777755,4.927723943,8.32E-07,TRUE,TRUE,,,RORA,0.006667424,0.185287847,0.068201794,-1.441886652,-3.561604788,0.000368595,TRUE,TRUE,,,MED12L,0.085493362,0.060061144,0.028350953,1.083034708,2.836550043,0.004560383,FALSE,FALSE
NAMPT,0.000168453,0.213238601,0.060640332,-1.814119062,-4.924107131,8.47E-07,TRUE,TRUE,,,CACNA1A,0.007497215,0.179455373,0.333404029,0.893646414,3.250765458,0.001150948,TRUE,TRUE,,,FXR1,0.085493362,0.116309054,0.038539963,1.593536323,3.82066229,0.000133094,FALSE,FALSE
CACNA1A,0.000188127,0.18171984,0.341606885,0.910621114,3.533947646,0.000409402,TRUE,TRUE,,,SYTL3,0.011876731,0.370631594,0.135921918,-1.447207755,-4.200287687,2.67E-05,FALSE,FALSE,,,CD83,0.085493362,0.103829171,0.018148448,2.516293753,1.473066491,0.140733108,FALSE,FALSE
VSIG4,0.00019113,0.149064749,0.272266313,0.869079369,3.547514682,0.000388884,TRUE,TRUE,,,CHN2,0.011876731,0.39840563,0.236428689,-0.752832925,-3.453397035,0.000553574,FALSE,FALSE,,,HSPA1B,0.085493362,0.156338526,0.10951882,0.513494537,2.739120505,0.006160379,FALSE,FALSE
RPLP1,0.00019113,0.163402863,0.305006918,0.900408704,3.950950885,7.78E-05,TRUE,TRUE,,,RPL18A,0.015272005,0.013188939,0.049685455,1.913495018,3.538584594,0.000402278,FALSE,FALSE,,,GAPDH,0.085493362,0.281804255,0.148422888,0.924979813,3.304212155,0.000952437,FALSE,FALSE
EPSTI1,0.000191837,0.184308079,0.074470104,-1.30738604,-4.105895295,4.03E-05,TRUE,TRUE,,,IFI6,0.015474799,0.052870421,0.003777713,-3.806875689,-2.467180956,0.013618152,FALSE,FALSE,,,SLC7A6OS,0.085493362,0.059253542,0.021826521,1.440819182,2.867447007,0.004137981,FALSE,FALSE
ZC3HAV1,0.000250406,0.236393062,0.124215452,-0.928343047,-3.948296499,7.87E-05,TRUE,TRUE,,,IFNGR1,0.015659496,0.217597226,0.334313838,0.619542907,3.271920471,0.001068196,FALSE,FALSE,,,FAM118A,0.089581781,0.057885115,0.026107549,1.148725384,3.505923294,0.000455026,FALSE,FALSE
BHLHE41,0.000262766,0.208758268,0.322414934,0.627085234,2.763723643,0.005714592,TRUE,FALSE,,,RPS19,0.016627007,0.424953895,0.626502513,0.560013969,4.300113968,1.71E-05,FALSE,FALSE,,,ATIC,0.093042047,0.038491734,0.004193771,3.198228723,1.571422347,0.116084579,FALSE,FALSE
SLC26A3,0.000480924,0.145035828,0.247835101,0.772971203,2.118569023,0.034126906,TRUE,FALSE,,,PIGQ,0.017458184,0.001498284,0.022879855,3.932695109,NA,NA,FALSE,FALSE,,,THRB,0.093042047,0.176347405,0.080916597,1.123912783,3.996795022,6.42E-05,FALSE,FALSE
SRGN,0.000480924,0.531714934,0.30526691,-0.800581771,-1.952505206,0.050878253,TRUE,FALSE,,,IFI44L,0.018115913,0.22830271,0.099437067,-1.199092335,-1.693364908,0.09038603,FALSE,FALSE,,,CD74,0.093042047,0.950501277,0.739573053,0.361995905,3.026482035,0.002474175,FALSE,FALSE
HDAC9,0.00061957,0.763433192,0.999839532,0.389194657,2.865797672,0.0041596,TRUE,FALSE,,,KDM5B,0.018115913,0.033067814,0.078168964,1.241168214,4.841295591,1.29E-06,FALSE,FALSE,,,MAK,0.093042047,0.04384497,0.017035193,1.363893065,2.999635017,0.002703033,FALSE,FALSE
RPL18A,0.000977474,0.013383706,0.053792856,2.006936945,3.932135854,8.42E-05,TRUE,TRUE,,,MAP1A,0.018115913,0.010946155,0.056099405,2.357561234,4.007803529,6.13E-05,FALSE,FALSE,,,CTNNA3,0.093042047,0.077923969,0.026534951,1.554173255,3.593135535,0.000326723,FALSE,FALSE
XAF1,0.001130256,0.238141585,0.110885899,-1.102743652,-1.640688455,0.100862103,TRUE,FALSE,,,UBB,0.020447138,0.110227322,0.03454077,-1.674109716,-3.554946473,0.000378056,FALSE,FALSE,,,APOE,0.093042047,1.092076666,0.773014356,0.498507027,4.396167471,1.10E-05,FALSE,FALSE
RNF149,0.001150219,0.446678154,0.278070576,-0.683784603,-3.338833198,0.000841311,TRUE,TRUE,,,EPSTI1,0.020524429,0.182011735,0.078933766,-1.205316979,-3.29246901,0.000993118,FALSE,FALSE,,,PYCARD,0.100860104,0.074364761,0.024671304,1.591785167,2.74136922,0.006118371,FALSE,FALSE
SLC1A3,0.001150219,1.454925291,1.786708277,0.296359025,1.765053038,0.077554852,TRUE,FALSE,,,SAT1,0.022284833,0.903946733,0.62014484,-0.543632553,-1.842514522,0.065399924,FALSE,FALSE,,,HSPB1,0.105358901,0.137126474,0.077826346,0.817176598,1.384126544,0.16631971,FALSE,FALSE
SAMD9L,0.001233068,0.122801758,0.056926123,-1.109168468,-4.149682386,3.33E-05,TRUE,TRUE,,,MYADM,0.023121602,0.001223397,0.017712637,3.855814983,NA,NA,FALSE,FALSE,,,RPS16,0.105358901,0.240562567,0.137416914,0.807852581,2.115748805,0.034366177,FALSE,FALSE
NR4A2,0.001593349,0.036985908,0.003984249,-3.214595815,-3.204783462,0.001351641,TRUE,TRUE,,,SNCA,0.023228885,0.130763193,0.244618517,0.903577112,4.118361563,3.82E-05,FALSE,FALSE,,,IFNGR2,0.125276533,0.228049197,0.149456056,0.60962373,3.347397751,0.000815741,FALSE,FALSE
IFNGR1,0.002607709,0.220412221,0.316586385,0.522394996,3.57107578,0.000355518,TRUE,TRUE,,,TUBA4A,0.025047342,0.048590585,0.00747427,-2.700672193,-2.897677612,0.003759368,FALSE,FALSE,,,PRPF40A,0.130264604,0.166623374,0.089677932,0.893765878,2.943793139,0.003242166,FALSE,FALSE
MYO1E,0.002633264,0.126518062,0.207571619,0.714265833,3.440786186,0.000580027,TRUE,TRUE,,,SPARCL1,0.02588623,0.113402481,0.042187973,-1.426548529,-3.234951805,0.001216633,FALSE,FALSE,,,SARAF,0.130264604,0.221598532,0.148413126,0.578329633,1.897332945,0.057784009,FALSE,FALSE
RPL7A,0.002728431,0.062616492,0.129994699,1.053838212,3.303164947,0.000956001,TRUE,TRUE,,,XAF1,0.02588623,0.235057502,0.113554163,-1.049633121,-1.392483012,0.163776182,FALSE,FALSE,,,CADM1,0.130264604,0.051867293,0.025889538,1.002455822,3.135318347,0.001716677,FALSE,FALSE
IFIT3,0.002728431,0.043714076,0.007713826,-2.50257932,-2.006762901,0.044774915,TRUE,FALSE,,,OXR1,0.035399214,0.686563928,0.964720656,0.490717198,2.852681164,0.004335209,FALSE,FALSE,,,MGAT4C,0.130264604,0.019067105,0.003580727,2.412761367,1.694382902,0.090192546,FALSE,FALSE
