no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
RASGEF1B,3.82E-57,0.628274875,0.802861312,0.353754907,4.222699439,2.41E-05,TRUE,TRUE,,,RASGEF1B,2.90E-74,0.609505184,0.876948677,0.524853922,4.489249337,7.15E-06,TRUE,TRUE,,,CRYAB,3.16E-51,1.560745578,1.049569193,0.572438099,7.164862292,7.79E-13,TRUE,TRUE
MID1IP1,5.11E-52,0.134347237,0.248572992,0.887702908,7.948338883,1.89E-15,TRUE,TRUE,,,TTLL7,1.94E-62,1.905063375,2.402265219,0.334556447,5.797232475,6.74E-09,TRUE,TRUE,,,HSPA1A,3.80E-47,0.384391991,0.150652033,1.351358137,4.232095286,2.32E-05,TRUE,TRUE
PPP2R2B,1.77E-47,3.513435727,3.006138099,-0.22497122,-6.44040714,1.19E-10,FALSE,FALSE,,,LINGO1,3.08E-59,0.526462672,0.75881414,0.527415321,4.936948175,7.94E-07,TRUE,TRUE,,,PTMA,1.40E-42,1.150323084,0.818128979,0.49163891,8.473352137,2.38E-17,TRUE,TRUE
PCDH9,1.77E-47,8.389493848,7.576494491,-0.14705328,-5.264004419,1.41E-07,FALSE,FALSE,,,SLC26A3,4.67E-40,0.281403519,0.405482739,0.527000131,3.657216468,0.000254969,TRUE,FALSE,,,PDE1A,5.08E-41,0.618336522,0.378814207,0.706901782,0.111358715,0.911331897,TRUE,FALSE
LINGO1,5.20E-46,0.542681538,0.692028948,0.350726559,4.028969383,5.60E-05,TRUE,TRUE,,,PDE1A,4.08E-34,0.533502441,0.360218807,-0.566621366,-0.203708981,0.838580924,TRUE,FALSE,,,UBB,2.19E-36,0.330928781,0.196789503,0.749867502,8.173409379,3.00E-16,TRUE,TRUE
ERBB2IP,9.95E-42,1.223678181,1.515936042,0.308984698,4.320296034,1.56E-05,TRUE,TRUE,,,ERBB2IP,8.69E-34,1.187041105,1.49590534,0.333648992,3.29538626,0.000982865,TRUE,FALSE,,,GAPDH,5.81E-35,0.446052307,0.293382284,0.604431145,8.957522927,3.32E-19,TRUE,TRUE
ARL17B,4.81E-40,0.163359177,0.081212435,-1.008274954,-1.356764675,0.174855995,TRUE,FALSE,,,PCDH9,8.04E-31,8.138257165,7.414381239,-0.134393571,-3.185351485,0.001445783,FALSE,FALSE,,,TTLL7,1.34E-32,2.0278621,2.526369206,-0.317105943,-6.418545761,1.38E-10,TRUE,TRUE
SLC38A2,8.44E-38,0.177410331,0.277999628,0.647992926,6.23621176,4.48E-10,TRUE,TRUE,,,PPP2R2B,5.99E-29,3.408201411,2.988621393,-0.189530452,-4.391796452,1.12E-05,FALSE,FALSE,,,NRXN3,2.51E-32,1.579430969,2.183121243,-0.466987371,-3.148955712,0.00163855,TRUE,FALSE
TTLL7,1.58E-34,1.963851875,2.290902403,0.222229881,3.161987165,0.001566965,FALSE,FALSE,,,LAMA2,2.07E-26,0.387747186,0.54004363,0.477959657,0.945719067,0.344291895,TRUE,FALSE,,,FTH1,3.97E-32,1.952550035,1.551315351,0.331867532,8.687261207,3.71E-18,TRUE,TRUE
SPP1,3.15E-34,0.619113283,0.807119457,0.3825788,4.325451932,1.52E-05,TRUE,TRUE,,,SYT1,6.59E-26,0.18611371,0.110171532,-0.756432854,-6.236707679,4.47E-10,TRUE,TRUE,,,CAV1,2.10E-27,0.057573205,0.012059698,2.25520372,1.754011471,0.079428542,TRUE,FALSE
SLC26A3,6.11E-34,0.290067204,0.373609447,0.365143743,3.787316065,0.000152283,TRUE,FALSE,,,MID1IP1,9.78E-25,0.130323692,0.22178215,0.767043875,5.857827499,4.69E-09,TRUE,TRUE,,,HSP90AA1,2.22E-27,1.146101009,0.832125291,0.461861527,6.131588183,8.70E-10,TRUE,TRUE
