no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
RASGEF1B,1.64E-14,1.076332211,1.551938016,0.527947502,2.846807859,0.004416001,TRUE,TRUE,,,RASGEF1B,1.15E-20,1.058048081,1.733479415,0.712265515,2.790178223,0.005267903,TRUE,FALSE,,,HSP90AA1,1.94E-21,0.973233972,0.450398619,1.111584276,8.808556713,1.27E-18,TRUE,TRUE
OLIG1,3.32E-13,1.033968105,1.56189068,0.595101796,6.854404778,7.16E-12,TRUE,TRUE,,,LINGO1,1.55E-15,1.009400292,1.549423654,0.618233261,2.500904221,0.012387668,TRUE,FALSE,,,FTH1,1.29E-18,1.242620013,0.649077275,0.936923044,10.09929407,5.56E-24,TRUE,TRUE
LINGO1,9.42E-12,1.026849923,1.400704391,0.447927174,2.365693848,0.017996319,TRUE,FALSE,,,LRP1B,4.51E-08,7.681065913,8.787031668,0.194069364,3.96110223,7.46E-05,FALSE,FALSE,,,GAPDH,8.91E-14,1.172949924,0.695299392,0.754435189,7.411754198,1.25E-13,TRUE,TRUE
VCAN,3.19E-08,3.637344002,4.417595667,0.280376003,4.728923757,2.26E-06,TRUE,TRUE,,,DSCAM,2.61E-07,8.650991761,9.710180449,0.166632571,7.009146872,2.40E-12,FALSE,FALSE,,,HSPA8,1.35E-13,0.261470562,0.106938726,1.289864127,6.134554441,8.54E-10,TRUE,TRUE
KCNIP1,1.18E-07,1.134189635,0.855873593,-0.406192237,-5.692433253,1.25E-08,TRUE,TRUE,,,SLC26A3,8.74E-07,0.477981045,0.74279874,0.636017961,2.496166427,0.012554368,TRUE,FALSE,,,APOD,5.36E-13,2.676524629,1.730550993,0.629129475,7.351389056,1.96E-13,TRUE,TRUE
AHI1,4.53E-07,0.771250563,0.565243767,-0.44832646,-5.01113608,5.41E-07,TRUE,TRUE,,,OLIG1,1.55E-06,1.016319876,1.491618439,0.55352399,5.137098037,2.79E-07,TRUE,TRUE,,,NGFRAP1,2.32E-12,0.421921767,0.188509984,1.162334584,6.174548232,6.64E-10,TRUE,TRUE
ISG15,3.60E-06,0.209513957,0.052993246,-1.983165959,-1.64399436,0.100177367,TRUE,FALSE,,,VCAN,1.82E-06,3.575218092,4.351579584,0.283507931,4.419839623,9.88E-06,TRUE,TRUE,,,HSPA1A,2.40E-12,0.236637209,0.056998468,2.053681891,5.875678443,4.21E-09,TRUE,TRUE
SLC26A3,6.44E-06,0.486291467,0.667803058,0.457601422,2.91009613,0.003613176,TRUE,TRUE,,,CST3,1.82E-06,1.478228134,1.147992267,-0.364756013,-2.787638755,0.005309371,TRUE,FALSE,,,DYNLL1,4.52E-10,0.412615777,0.193553796,1.092064381,5.025098464,5.03E-07,TRUE,TRUE
SOX8,7.58E-05,0.272014745,0.473534141,0.799783587,4.533776802,5.79E-06,TRUE,TRUE,,,ISG15,2.71E-06,0.205903335,0.042561743,-2.274338053,-1.509812114,0.131091373,TRUE,FALSE,,,LDHB,1.61E-09,0.345809362,0.169626331,1.027616791,5.918220662,3.25E-09,TRUE,TRUE
NAV2,0.000249018,2.467226926,2.100551409,-0.232122321,-4.062530396,4.85E-05,FALSE,FALSE,,,RBFOX1,2.73E-06,1.612338071,1.273492262,-0.340364083,-2.172304791,0.029832681,TRUE,FALSE,,,FTL,3.55E-09,0.706991901,0.396796198,0.833295487,7.018500368,2.24E-12,TRUE,TRUE
ATP13A4,0.000271382,0.664954608,0.512704062,-0.375129532,-4.407910714,1.04E-05,TRUE,TRUE,,,FTH1,2.94E-06,0.930474529,0.652264207,-0.512510195,-2.891938132,0.003828733,TRUE,FALSE,,,MARCKSL1,6.94E-09,0.854699203,0.552174604,0.630292242,5.95028846,2.68E-09,TRUE,TRUE
NOVA1,0.000690821,2.910051698,3.373829906,0.213342458,4.735201295,2.19E-06,FALSE,FALSE,,,KCNIP1,4.51E-06,1.114786525,0.869552154,-0.358423005,-4.188672855,2.81E-05,TRUE,TRUE,,,SCRG1,6.94E-09,0.87741755,0.57630388,0.606433829,4.728681955,2.26E-06,TRUE,TRUE
RBFOX1,0.000695483,1.640361069,1.349316136,-0.281785007,-2.090788474,0.03654703,TRUE,FALSE,,,ZNF565,5.31E-06,0.315451648,0.190134087,-0.730401692,-4.173385312,3.00E-05,TRUE,TRUE,,,ATP5G2,6.94E-09,0.333013228,0.162237257,1.037474318,5.543991213,2.96E-08,TRUE,TRUE
DSCAM,0.000695483,8.801371637,9.515389136,0.112534281,3.22360235,0.001265891,FALSE,FALSE,,,CCK,5.58E-06,0.148954857,0.066698722,-1.159144154,-2.928364445,0.003407504,TRUE,FALSE,,,SRP14,6.94E-09,0.309537985,0.154907652,0.998708053,5.885078973,3.98E-09,TRUE,TRUE
MARCKS,0.000754947,0.492747429,0.73783039,0.582440869,4.518275539,6.23E-06,TRUE,TRUE,,,NGFRAP1,9.91E-06,0.322354661,0.189458456,-0.766767315,-3.201641668,0.001366469,TRUE,FALSE,,,CLU,1.53E-08,0.582828064,0.325744936,0.839327594,6.611488959,3.80E-11,TRUE,TRUE
MCF2L2,0.00175168,0.585801822,0.435877481,-0.426490009,-4.418786557,9.93E-06,TRUE,TRUE,,,TMSB4X,2.12E-05,0.147747199,0.055672242,-1.408100677,-2.806213254,0.005012751,TRUE,FALSE,,,LRP1B,1.82E-08,7.312097043,8.742909548,-0.257828256,-4.919725001,8.67E-07,TRUE,TRUE
GADD45B,0.00175168,0.064479192,0.013825206,-2.221532715,-2.791343772,0.005248969,TRUE,TRUE,,,SPDYE2,3.43E-05,0.206883491,0.105067514,-0.977501849,-2.3800799,0.017308885,TRUE,FALSE,,,UBB,3.49E-08,0.400843384,0.217777133,0.880186188,5.311279755,1.09E-07,TRUE,TRUE
