,ensembl_gene_id,hgnc_symbol,entrezgene,gene_biotype,percentage_gc_content,cds_length,chromosome_name
1,ENSG00000000003,TSPAN6,7105,protein_coding,40.4,738,X
2,ENSG00000000005,TNMD,64102,protein_coding,40.8,954,X
3,ENSG00000000419,DPM1,8813,protein_coding,39.85,886,20
4,ENSG00000000457,SCYL3,57147,protein_coding,40.14,2229,1
5,ENSG00000000460,C1orf112,55732,protein_coding,39.22,2562,1
6,ENSG00000000938,FGR,2268,protein_coding,52.97,1590,1
7,ENSG00000000971,CFH,3075,protein_coding,35.2,3696,1
8,ENSG00000001036,FUCA2,2519,protein_coding,39.69,1404,6
9,ENSG00000001084,GCLC,2729,protein_coding,40.16,1914,6
10,ENSG00000001167,NFYA,4800,protein_coding,40,1044,6
11,ENSG00000001460,STPG1,90529,protein_coding,44.09,1005,1
12,ENSG00000001461,NIPAL3,57185,protein_coding,45,1221,1
13,ENSG00000001497,LAS1L,81887,protein_coding,50.45,2205,X
14,ENSG00000001561,ENPP4,22875,protein_coding,36.06,1362,6
15,ENSG00000001617,SEMA3F,6405,protein_coding,57.74,2358,3
16,ENSG00000001626,CFTR,1080,protein_coding,36.59,4443,7
17,ENSG00000001629,ANKIB1,54467,protein_coding,36.77,3270,7
18,ENSG00000001630,CYP51A1,1595,protein_coding,39.91,1530,7
19,ENSG00000001631,KRIT1,889,protein_coding,36.48,2211,7
20,ENSG00000002016,RAD52,5893,protein_coding,45.17,1257,12
21,ENSG00000002079,MYH16,NA,unitary_pseudogene,49.9,NA,7
22,ENSG00000002330,BAD,572,protein_coding,53.92,507,11
23,ENSG00000002549,LAP3,51056,protein_coding,44.17,1560,4
24,ENSG00000002586,CD99,4267,protein_coding,47.39,604,X
25,ENSG00000002587,HS3ST1,9957,protein_coding,43.92,924,4
26,ENSG00000002726,AOC1,26,protein_coding,47.8,2313,7
27,ENSG00000002745,WNT16,51384,protein_coding,38.61,1098,7
28,ENSG00000002746,HECW1,23072,protein_coding,42.03,4821,7
29,ENSG00000002822,MAD1L1,8379,protein_coding,55.65,2157,7
30,ENSG00000002834,LASP1,3927,protein_coding,53.69,786,17
31,ENSG00000002919,SNX11,29916,protein_coding,48,813,17
32,ENSG00000002933,TMEM176A,55365,protein_coding,57.57,708,7
33,ENSG00000003056,M6PR,4074,protein_coding,42.71,834,12
34,ENSG00000003096,KLHL13,90293,protein_coding,36.56,1977,X
35,ENSG00000003137,CYP26B1,56603,protein_coding,59.96,1539,2
36,ENSG00000003147,ICA1,3382,protein_coding,40.3,1539,7
37,ENSG00000003249,DBNDD1,79007,protein_coding,59.39,837,16
38,ENSG00000003393,ALS2,57679,protein_coding,38.06,4974,2
39,ENSG00000003400,CASP10,843,protein_coding,42.31,1569,2
40,ENSG00000003402,CFLAR,8837,protein_coding,44.35,1443,2
41,ENSG00000003436,TFPI,7035,protein_coding,36.6,915,2
42,ENSG00000003509,NDUFAF7,55471,protein_coding,38.97,1326,2
43,ENSG00000003756,RBM5,10181,protein_coding,44.45,2448,3
44,ENSG00000003987,MTMR7,9108,protein_coding,40.36,1983,8
45,ENSG00000003989,SLC7A2,6542,protein_coding,40.13,2097,8
46,ENSG00000004059,ARF5,381,protein_coding,56.5,543,7
47,ENSG00000004139,SARM1,23098,protein_coding,51.55,2175,17
48,ENSG00000004142,POLDIP2,26073,protein_coding,50.16,1107,17
49,ENSG00000004399,PLXND1,23129,protein_coding,58.39,5778,3
50,ENSG00000004455,AK2,204,protein_coding,46.32,720,1
51,ENSG00000004468,CD38,952,protein_coding,41.09,903,4
52,ENSG00000004478,FKBP4,2288,protein_coding,51.56,1380,12
53,ENSG00000004487,KDM1A,23028,protein_coding,39.16,2631,1
54,ENSG00000004534,RBM6,10180,protein_coding,44.14,3372,3
55,ENSG00000004660,CAMKK1,84254,protein_coding,57.17,1599,17
56,ENSG00000004700,RECQL,5965,protein_coding,37.57,1950,12
57,ENSG00000004766,VPS50,55610,protein_coding,34.83,2895,7
58,ENSG00000004776,HSPB6,126393,protein_coding,62.56,483,19
59,ENSG00000004777,ARHGAP33,115703,protein_coding,60.93,3381,19
60,ENSG00000004779,NDUFAB1,4706,protein_coding,48.8,471,16
61,ENSG00000004799,PDK4,5166,protein_coding,36.07,1236,7
62,ENSG00000004809,SLC22A16,85413,protein_coding,41.33,1734,6
63,ENSG00000004838,ZMYND10,51364,protein_coding,57.81,1323,3
64,ENSG00000004846,ABCB5,340273,protein_coding,37.73,3774,7
65,ENSG00000004848,ARX,170302,protein_coding,54.62,1689,X
66,ENSG00000004864,SLC25A13,10165,protein_coding,39.76,2031,7
67,ENSG00000004866,ST7,102466616,protein_coding,39.15,1758,7
68,ENSG00000004866,ST7,93655,protein_coding,39.15,1758,7
69,ENSG00000004866,ST7,7982,protein_coding,39.15,1758,7
70,ENSG00000004897,CDC27,996,protein_coding,38.66,2493,17
71,ENSG00000004939,SLC4A1,6521,protein_coding,55.8,2736,17
72,ENSG00000004948,CALCR,799,protein_coding,35.2,1527,7
73,ENSG00000004961,HCCS,3052,protein_coding,42.99,807,X
74,ENSG00000004975,DVL2,1856,protein_coding,55.14,2211,17
75,ENSG00000005001,PRSS22,64063,protein_coding,59.35,954,16
76,ENSG00000005007,UPF1,5976,protein_coding,55.16,3390,19
77,ENSG00000005020,SKAP2,8935,protein_coding,36.94,1080,7
78,ENSG00000005022,SLC25A5,292,protein_coding,53.25,897,X
79,ENSG00000005059,MCUB,55013,protein_coding,41.01,1011,4
80,ENSG00000005073,HOXA11,3207,protein_coding,55.22,942,7
81,ENSG00000005075,POLR2J,5439,protein_coding,55.04,477,7
82,ENSG00000005100,DHX33,56919,protein_coding,45.81,2124,17
83,ENSG00000005102,MEOX1,4222,protein_coding,51.61,765,17
84,ENSG00000005108,THSD7A,221981,protein_coding,35.51,4974,7
85,ENSG00000005156,LIG3,3980,protein_coding,47.23,3030,17
86,ENSG00000005175,RPAP3,79657,protein_coding,36.57,1998,12
87,ENSG00000005187,ACSM3,6296,protein_coding,41.08,1761,16
88,ENSG00000005189,,81691,protein_coding,39.89,2325,16
89,ENSG00000005194,CIAPIN1,57019,protein_coding,44.41,939,16
90,ENSG00000005206,SPPL2B,56928,protein_coding,61.06,1779,19
91,ENSG00000005238,FAM214B,80256,protein_coding,54.68,1617,9
92,ENSG00000005243,COPZ2,51226,protein_coding,52.71,633,17
93,ENSG00000005249,PRKAR2B,5577,protein_coding,38.63,1257,7
94,ENSG00000005302,MSL3,10943,protein_coding,42.85,1566,X
95,ENSG00000005339,CREBBP,1387,protein_coding,45.01,7329,16
96,ENSG00000005379,TSPOAP1,9256,protein_coding,57.84,5574,17
97,ENSG00000005381,MPO,4353,protein_coding,55.13,2238,17
98,ENSG00000005421,PON1,5444,protein_coding,40.5,1068,7
99,ENSG00000005436,GCFC2,6936,protein_coding,36.39,2346,2
100,ENSG00000005448,WDR54,84058,protein_coding,54.68,1005,2
101,ENSG00000005469,CROT,54677,protein_coding,37.43,1923,7
102,ENSG00000005471,ABCB4,5244,protein_coding,38.6,3861,7
103,ENSG00000005483,KMT2E,55904,protein_coding,37.46,5577,7
104,ENSG00000005486,RHBDD2,57414,protein_coding,47.79,1095,7
105,ENSG00000005513,SOX8,30812,protein_coding,64.81,1341,16
106,ENSG00000005700,IBTK,25998,protein_coding,36.07,4062,6
107,ENSG00000005801,ZNF195,7748,protein_coding,41.43,1902,11
108,ENSG00000005810,MYCBP2,23077,protein_coding,35.72,13923,13
109,ENSG00000005812,FBXL3,26224,protein_coding,38.36,1287,13
110,ENSG00000005844,ITGAL,3683,protein_coding,50.46,3513,16
111,ENSG00000005882,PDK2,5164,protein_coding,56.67,1224,17
112,ENSG00000005884,ITGA3,3675,protein_coding,52.64,3201,17
113,ENSG00000005889,ZFX,7543,protein_coding,40.77,2535,X
114,ENSG00000005893,LAMP2,3920,protein_coding,38.79,1236,X
115,ENSG00000005961,ITGA2B,3674,protein_coding,54.83,3120,17
116,ENSG00000005981,ASB4,51666,protein_coding,38.27,1281,7
117,ENSG00000006007,GDE1,51573,protein_coding,40.17,996,16
118,ENSG00000006015,C19orf60,55049,protein_coding,60.24,606,19
119,ENSG00000006016,CRLF1,9244,protein_coding,55.32,1269,19
120,ENSG00000006025,OSBPL7,114881,protein_coding,57.86,2529,17
121,ENSG00000006042,TMEM98,26022,protein_coding,48.47,681,17
122,ENSG00000006047,YBX2,51087,protein_coding,57.92,1095,17
123,ENSG00000006059,KRT33A,3883,protein_coding,48.36,1215,17
124,ENSG00000006062,MAP3K14,9020,protein_coding,49.97,2844,17
125,ENSG00000006071,ABCC8,6833,protein_coding,50,4749,11
126,ENSG00000006116,CACNG3,10368,protein_coding,44.54,948,16
127,ENSG00000006118,TMEM132A,54972,protein_coding,58.71,3075,11
128,ENSG00000006125,AP2B1,163,protein_coding,39.93,2856,17
129,ENSG00000006128,TAC1,6863,protein_coding,39.8,390,7
130,ENSG00000006194,ZNF263,10127,protein_coding,47.09,2052,16
131,ENSG00000006210,CX3CL1,6376,protein_coding,53.7,1212,16
132,ENSG00000006282,SPATA20,64847,protein_coding,57.05,2409,17
133,ENSG00000006283,CACNA1G,8913,protein_coding,56.83,7134,17
134,ENSG00000006327,TNFRSF12A,51330,protein_coding,60.12,681,16
135,ENSG00000006377,DLX6,1750,protein_coding,49.51,882,7
136,ENSG00000006432,MAP3K9,4293,protein_coding,44.98,3357,14
137,ENSG00000006451,RALA,5898,protein_coding,39.69,621,7
138,ENSG00000006453,BAIAP2L1,55971,protein_coding,46.77,1536,7
139,ENSG00000006459,KDM7A,80853,protein_coding,39.18,2826,7
140,ENSG00000006468,ETV1,2115,protein_coding,36.3,1476,7
141,ENSG00000006530,AGK,55750,protein_coding,39.59,1269,7
142,ENSG00000006534,ALDH3B1,221,protein_coding,58.4,1407,11
143,ENSG00000006555,TTC22,55001,protein_coding,52.26,1710,1
144,ENSG00000006576,PHTF2,57157,protein_coding,37.65,2358,7
145,ENSG00000006606,CCL26,10344,protein_coding,48.09,285,7
146,ENSG00000006607,FARP2,9855,protein_coding,45.6,3165,2
147,ENSG00000006611,USH1C,10083,protein_coding,51.78,2700,11
148,ENSG00000006625,GGCT,79017,protein_coding,40.55,567,7
149,ENSG00000006634,DBF4,10926,protein_coding,36.72,2025,7
150,ENSG00000006638,TBXA2R,6915,protein_coding,55.77,1224,19
151,ENSG00000006652,IFRD1,3475,protein_coding,39.45,1356,7
152,ENSG00000006659,LGALS14,56891,protein_coding,45.3,507,19
153,ENSG00000006695,COX10,1352,protein_coding,38.47,1332,17
154,ENSG00000006704,GTF2IRD1,9569,protein_coding,52.72,2931,7
155,ENSG00000006712,PAF1,54623,protein_coding,52.73,1596,19
156,ENSG00000006715,VPS41,27072,protein_coding,38.35,2565,7
157,ENSG00000006740,ARHGAP44,9912,protein_coding,42.68,2457,17
158,ENSG00000006744,ELAC2,60528,protein_coding,48.08,2481,17
159,ENSG00000006747,SCIN,85477,protein_coding,38.46,2148,7
160,ENSG00000006756,ARSD,414,protein_coding,48.88,1782,X
161,ENSG00000006757,PNPLA4,8228,protein_coding,40.45,762,X
162,ENSG00000006788,MYH13,8735,protein_coding,45.69,5817,17
163,ENSG00000006831,ADIPOR2,79602,protein_coding,39.4,1161,12
164,ENSG00000006837,CDKL3,51265,protein_coding,40.16,1779,5
165,ENSG00000007001,UPP2,151531,protein_coding,40.24,1125,2
166,ENSG00000007038,PRSS21,10942,protein_coding,55.65,945,16
167,ENSG00000007047,MARK4,57787,protein_coding,53.57,2259,19
168,ENSG00000007062,PROM1,8842,protein_coding,43.17,2598,4
169,ENSG00000007080,CCDC124,115098,protein_coding,55.84,672,19
170,ENSG00000007129,CEACAM21,90273,protein_coding,44.66,882,19
171,ENSG00000007168,PAFAH1B1,5048,protein_coding,42.4,1233,17
172,ENSG00000007171,NOS2,4843,protein_coding,51.36,3462,17
173,ENSG00000007174,DNAH9,1770,protein_coding,42.63,13461,17
174,ENSG00000007202,KIAA0100,9703,protein_coding,46.75,6708,17
175,ENSG00000007216,SLC13A2,9058,protein_coding,52.55,1926,17
176,ENSG00000007237,GAS7,8522,protein_coding,47.97,1431,17
177,ENSG00000007255,TRAPPC6A,79090,protein_coding,56.86,522,19
178,ENSG00000007264,MATK,4145,protein_coding,54.4,1527,19
179,ENSG00000007306,CEACAM7,1087,protein_coding,47.86,798,19
180,ENSG00000007312,CD79B,974,protein_coding,60.69,693,17
181,ENSG00000007314,SCN4A,6329,protein_coding,56.1,5511,17
182,ENSG00000007341,ST7L,54879,protein_coding,39.05,1728,1
183,ENSG00000007350,TKTL1,8277,protein_coding,48.34,1791,X
184,ENSG00000007372,PAX6,5080,protein_coding,49.68,1311,11
185,ENSG00000007376,RPUSD1,113000,protein_coding,67.17,939,16
186,ENSG00000007384,RHBDF1,64285,protein_coding,61.15,2568,16
187,ENSG00000007392,LUC7L,55692,protein_coding,47.33,1116,16
188,ENSG00000007402,CACNA2D2,9254,protein_coding,56.52,3462,3
189,ENSG00000007516,BAIAP3,8938,protein_coding,65.72,3564,16
190,ENSG00000007520,TSR3,115939,protein_coding,62.57,939,16
191,ENSG00000007541,PIGQ,9091,protein_coding,64.36,2283,16
192,ENSG00000007545,CRAMP1,57585,protein_coding,53.11,3810,16
193,ENSG00000007866,TEAD3,7005,protein_coding,56.75,1308,6
194,ENSG00000007908,SELE,6401,protein_coding,39.37,1833,1
195,ENSG00000007923,DNAJC11,55735,protein_coding,46.6,1680,1
196,ENSG00000007933,FMO3,2328,protein_coding,36.5,1599,1
197,ENSG00000007944,MYLIP,29116,protein_coding,40.19,1338,6
198,ENSG00000007952,NOX1,27035,protein_coding,41.14,1695,X
199,ENSG00000007968,E2F2,1870,protein_coding,51.66,1314,1
200,ENSG00000008018,PSMB1,5689,protein_coding,39.81,726,6
201,ENSG00000008056,SYN1,6853,protein_coding,47.76,2118,X
202,ENSG00000008083,JARID2,3720,protein_coding,43.92,3741,6
203,ENSG00000008086,CDKL5,6792,protein_coding,40.21,3093,X
204,ENSG00000008118,CAMK1G,57172,protein_coding,47.01,1431,1
205,ENSG00000008128,CDK11A,728642,protein_coding,51.99,2352,1
206,ENSG00000008130,NADK,65220,protein_coding,53.7,1776,1
207,ENSG00000008196,TFAP2B,7021,protein_coding,44.14,1383,6
208,ENSG00000008197,TFAP2D,83741,protein_coding,37.24,1359,6
209,ENSG00000008226,DLEC1,9940,protein_coding,48.5,5337,3
210,ENSG00000008256,CYTH3,9265,protein_coding,44.78,1203,7
211,ENSG00000008277,ADAM22,53616,protein_coding,37.29,2721,7
212,ENSG00000008282,SYPL1,6856,protein_coding,38.18,780,7
213,ENSG00000008283,CYB561,1534,protein_coding,57.41,957,17
214,ENSG00000008294,SPAG9,9043,protein_coding,40,3966,17
215,ENSG00000008300,CELSR3,1951,protein_coding,59.89,9939,3
216,ENSG00000008300,CELSR3,100616112,protein_coding,59.89,9939,3
217,ENSG00000008311,AASS,10157,protein_coding,36.48,2781,7
218,ENSG00000008323,PLEKHG6,55200,protein_coding,55.71,2373,12
219,ENSG00000008324,SS18L2,51188,protein_coding,47.77,234,3
220,ENSG00000008382,MPND,84954,protein_coding,55.95,1512,19
221,ENSG00000008394,MGST1,4257,protein_coding,36.94,468,12
222,ENSG00000008405,CRY1,1407,protein_coding,37.62,1761,12
223,ENSG00000008438,PGLYRP1,8993,protein_coding,57.73,591,19
224,ENSG00000008441,NFIX,4784,protein_coding,55.28,1509,19
225,ENSG00000008513,ST3GAL1,6482,protein_coding,49.4,1023,8
226,ENSG00000008516,MMP25,64386,protein_coding,58.2,1689,16
227,ENSG00000008517,IL32,9235,protein_coding,53.36,705,16
228,ENSG00000008710,PKD1,5310,protein_coding,63.1,12912,16
