GWAS Gene,PUBMEDID,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,STRONGEST SNP-RISK ALLELE,SNPS,SNP_ID_CURRENT,P-VALUE
APOE,29360470,CDK5RAP2 gene and tau pathophysiology in late-onset sporadic Alzheimer's disease.,Late-onset Alzheimer's disease,"966 Quebec (founder/genetic isolate) ancestry cases, 977 Quebec (founder/genetic isolate) controls","340 cases, 195 controls",,,,APOE-?,APOE,NA,1.00E-49
APOE,19125160,Examination of the current top candidate genes for AD in a genome-wide association study.,Alzheimer's disease,"491 European ancestry cases, 479 European ancestry controls",NA,19q13.32,19,44892009,rs157580-?,rs157580,157580,1.00E-40
APOE,20061627,Genome-wide scan of copy number variation in late-onset Alzheimer's disease.,Alzheimer's disease,"331 European ancestry cases, 368 European ancestry controls",NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,3.00E-11
APOE,20885792,Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.,Alzheimer's disease (late onset),"931 cases, 1,104 controls","1,338 cases, 2,003 controls",19q13.32,19,44892362,rs2075650-G,rs2075650,2075650,5.00E-36
APOE,22245343,A large scale multivariate parallel ICA method reveals novel imaging-genetic relationships for Alzheimer's disease in the ADNI cohort.,Alzheimer's disease,"367 European ancestry individuals with mild cognitive impairment, 181 European ancestry individuals  with mild early-stage LOAD, 209 European ancestry controls",NA,,,,APOE-E4,NR,NA,7.00E-16
APOE,22245343,A large scale multivariate parallel ICA method reveals novel imaging-genetic relationships for Alzheimer's disease in the ADNI cohort.,Alzheimer's disease,"367 European ancestry individuals with mild cognitive impairment, 181 European ancestry individuals  with mild early-stage LOAD, 209 European ancestry controls",NA,,,,APOE-E3,NR,NA,4.00E-09
APOE,17474819,A high-density whole-genome association study reveals that APOE is the major susceptibility gene for sporadic late-onset Alzheimer's disease.,Alzheimer's disease (late onset),"664 European ancestry cases, 422 European ancestry controls",NA,19q13.32,19,44919689,rs4420638-?,rs4420638,4420638,1.00E-39
APOE,17975299,Sorl1 as an Alzheimer's disease predisposition gene?,Alzheimer's disease,"664 cases, 422 controls",NA,19q13.32,19,44919689,rs4420638-?,rs4420638,4420638,1.00E-39
APOE,18823527,A genome-wide association study for late-onset Alzheimer's disease using DNA pooling.,Alzheimer's disease,"1,082 European ancestry cases, 1,239 European ancestry controls","1,400 controls",19q13.32,19,44878777,rs6859-A,rs6859,6859,6.00E-14
APOE,26339675,F-box/LRR-repeat protein 7 is genetically associated with Alzheimer's disease.,Alzheimer's disease (late onset),"2,451 Caribbean Hispanic cases, 2,063 Caribbean Hispanic controls","550 Caribbean Hispanic cases, 236 Caribbean Hispanic controls",19q13.32,19,44901322,rs394819-T,rs394819,394819,8.00E-11
APOE,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,19q13.32,19,44919689,rs4420638-?,rs4420638,4420638,1.00E-12
APOE,24755620,Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.,Alzheimer's disease,"2,540 European ancestry cases, 2,029 European ancestry controls",NA,19q13.32,19,44892362,rs2075650-G,rs2075650,2075650,9.00E-116
APOE,23419831,APOE and BCHE as modulators of cerebral amyloid deposition: a florbetapir PET genome-wide association study.,Alzheimer's disease biomarkers,555 European ancestry individuals,NA,19q13.32,19,44908684,rs429358-C,rs429358,429358,5.00E-14
APOE,26830138,"Family-based association analyses of imputed genotypes reveal genome-wide significant association of Alzheimer's disease with OSBPL6, PTPRG, and PDCL3.",Alzheimer disease and age of onset,"2,478 European ancestry cases, 979 ancestry controls both from the same 1,070 families",NA,19q13.32,19,44919689,rs4420638-A,rs4420638,4420638,2.00E-16
APOE,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,19q13.32,19,44885311,rs283812-C,rs283812,283812,3.00E-07
APOE,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.32,19,44910319,rs75627662-T,rs75627662,75627662,8.00E-07
APOE,21123754,"Genome-wide association study of CSF biomarkers Abeta1-42, t-tau, and p-tau181p in the ADNI cohort.",Alzheimer's disease biomarkers,"96 European ancestry Alzheimer disease cases, 176 European ancestry individuals with mild cognitive impairment, 102 European ancestry controls",NA,19q13.32,19,44908684,rs429358-?,rs429358,429358,1.00E-06
APOE,21627779,"The membrane-spanning 4-domains, subfamily A (MS4A) gene cluster contains a common variant associated with Alzheimer's disease.",Alzheimer's disease,"319 European ancestry cases, 769 European ancestry controls, 2,690 cases, 2,237 controls","4,982 European ancestry cases, 7,961 European ancestry controls, 2,190 cases, 3,374 controls",19q13.32,19,44892009,rs157580-?,rs157580,157580,8.00E-89
APOE,22832961,Genome-wide association study of Alzheimer's disease.,Alzheimer's disease,"1,291 European ancestry cases, 938 European ancestry controls","509 European ancestry cases, 753 European ancestry controls, 2,218 cases, 2,583 controls",19q13.32,19,44919689,rs4420638-?,rs4420638,4420638,8.00E-149
APOE,24770881,ABCC9 gene polymorphism is associated with hippocampal sclerosis of aging pathology.,Alzheimer's disease,1443 cases and 99 controls,NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,4.00E-13
APOE,17998437,Candidate single-nucleotide polymorphisms from a genomewide association study of Alzheimer disease.,Alzheimer's disease,"753 European ancestry cases, 736 European ancestry controls","418 European ancestry cases, 249 European ancestry controls",19q13.32,19,44919689,rs4420638-?,rs4420638,4420638,2.00E-44
APOE,19734903,Genome-wide association study identifies variants at CLU and CR1 associated with Alzheimer's disease.,Alzheimer's disease,"2,032 European ancestry cases, 5,328 European ancestry controls","3,978 European ancestry cases, 3,297 European ancestry controls",19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,2.00E-16
APOE,22005930,Genome-wide association study of Alzheimer's disease with psychotic symptoms.,Psychosis and Alzheimer's disease,"1,039 European ancestry cases with psychosis, 5,659 European ancestry controls, 260 European, African American and Native American ancestry cases with psychosis from 264 families",NA,19q13.32,19,44892962,rs157582-?,rs157582,157582,9.00E-52
APOE,23565137,"SORL1 is genetically associated with late-onset Alzheimer's disease in Japanese, Koreans and Caucasians.",Alzheimer's disease (late onset),"891 Japanese ancestry cases, 844 Japanese ancestry controls","1,224 East Asian ancestry cases, 2,114 East Asian ancestry controls, 11,840 European ancestry cases, 10,931 European ancestry controls",19q13.32,19,44873027,rs519113-G,rs519113,519113,5.00E-39
APOE,20460622,Genome-wide analysis of genetic loci associated with Alzheimer disease.,Alzheimer's disease,"973 incident AD cases, 2,033 prevalent AD cases, 22,604  controls of European and Hispanic ancestry","6,505 European ancestry cases, 13,532 European ancestry controls",19q13.32,19,44892362,rs2075650-G,rs2075650,2075650,1.00E-295
APOE,25027320,SUCLG2 identified as both a determinator of CSF AÎ²1-42 levels and an attenuator of cognitive decline in Alzheimer's disease.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,363 European ancestry individuals,515 individuals,19q13.32,19,44908684,rs429358-?,rs429358,429358,4.00E-17
APOE,23562540,GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.,Alzheimer's disease biomarkers,"591 European ancestry cases, 687 European ancestry controls",,19q13.32,19,44906745,rs769449-A,rs769449,769449,2.00E-16
